==RUN 0==
STOKE: Start Bat: 0.790000
ETask 28: Configuration:0 Energy:0.00 Power:0.00 Reward:36.46 Time:30015
ELocation 176: Diff:2000 ms Accuracy:4.00
ELocation 177: Diff:0 ms Accuracy:4.00
ELocation 178: Diff:13000 ms Accuracy:6.00
ETask 29: Configuration:0 Energy:0.00 Power:0.00 Reward:34.01 Time:30013
ELocation 179: Diff:20000 ms Accuracy:5.00
ELocation 180: Diff:20000 ms Accuracy:7.00
ETask 30: Configuration:0 Energy:0.00 Power:0.00 Reward:37.59 Time:30014
ELocation 181: Diff:10000 ms Accuracy:6.00
ELocation 182: Diff:20000 ms Accuracy:6.00
ETask 31: Configuration:0 Energy:0.00 Power:0.00 Reward:35.46 Time:30014
ELocation 183: Diff:20000 ms Accuracy:10.00
ELocation 184: Diff:10000 ms Accuracy:6.00
ETask 32: Configuration:0 Energy:0.00 Power:0.00 Reward:34.85 Time:30017
ELocation 185: Diff:20000 ms Accuracy:15.00
ETask 33: Configuration:0 Energy:0.00 Power:0.00 Reward:35.14 Time:30014
ELocation 186: Diff:20000 ms Accuracy:8.00
ELocation 187: Diff:20000 ms Accuracy:8.00
ETask 34: Configuration:0 Energy:0.00 Power:0.00 Reward:35.34 Time:30019
ELocation 188: Diff:20000 ms Accuracy:5.00
ELocation 189: Diff:10000 ms Accuracy:6.00
ETask 35: Configuration:0 Energy:0.00 Power:0.00 Reward:37.76 Time:30019
ELocation 190: Diff:10000 ms Accuracy:5.00
ELocation 191: Diff:10000 ms Accuracy:9.00
ETask 36: Configuration:0 Energy:0.00 Power:0.00 Reward:38.97 Time:30015
ELocation 192: Diff:20000 ms Accuracy:6.00
ELocation 193: Diff:10000 ms Accuracy:7.00
ELocation 194: Diff:10000 ms Accuracy:6.00
ETask 37: Configuration:0 Energy:0.00 Power:0.00 Reward:41.08 Time:30015
ELocation 195: Diff:10000 ms Accuracy:3.00
ELocation 196: Diff:20000 ms Accuracy:15.00
ETask 38: Configuration:0 Energy:0.00 Power:0.00 Reward:49.76 Time:30016
ELocation 197: Diff:10000 ms Accuracy:8.00
ELocation 198: Diff:20000 ms Accuracy:11.00
ETask 39: Configuration:0 Energy:0.00 Power:0.00 Reward:48.83 Time:30014
ERun: Reward:1486.92 PostConfigReward:1020.48 Time:871266
==END-RUN 0==
STOKE: Config:0 | interval:0:10000 priority:0:100 sensor-configuration:0:2 | -- timeOn:17 reward:737.77 scaled:0.57 (location_accuracy,13934.95,139.35)
STOKE: Config:1 | interval:1:5000 priority:0:100 sensor-configuration:0:2 | -- timeOn:8 reward:439.62 scaled:0.45 (location_accuracy,181.00,4.76)
STOKE: Config:2 | interval:2:2000 priority:0:100 sensor-configuration:0:2 | -- timeOn:2 reward:156.88 scaled:0.22 (location_accuracy,57.00,3.00)
STOKE: Config:3 | interval:3:500 priority:0:100 sensor-configuration:0:2 | -- timeOn:2 reward:152.65 scaled:0.24 (location_accuracy,130.00,3.02)

==RUN 1==
ELocation 199: Diff:10000 ms Accuracy:9.00
ELocation 200: Diff:20000 ms Accuracy:7.00
ELocation 201: Diff:20000 ms Accuracy:9.00
ELocation 202: Diff:10000 ms Accuracy:6.00
ELocation 203: Diff:20000 ms Accuracy:6.00
ELocation 204: Diff:10000 ms Accuracy:8.00
ELocation 205: Diff:20000 ms Accuracy:7.00
ELocation 206: Diff:10000 ms Accuracy:5.00
ELocation 207: Diff:20000 ms Accuracy:11.00
ELocation 208: Diff:20000 ms Accuracy:5.00
ELocation 209: Diff:10000 ms Accuracy:6.00
ELocation 210: Diff:10000 ms Accuracy:10.00
ELocation 211: Diff:20000 ms Accuracy:4.00
ELocation 212: Diff:10000 ms Accuracy:4.00
ELocation 213: Diff:20000 ms Accuracy:6.00
