==RUN 0==
STOKE: Start Bat: 0.720000
ELocation 206: Diff:1000 ms Accuracy:3.00
ELocation 207: Diff:1000 ms Accuracy:3.00
ELocation 208: Diff:1000 ms Accuracy:3.00
ELocation 209: Diff:1000 ms Accuracy:3.00
ELocation 210: Diff:1000 ms Accuracy:3.00
ELocation 211: Diff:1000 ms Accuracy:3.00
ELocation 212: Diff:1000 ms Accuracy:3.00
ELocation 213: Diff:1000 ms Accuracy:3.00
ELocation 214: Diff:1000 ms Accuracy:3.00
ELocation 215: Diff:1000 ms Accuracy:3.00
ELocation 216: Diff:1000 ms Accuracy:3.00
ELocation 217: Diff:1000 ms Accuracy:3.00
ELocation 218: Diff:1000 ms Accuracy:3.00
ELocation 219: Diff:1000 ms Accuracy:3.00
ELocation 220: Diff:1000 ms Accuracy:3.00
ELocation 221: Diff:1000 ms Accuracy:3.00
ELocation 222: Diff:1000 ms Accuracy:3.00
ELocation 223: Diff:1000 ms Accuracy:3.00
ELocation 224: Diff:1000 ms Accuracy:3.00
ELocation 225: Diff:1000 ms Accuracy:3.00
ELocation 226: Diff:1000 ms Accuracy:3.00
ELocation 227: Diff:1000 ms Accuracy:3.00
ELocation 228: Diff:1000 ms Accuracy:3.00
ELocation 229: Diff:1000 ms Accuracy:3.00
ELocation 230: Diff:1000 ms Accuracy:3.00
ELocation 231: Diff:1000 ms Accuracy:3.00
ETask 35: Configuration:3 Energy:0.00 Power:0.00 Reward:77.91 Time:30002
ELocation 232: Diff:1000 ms Accuracy:3.00
ELocation 233: Diff:1000 ms Accuracy:3.00
ELocation 234: Diff:1000 ms Accuracy:3.00
ELocation 235: Diff:1000 ms Accuracy:3.00
ELocation 236: Diff:1000 ms Accuracy:3.00
ELocation 237: Diff:1000 ms Accuracy:3.00
ELocation 238: Diff:1000 ms Accuracy:3.00
ELocation 239: Diff:1000 ms Accuracy:3.00
ELocation 240: Diff:1000 ms Accuracy:3.00
ELocation 241: Diff:1000 ms Accuracy:3.00
ELocation 242: Diff:1000 ms Accuracy:3.00
ELocation 243: Diff:1000 ms Accuracy:3.00
ELocation 244: Diff:1000 ms Accuracy:3.00
ELocation 245: Diff:1000 ms Accuracy:3.00
ELocation 246: Diff:1000 ms Accuracy:3.00
ELocation 247: Diff:1000 ms Accuracy:3.00
ELocation 248: Diff:1000 ms Accuracy:3.00
ELocation 249: Diff:1000 ms Accuracy:3.00
ELocation 250: Diff:1000 ms Accuracy:3.00
ELocation 251: Diff:1000 ms Accuracy:3.00
ELocation 252: Diff:1000 ms Accuracy:3.00
ELocation 253: Diff:1000 ms Accuracy:3.00
ELocation 254: Diff:1000 ms Accuracy:3.00
ELocation 255: Diff:1000 ms Accuracy:3.00
ELocation 256: Diff:1000 ms Accuracy:3.00
ELocation 257: Diff:1000 ms Accuracy:3.00
ELocation 258: Diff:1000 ms Accuracy:3.00
ELocation 259: Diff:1000 ms Accuracy:3.00
ELocation 260: Diff:1000 ms Accuracy:3.00
ELocation 261: Diff:1000 ms Accuracy:3.00
ETask 36: Configuration:0 Energy:0.00 Power:0.00 Reward:81.89 Time:30007
ELocation 262: Diff:0 ms Accuracy:3.00
ELocation 263: Diff:0 ms Accuracy:3.00
ELocation 264: Diff:12000 ms Accuracy:37.00
ELocation 265: Diff:11000 ms Accuracy:7.00
ETask 37: Configuration:0 Energy:0.00 Power:0.00 Reward:35.09 Time:30011
ELocation 266: Diff:10000 ms Accuracy:9.00
ELocation 267: Diff:10000 ms Accuracy:6.00
ETask 38: Configuration:0 Energy:0.00 Power:0.00 Reward:81.30 Time:30018
ELocation 268: Diff:20000 ms Accuracy:5.00
ELocation 269: Diff:10000 ms Accuracy:6.00
ETask 39: Configuration:0 Energy:0.00 Power:0.00 Reward:71.44 Time:30019
ELocation 270: Diff:20000 ms Accuracy:5.00
ELocation 271: Diff:10000 ms Accuracy:5.00
ELocation 272: Diff:10000 ms Accuracy:5.00
ETask 40: Configuration:0 Energy:0.00 Power:0.00 Reward:40.72 Time:30014
ELocation 273: Diff:20000 ms Accuracy:6.00
ETask 41: Configuration:0 Energy:0.00 Power:0.00 Reward:36.75 Time:30015
ELocation 274: Diff:20000 ms Accuracy:9.00
ELocation 275: Diff:20000 ms Accuracy:6.00
ETask 42: Configuration:0 Energy:0.00 Power:0.00 Reward:97.60 Time:30021
ELocation 276: Diff:10000 ms Accuracy:4.00
ELocation 277: Diff:10000 ms Accuracy:4.00
ETask 43: Configuration:0 Energy:0.00 Power:0.00 Reward:50.35 Time:30018
ELocation 278: Diff:20000 ms Accuracy:4.00
ELocation 279: Diff:20000 ms Accuracy:8.00
ETask 44: Configuration:0 Energy:0.00 Power:0.00 Reward:51.25 Time:30016
ELocation 280: Diff:10000 ms Accuracy:7.00
ELocation 281: Diff:10000 ms Accuracy:7.00
ELocation 282: Diff:10000 ms Accuracy:6.00
ETask 45: Configuration:0 Energy:0.00 Power:0.00 Reward:118.28 Time:30016
ELocation 283: Diff:10000 ms Accuracy:6.00
ELocation 284: Diff:10000 ms Accuracy:4.00
ETask 46: Configuration:0 Energy:0.00 Power:0.00 Reward:41.48 Time:30018
ELocation 285: Diff:20000 ms Accuracy:4.00
ELocation 286: Diff:10000 ms Accuracy:6.00
ETask 47: Configuration:0 Energy:0.00 Power:0.00 Reward:41.50 Time:30013
ELocation 287: Diff:20000 ms Accuracy:3.00
ELocation 288: Diff:10000 ms Accuracy:4.00
ELocation 289: Diff:10000 ms Accuracy:5.00
