task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	r2_energy	r2_config	r2_reward	r2_rate	r2_avgrate	r2_rollrate	r3_energy	r3_config	r3_reward	r3_rate	r3_avgrate	r3_rollrate	r4_energy	r4_config	r4_reward	r4_rate	r4_avgrate	r4_rollrate	r5_energy	r5_config	r5_reward	r5_rate	r5_avgrate	r5_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
21	98.47752922444799	10	1370.610652843543	98.47752922444799	62.300484220161046	81.01223305685548	85.14141361053302	10	1271.770268023023	85.14141361053302	57.80773945559195	83.80306840974079	99.048022511536	10	1389.5246265859048	99.048022511536	63.160210299359306	90.3287647677759	94.148385402904	10	1259.491483602083	94.148385402904	57.24961289100377	96.04915112550789	96.70756807571999	10	1203.3970917309568	96.70756807571999	54.699867805952586	95.1575070393583	79.08364981168799	10	1358.655224329094	79.08364981168799	61.75705565132245	93.20538324293709	0	0	0	0	0	0	0	0	0	0	6	0
22	99.69167739484799	11	1470.302330238391	99.69167739484799	63.926188271234395	92.54038109317719	91.29733603488403	11	1363.067604057907	91.29733603488403	59.26380887208291	91.0032624685116	99.364001599252	11	1488.888628185157	99.364001599252	64.73428818196335	92.50792053839079	92.157456556776	11	1351.648940158859	92.157456556776	58.76734522429822	93.5117040222589	122.40294487273499	11	1325.8000366036918	122.40294487273499	57.64347985233442	95.9042455870876	87.43814315191999	11	1446.093367481014	87.43814315191999	62.87362467308756	96.13391854122631	0	0	0	0	0	0	0	0	0	0	0	6
23	116.597335163232	11	1586.899665401623	116.597335163232	66.12081939173429	97.88884980639591	83.390959914597	11	1446.458563972504	83.390959914597	60.26910683218767	96.8131072575652	104.323331261448	11	1593.2119594466049	104.323331261448	66.38383164360853	97.574683576138	86.975350049076	11	1438.624290207935	86.975350049076	59.94267875866396	98.3638535998768	97.48124456545	11	1423.2812811691417	97.48124456545	59.3033867153809	98.14281031693702	93.86358696701198	11	1539.956954448026	93.86358696701198	64.16487310200108	98.39943541014979	0	0	0	0	0	0	0	0	0	0	0	6
24	34.636090334208006	7	1621.5357557358311	34.636090334208006	64.86143022943324	91.9266442836454	30.815341345572	6	1477.273905318076	30.815341345572	59.09095621272304	85.79243276252501	39.84710413782901	1	1633.059063584434	39.84710413782901	65.32236254337735	77.5368486890344	84.050964367104	2	1522.675254575039	84.050964367104	60.90701018300156	77.19813081055281	53.909430319125	8	1477.1907114882667	53.909430319125	59.08762845953067	70.92934032614211	49.39763199227999	6	1589.3545864403059	49.39763199227999	63.574183457612236	67.5300075339104	0	1	1	0	0	0	2	1	1	0	0	0
25	29.145261636479997	7	1650.681017372311	29.145261636479997	63.48773143739658	60.01220057141361	30.583269329402004	6	1507.857174647478	30.583269329402004	57.99450671721069	54.372992499446205	45.16777858220001	1	1678.226842166634	45.16777858220001	64.54718623717824	49.1416459011212	78.650054415936	2	1601.325308990975	78.650054415936	61.589434961191344	47.620292646013596	49.729742476270005	8	1526.9204539645368	49.729742476270005	58.7277097678668	49.1296578602198	35.416062980864	6	1624.7706494211698	35.416062980864	62.49117882389115	49.589730023749	0	1	1	0	0	0	2	1	1	0	0	0
26	87.94702684944	7	1738.628044221751	87.94702684944	64.39363126747226	54.3997222949101	30.270319002548003	6	1538.1274936500258	30.270319002548003	56.96768495000096	49.02165775845451	31.21373608444	1	1709.440578251074	31.21373608444	63.31261400929903	46.752088334986	28.928502928259995	2	1630.253811919235	28.928502928259995	60.37977081182352	44.705175428584	58.091705139380004	8	1585.012159103917	58.091705139380004	58.70415404088581	47.599819778874	33.763700389632	6	1658.5343498108018	33.763700389632	61.427198141140806	47.917862884897	0	1	1	0	0	0	2	1	1	0	0	0
27	32.467282926848	7	1771.095327148599	32.467282926848	63.25340454102139	46.6478133193618	30.99387246095	6	1569.121366110976	30.99387246095	56.04004878967771	41.8821951238632	32.844129966054	1	1742.284708217128	32.844129966054	62.22445386489743	40.1936338728416	32.636347979256	2	1662.890159898491	32.636347979256	59.38893428208896	39.9156623726808	41.745118470570006	8	1626.757277574487	41.745118470570006	58.09847419908882	35.2954715347938	31.6629543447	6	1690.1973041555018	31.6629543447	60.364189434125066	35.434735069008994	0	1	1	0	0	0	2	1	1	0	0	0
28	36.16437319862399	7	1807.2597003472229	36.16437319862399	62.319300011973205	35.92979878042739	58.615685016427	6	1627.737051127403	58.615685016427	56.128863831979416	38.8985169892441	50.897088326664	1	1793.181796543792	50.897088326664	61.8338550532342	38.1790553079725	31.306866154199994	2	1694.197026052691	31.306866154199994	58.420587105265206	37.933371884429306	33.080907895440006	8	1659.838185469927	33.080907895440006	57.235799498963004	37.9947343812885	31.615445438640002	6	1721.812749594142	31.615445438640002	59.372853434280756	38.0568916790575	0	1	1	0	0	0	2	1	1	0	0	0
29	37.09217108607999	7	1844.351871433303	37.09217108607999	61.47839571444343	38.4816957910601	54.324592043512	6	1682.061643170915	54.324592043512	56.0687214390305	40.6505201974857	95.759621570844	1	1888.941418114636	95.759621570844	62.964713937154535	46.0519705075131	31.912679237069998	2	1726.109705289761	31.912679237069998	57.53699017632537	46.0769429967501	30.803808407400002	8	1690.6419938773272	30.803808407400002	56.35473312924424	45.5408865176277	45.1604329974	6	1766.973182591542	45.1604329974	58.89910608638473	44.195361315725	0	1	1	0	0	0	2	1	1	0	0	0
30	37.108455232424994	7	1881.460326665728	37.108455232424994	60.69226860212026	42.8164980063011	49.50609909784	6	1731.567742268755	49.50609909784	55.85702394415338	44.6364213006651	53.3894823108	1	1942.330900425436	53.3894823108	62.655835497594715	46.667278742201106	31.174205120088	2	1757.2839104098489	31.174205120088	56.686577755156414	46.6231547103459	32.08131053876	8	1722.723304416087	32.08131053876	55.57171949729313	46.1220686556139	31.361862221549995	6	1798.3350448130918	31.361862221549995	58.01080789719651	43.8257956734177	0	1	1	0	0	0	2	1	1	0	0	0
31	95.738094313194	7	1977.198420978922	95.738094313194	61.787450655591314	43.823642947652694	105.51631668348	6	1837.084058952235	105.51631668348	57.40887684225734	51.18400669229369	56.915525302605	1	1999.246425728041	56.915525302605	62.47645080400128	53.795178381814196	43.766623066823996	2	1801.0505334766729	43.766623066823996	56.28282917114603	53.655797388756596	83.12542139813999	8	1805.848725814227	83.12542139813999	56.432772681694594	58.2574940053281	31.391241397530003	6	1829.7262862106218	31.391241397530003	57.17894644408193	56.4460082352971	0	1	1	0	0	0	2	1	1	0	0	0
32	86.253143687775	7	2063.451564666697	86.253143687775	62.52883529293021	59.73237437299459	36.480572950205996	6	1873.5646319024409	36.480572950205996	56.77468581522548	60.26301115600639	39.324623434848	1	2038.571049162889	39.324623434848	61.77488027766331	60.987342445615205	66.525839301123	2	1867.5763727777958	66.525839301123	56.593223417508966	64.50374015357251	82.28728215396	8	1888.136007968187	82.28728215396	57.21624266570264	63.1586589376491	35.80071552792	6	1865.5270017385417	35.80071552792	56.53112126480429	56.187098822093105	0	1	1	0	0	0	2	1	1	0	0	0
33	80.852781338784	7	2144.304346005481	80.852781338784	63.06777488251414	58.580824425710986	43.134763862511996	6	1916.699395764953	43.134763862511996	56.37351164014567	58.5176385052798	83.188402803504	1	2121.759451966393	83.188402803504	62.40468976371744	58.52393664581619	61.41194911724399	2	1928.9883218950397	61.41194911724399	56.73495064397176	61.526007417787596	85.99237392259799	8	1974.128381890785	85.99237392259799	58.06259946737603	61.499930441269896	36.204921811590005	6	1901.7319235501318	36.204921811590005	55.933291869121526	61.4723653274083	0	1	1	0	0	0	2	1	1	0	0	0
