==RUN 0==
ELocation 540: Accuracy:6.00
ELocation 541: Accuracy:5.00
ELocation 542: Accuracy:4.00
ELocation 543: Accuracy:5.00
ELocation 544: Accuracy:4.00
ELocation 545: Accuracy:4.00
ELocation 546: Accuracy:4.00
ELocation 547: Accuracy:3.90
ELocation 548: Accuracy:3.90
ELocation 549: Accuracy:3.90
ELocation 550: Accuracy:3.90
ELocation 551: Accuracy:3.90
ELocation 552: Accuracy:3.90
ELocation 553: Accuracy:3.90
ELocation 554: Accuracy:3.90
ELocation 555: Accuracy:3.90
ELocation 556: Accuracy:3.90
ELocation 557: Accuracy:3.90
ELocation 558: Accuracy:3.90
ELocation 559: Accuracy:3.90
ELocation 560: Accuracy:4.00
ELocation 561: Accuracy:4.00
ELocation 562: Accuracy:3.90
ELocation 563: Accuracy:3.90
ELocation 564: Accuracy:3.90
ELocation 565: Accuracy:3.00
ELocation 566: Accuracy:3.90
ELocation 567: Accuracy:3.90
ELocation 568: Accuracy:3.90
ELocation 569: Accuracy:3.90
ELocation 570: Accuracy:3.90
ELocation 571: Accuracy:3.90
ELocation 572: Accuracy:3.90
ELocation 573: Accuracy:3.90
ELocation 574: Accuracy:3.90
ELocation 575: Accuracy:3.90
ELocation 576: Accuracy:3.90
ELocation 577: Accuracy:3.90
ELocation 578: Accuracy:3.90
ELocation 579: Accuracy:3.90
ELocation 580: Accuracy:3.90
ELocation 581: Accuracy:3.90
ELocation 582: Accuracy:3.90
ELocation 583: Accuracy:3.90
ELocation 584: Accuracy:3.90
ELocation 585: Accuracy:3.90
ELocation 586: Accuracy:4.00
ELocation 587: Accuracy:3.90
ELocation 588: Accuracy:3.90
ELocation 589: Accuracy:3.90
ELocation 590: Accuracy:3.90
ELocation 591: Accuracy:3.90
ELocation 592: Accuracy:3.90
ELocation 593: Accuracy:3.90
ELocation 594: Accuracy:3.90
ELocation 595: Accuracy:3.90
ELocation 596: Accuracy:3.90
ETask 9: Configuration:3 Energy:0.0 Power:0.0 Reward:1.350030243 Time:60037 TotalReward:12.454516194
ELocation 597: Accuracy:3.90
ELocation 598: Accuracy:3.90
ELocation 599: Accuracy:3.00
ELocation 600: Accuracy:14.00
ELocation 601: Accuracy:8.00
ELocation 602: Accuracy:10.10
ELocation 603: Accuracy:10.10
ELocation 604: Accuracy:10.10
ELocation 605: Accuracy:14.00
ELocation 606: Accuracy:12.00
ELocation 607: Accuracy:9.00
ELocation 608: Accuracy:7.00
ELocation 609: Accuracy:6.00
ELocation 610: Accuracy:6.00
ELocation 611: Accuracy:5.00
ELocation 612: Accuracy:5.00
ELocation 613: Accuracy:4.00
ELocation 614: Accuracy:4.00
ELocation 615: Accuracy:4.00
ELocation 616: Accuracy:4.00
ELocation 617: Accuracy:3.90
ELocation 618: Accuracy:3.90
ELocation 619: Accuracy:3.90
ELocation 620: Accuracy:3.90
ELocation 621: Accuracy:3.90
ELocation 622: Accuracy:3.90
ELocation 623: Accuracy:3.90
ELocation 624: Accuracy:3.90
ELocation 625: Accuracy:3.90
ELocation 626: Accuracy:3.90
ELocation 627: Accuracy:3.90
ELocation 628: Accuracy:3.90
ELocation 629: Accuracy:3.90
ELocation 630: Accuracy:3.90
ELocation 631: Accuracy:3.90
ELocation 632: Accuracy:3.90
ELocation 633: Accuracy:3.90
ELocation 634: Accuracy:3.90
ELocation 635: Accuracy:3.90
ELocation 636: Accuracy:3.90
ELocation 637: Accuracy:3.90
ELocation 638: Accuracy:3.90
ELocation 639: Accuracy:3.90
ELocation 640: Accuracy:3.90
ELocation 641: Accuracy:3.90
ELocation 642: Accuracy:3.90
ELocation 643: Accuracy:3.90
ELocation 644: Accuracy:3.90
ELocation 645: Accuracy:3.90
ELocation 646: Accuracy:3.90
ELocation 647: Accuracy:3.90
ELocation 648: Accuracy:3.90
ELocation 649: Accuracy:3.90
ELocation 650: Accuracy:3.90
ELocation 651: Accuracy:3.90
ELocation 652: Accuracy:3.90
ELocation 653: Accuracy:3.90
ELocation 654: Accuracy:3.90
ELocation 655: Accuracy:3.90
ELocation 656: Accuracy:3.90
ELocation 657: Accuracy:3.90
ELocation 658: Accuracy:3.90
ELocation 659: Accuracy:3.90
ELocation 660: Accuracy:3.90
ELocation 661: Accuracy:3.90
ELocation 662: Accuracy:3.90
ELocation 663: Accuracy:3.90
ETask 10: Configuration:3 Energy:0.0 Power:0.0 Reward:1.5822858480000002 Time:60042 TotalReward:14.036802042
ELocation 664: Accuracy:3.90
ELocation 665: Accuracy:3.90
ELocation 666: Accuracy:3.00
ELocation 667: Accuracy:9.00
ELocation 668: Accuracy:10.00
ELocation 669: Accuracy:77.49
ELocation 670: Accuracy:7.00
ELocation 671: Accuracy:7.00
ELocation 672: Accuracy:13.00
ELocation 673: Accuracy:10.00
ELocation 674: Accuracy:8.00
ELocation 675: Accuracy:7.00
ELocation 676: Accuracy:8.00
ELocation 677: Accuracy:8.00
ELocation 678: Accuracy:7.00
ELocation 679: Accuracy:8.00
ELocation 680: Accuracy:7.00
ELocation 681: Accuracy:7.00
ELocation 682: Accuracy:7.00
ELocation 683: Accuracy:6.00
ELocation 684: Accuracy:6.00
ELocation 685: Accuracy:6.00
ELocation 686: Accuracy:6.00
ELocation 687: Accuracy:6.00
ELocation 688: Accuracy:5.00
ELocation 689: Accuracy:5.00
ELocation 690: Accuracy:5.00
ELocation 691: Accuracy:5.00
ELocation 692: Accuracy:6.00
ELocation 693: Accuracy:5.00
ELocation 694: Accuracy:5.00
ELocation 695: Accuracy:5.00
ELocation 696: Accuracy:6.00
ELocation 697: Accuracy:6.00
ELocation 698: Accuracy:6.00
ELocation 699: Accuracy:5.00
ELocation 700: Accuracy:5.00
ELocation 701: Accuracy:5.00
ELocation 702: Accuracy:5.00
ELocation 703: Accuracy:5.00
ELocation 704: Accuracy:5.00
ELocation 705: Accuracy:5.00
ELocation 706: Accuracy:5.00
ELocation 707: Accuracy:5.00
ELocation 708: Accuracy:5.00
ELocation 709: Accuracy:5.00
ELocation 710: Accuracy:5.00
ELocation 711: Accuracy:5.00
ELocation 712: Accuracy:5.00
ELocation 713: Accuracy:5.00
ELocation 714: Accuracy:5.00
