task	optimizer_reward	optimizer_total_reward	s1_reward	s1_total_reward	s10_reward	s10_total_reward	s30_reward	s30_total_reward	s60_reward	s60_total_reward
80	1.6437028299999998	32.762012599	0.0	0.4736398439999996	0.0	18.149217441999998	0.0	41.644053854000006	1.404675204	8.519908972000001
81	1.6533685489999999	34.415381148	0.0	0.4736398439999996	1.494756326	19.643973768	0.3763473089999998	42.020401163	1.497969234	10.017878206
82	1.299151686	35.714532834	0.0	0.4736398439999996	0.0	19.643973768	1.567301861	43.587703024	1.782497297	11.800375503000001
83	1.319281915	37.033814749	0.0	0.4736398439999996	0.0030788999999999955	19.647052667999997	2.226487657	45.814190681	1.31519586	13.115571363
84	0.06426779799999993	37.098082547000004	0.0	0.4736398439999996	1.5362595850000005	21.183312252999997	1.538335416	47.352526097	0.4603900519999993	13.575961415
85	0.2389048410000001	37.336987388000004	0.0	0.4736398439999996	0.0	21.183312252999997	1.7118916960000001	49.064417793000004	1.548301664	15.124263079
86	1.7483799989999997	39.085367387000005	0.0	0.4736398439999996	0.0	21.183312252999997	1.215498464	50.279916257000004	1.752591899	16.876854978
87	1.4606707209999998	40.546038108000005	0.0	0.4736398439999996	1.435767835	22.619080087999997	1.6196567309999998	51.899572988	1.473762948	18.350617926
88	1.1634304260000001	41.709468534	0.0	0.4736398439999996	0.0	22.619080087999997	1.634099166	53.533672154	0.3046537210000002	18.655271647000003
89	1.8160412899999998	43.525509824000004	0.0	0.4736398439999996	0.0	22.619080087999997	1.2178275499999998	54.751499704000004	1.3885106569999996	20.043782304000004
90	1.6037550899999997	45.129264914000004	0.0	0.4736398439999996	0.0	22.619080087999997	0.43707937500000016	55.18857907900001	1.545522341	21.589304645000006
91	1.5400096740000002	46.66927458800001	0.0	0.4736398439999996	0.0	22.619080087999997	1.1068795750000002	56.29545865400001	1.1283183150000002	22.717622960000007
92	1.297576038	47.96685062600001	0.0	0.4736398439999996	0.4296883400000002	23.048768427999995	1.982326192	58.27778484600001	1.443013994	24.160636954000008
93	0.27772843999999974	48.24457906600001	0.0	0.4736398439999996	0.0	23.048768427999995	1.4697718640000001	59.74755671000001	1.382371349	25.543008303000008
