task	r0_energy	r0_config	r0_reward	r0_rate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
36	95.24500961414999	11	3221.667207164696	34.117615384173135	0	0	0	0	0	0	0	0	0	0	0	1
37	108.15845171257499	11	3329.8256588772706	38.74332598659402	0	0	0	0	0	0	0	0	0	0	0	1
38	78.76060401561001	11	3408.5862628928808	28.212753677233437	0	0	0	0	0	0	0	0	0	0	0	1
39	101.359808029645	11	3509.946070922526	36.30799093599224	0	0	0	0	0	0	0	0	0	0	0	1
40	79.104039985152	11	3589.050110907678	28.33577551706937	0	0	0	0	0	0	0	0	0	0	0	1
41	78.485262820965	11	3667.535373728643	28.114123995569557	0	0	0	0	0	0	0	0	0	0	0	1
42	78.378525998682	11	3745.9138997273253	28.07588990997564	0	0	0	0	0	0	0	0	0	0	0	1
43	82.66377850002	11	3828.577678227345	29.610905731350442	0	0	0	0	0	0	0	0	0	0	0	1
44	85.68343005793201	11	3914.2611082852773	30.692571961050273	0	0	0	0	0	0	0	0	0	0	0	1
45	84.34819199679299	11	3998.6093002820703	30.214277730194507	0	0	0	0	0	0	0	0	0	0	0	1
46	79.48124389217399	11	4078.0905441742443	28.470893334510084	0	0	0	0	0	0	0	0	0	0	0	1
47	78.725004612543	11	4156.815548786787	28.200001652254212	0	0	0	0	0	0	0	0	0	0	0	1
48	84.38175908405398	11	4241.197307870841	30.226301761452174	0	0	0	0	0	0	0	0	0	0	0	1
49	79.76055995285402	11	4320.957867823695	28.57094684878353	0	0	0	0	0	0	0	0	0	0	0	1
50	78.84545063472001	11	4399.803318458415	28.243146496019108	0	0	0	0	0	0	0	0	0	0	0	1
51	95.66030117061001	11	4495.463619629025	34.26637653872598	0	0	0	0	0	0	0	0	0	0	0	1
52	101.560322921904	11	4597.023942550929	36.37981716605517	0	0	0	0	0	0	0	0	0	0	0	1
53	97.32719944232998	11	4694.351141993259	34.86347442710328	0	0	0	0	0	0	0	0	0	0	0	1
54	94.92165533927998	11	4789.272797332539	34.00178698720477	0	0	0	0	0	0	0	0	0	0	0	1
55	79.34029530669002	11	4868.613092639229	28.420404288963592	0	0	0	0	0	0	0	0	0	0	0	1
56	81.549684959232	11	4950.162777598461	29.211827448083103	0	0	0	0	0	0	0	0	0	0	0	1
57	86.57821968213601	11	5036.740997280596	31.013093617481555	0	0	0	0	0	0	0	0	0	0	0	1
58	93.44376943272002	11	5130.184766713316	33.472395020675826	0	0	0	0	0	0	0	0	0	0	0	1
59	77.98018203475199	11	5208.164948748068	27.933199534836536	0	0	0	0	0	0	0	0	0	0	0	1
60	78.38923580568	11	5286.554184553748	28.079726258751048	0	0	0	0	0	0	0	0	0	0	0	1
61	84.3028321791	11	5370.857016732848	30.198029437289545	0	0	0	0	0	0	0	0	0	0	0	1
62	92.441497593918	11	5463.298514326766	33.11337227244823	0	0	0	0	0	0	0	0	0	0	0	1
