task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	r2_energy	r2_config	r2_reward	r2_rate	r2_avgrate	r2_rollrate	r3_energy	r3_config	r3_reward	r3_rate	r3_avgrate	r3_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	c23	c24	c25	c26	c27	c28	c29
23	18.141667227611077	11	1058.9198722574672	11.858332772388923	16.291074957807187	19.580839727505197	12.147824529208616	11	1274.831852013534	17.852175470791384	19.612797723285144	20.981205203707276	11.429014268196923	11	1251.6257241735518	18.570985731803077	19.2557803719008	21.035867016171068	14.795010104535876	11	1228.472769134202	15.204989895464124	18.899581063603105	15.98186822393804	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	0.06798085665710119	12	1140.3539870775803	30.0679808566571	16.842151193761183	21.064614273684924	16.527578846470156	12	1311.319659304344	13.472421153529842	19.367182660494933	20.949971080238253	11.717656011196432	12	1301.140405809895	18.282343988803568	19.216842916576912	21.192627641284655	9.318111545030398	12	1284.486217033078	20.681888454969602	18.970873359257766	16.1869427059793	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	18.40760827380923	12	1171.7500480026804	11.59239172619077	16.640237368085398	19.10945888443333	16.263336500406645	12	1348.523122949076	13.736663499593353	19.150624231229486	20.783217539701074	17.11750064054548	12	1336.0305082417508	12.882499359454522	18.97321431822605	21.121211670987805	14.357157852609232	12	1326.852247848928	15.642842147390768	18.84287215880134	16.342166065088495	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	18.346192689554954	13	1203.3124428018025	11.653807310445044	16.455554773357978	16.62857026241919	1.0459485388800047	13	1432.605900241876	31.045948538880005	19.59119179817951	22.478417189509074	17.172034187736372	13	1370.7729156499647	12.82796581226363	18.745612521708924	20.916583329352505	0.8912326766104606	13	1410.516003014748	30.89123267661046	19.289107733535015	18.030204351950033	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	12.941336615418095	13	1249.5129894683785	17.058663384581905	16.477094366615976	16.331853653262424	4.332766974328614	13	1502.121323019736	25.667233025671386	19.808193270589932	23.645582267087484	14.192946985078896	13	1413.5836842320427	15.807053014921104	18.640663967895073	21.04973827142814	11.589207347928003	13	1460.378566447443	18.410792652071997	19.257739337768477	18.472134713649048	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	13.003411490268924	14	1295.5454166822335	16.996588509731076	16.495007957757874	16.104004201079963	0.967365172944735	14	1585.991270363128	30.967365172944735	20.192992301705615	23.593979141038005	16.18595605248074	14	1450.9967199232408	13.814043947519258	18.474228794778664	19.376082589340196	1.0699770315382153	14	1544.5264209078591	31.069977031538215	19.665057878932952	20.17294489863504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	18.4144633543632	14	1326.9229117641664	11.585536645636799	16.331358914020505	15.248721706707396	0.841578408236316	14	1669.5205452187681	30.841578408236316	20.547945171923303	24.222264175080294	16.764136745017847	14	1486.8438495721507	13.235863254982153	18.299616610118782	16.998875153160256	6.16780473102461	14	1642.4808920543842	36.16780473102461	20.21514944066934	22.16638939733479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	17.02855106668874	15	1362.0539192918845	12.971448933311262	16.2229747210944	14.748319381761117	14.421581773809232	15	1711.712094581368	15.578418226190768	20.387637851093224	23.7931153166078	16.887889642784494	15	1522.3558151229427	13.112110357215506	18.132277698734807	17.14611765843504	10.6564054894464	15	1694.8697938538003	19.3435945105536	20.18703476550432	22.924657291896665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	16.532162669395202	15	1398.5293120622725	13.467837330604798	16.1368766776416	14.910504909419998	15.478337833677784	15	1751.041596281824	14.521662166322216	20.20432611094413	23.29403853992411	16.356668553954464	15	1559.3065044559826	13.643331446045536	17.991998128338267	16.703995199061673	11.01632275305009	15	1746.2839197309563	18.98367724694991	20.149429843049493	23.63952729152171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	15.970581838772311	16	1436.5256529155974	14.029418161227689	16.073014298356327	15.128200563077536	16.107677907904986	16	1788.666635281248	13.892322092095016	20.013053261888096	20.7575787754255	16.22375155376197	16	1596.6171773312105	13.77624844623803	17.864248137971593	14.59524453592464	10.303710475391266	16	1799.6280371934383	19.696289524608734	20.135698318248256	22.609308887118203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
