interaction	name	drain	joules
55	drain-3	87.0	90.661951674
55	drain-4	86.0	99.42230788761599
56	drain-1	88.0	32516.0
56	drain-2	88.0	32519.0
56	drain-3	87.0	86.58946008
56	drain-4	86.0	87.11438046393599
57	drain-1	87.0	32511.0
57	drain-2	88.0	32518.0
57	drain-3	86.0	83.35189077545199
57	drain-4	86.0	90.404761384
58	drain-1	87.0	32515.0
58	drain-2	88.0	32518.0
58	drain-3	86.0	95.377072171394
58	drain-4	86.0	94.820094142944
59	drain-1	87.0	32516.0
59	drain-2	88.0	32518.0
59	drain-3	86.0	111.583631395782
59	drain-4	86.0	91.89885822520802
60	drain-1	87.0	32514.0
60	drain-2	88.0	32518.0
60	drain-3	86.0	86.54960659878
60	drain-4	86.0	82.60203697555201
61	drain-1	87.0	32518.0
61	drain-2	88.0	32518.0
61	drain-3	86.0	88.20556214989999
61	drain-4	86.0	92.84869561110801
62	drain-1	87.0	32517.0
62	drain-2	86.0	32516.0
62	drain-3	86.0	91.011836411288
62	drain-4	86.0	100.76897715256001
63	drain-1	86.0	32517.0
63	drain-2	86.0	32519.0
63	drain-3	84.0	88.66159556060799
63	drain-4	84.0	94.543728978944
64	drain-1	86.0	32516.0
64	drain-2	86.0	32515.0
64	drain-3	84.0	89.26962274931199
64	drain-4	84.0	84.3945797856
65	drain-1	86.0	32518.0
65	drain-2	86.0	32519.0
65	drain-3	84.0	87.87739243680001
65	drain-4	84.0	86.452541572544
66	drain-1	86.0	32518.0
66	drain-2	86.0	32515.0
66	drain-3	84.0	117.93044922422402
66	drain-4	84.0	97.091655195408
67	drain-1	86.0	32518.0
67	drain-2	86.0	32513.0
67	drain-3	84.0	113.00965607734399
67	drain-4	84.0	83.7370071744
68	drain-1	86.0	32515.0
68	drain-2	86.0	32513.0
68	drain-3	84.0	98.9147148978
68	drain-4	84.0	91.06804971519999
69	drain-1	86.0	32518.0
69	drain-2	85.0	32518.0
69	drain-3	83.0	91.04774423499701
69	drain-4	84.0	85.301903131648
70	drain-1	84.0	32515.0
70	drain-2	85.0	32516.0
70	drain-3	83.0	84.563763512964
70	drain-4	82.0	86.55418106606999
71	drain-1	84.0	32517.0
71	drain-2	85.0	32515.0
71	drain-3	83.0	86.20635889117202
71	drain-4	82.0	85.26086206365
72	drain-1	84.0	32519.0
72	drain-2	85.0	32518.0
72	drain-3	83.0	98.01662379144001
72	drain-4	82.0	89.84882315111999
73	drain-1	84.0	32517.0
73	drain-2	84.0	32516.0
73	drain-3	82.0	87.30691136667
73	drain-4	82.0	85.4278318271
74	drain-1	84.0	32515.0
74	drain-2	84.0	32517.0
74	drain-3	82.0	84.69509784271202
74	drain-4	82.0	84.09815088
75	drain-1	84.0	32517.0
75	drain-2	84.0	32520.0
75	drain-3	81.0	83.77825983504002
75	drain-4	82.0	85.88705041200001
76	drain-1	82.0	32515.0
76	drain-2	83.0	32514.0
76	drain-3	81.0	86.01746264555399
76	drain-4	81.0	83.71982275761
77	drain-1	82.0	32516.0
77	drain-2	83.0	32520.0
77	drain-3	81.0	85.45792886039999
77	drain-4	81.0	87.81086432340001
78	drain-1	82.0	32514.0
78	drain-2	83.0	32516.0
78	drain-3	81.0	86.72505365306401
78	drain-4	81.0	82.80859694345
79	drain-1	82.0	32513.0
79	drain-2	83.0	32520.0
79	drain-3	81.0	86.75404223952002
79	drain-4	81.0	83.281822858715
80	drain-1	82.0	32513.0
80	drain-2	83.0	32516.0
80	drain-3	81.0	89.913994624944
