task	r0_energy	r0_config	r0_reward	r0_rate	r1_energy	r1_config	r1_reward	r1_rate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
39	40.684535953600005	2	328.535927399272	14.573565117707467	68.60898210190499	4	284.16773643443497	24.576351797697306	0	0	1	0	1	0	0	0	0	0	0	0
40	34.49501770274	2	363.03094510201197	12.356424251727761	68.1345780192	3	352.30231445363495	24.406416006877613	0	0	1	1	0	0	0	0	0	0	0	0
41	38.62822303493999	2	401.65916813695196	13.836975415500895	35.844609839115	3	388.14692429274993	12.839860240877016	0	0	1	1	0	0	0	0	0	0	0	0
42	34.065827193552	0	435.724995330504	12.202684367839522	103.58349740707501	3	491.73042169982494	37.104536384623884	1	0	0	1	0	0	0	0	0	0	0	0
43	40.62905601077399	2	476.35405134127797	14.553691705351877	85.01897230029002	3	576.749394000115	30.454557241894932	0	0	1	1	0	0	0	0	0	0	0	0
44	36.200954274177	0	36.200954274177	12.967506008660418	83.85493788157498	4	660.60433188169	30.03758968892238	1	0	0	0	1	0	0	0	0	0	0	0
45	81.07917935039998	1	117.28013362457699	29.04328812551641	36.02708599308	3	696.63141787477	12.90522483334209	0	1	0	1	0	0	0	0	0	0	0	0
46	34.133467808979006	2	151.41360143355598	12.22691384202233	35.429614997251996	0	35.429614997251996	12.69120537214997	1	0	1	0	0	0	0	0	0	0	0	0
47	35.624368827431994	3	187.03797026098798	12.760967938184594	49.316518754819995	1	84.74613375207198	17.665618658442984	0	1	0	1	0	0	0	0	0	0	0	0
48	68.048259327048	4	255.08622958803596	24.375495878345557	69.791371478784	2	154.53750523085597	24.99989426105695	0	0	1	0	1	0	0	0	0	0	0	0
49	68.07953976038401	4	323.16576934842	24.386700809689795	68.81502975190001	3	223.35253498275597	24.650159911128362	0	0	0	1	1	0	0	0	0	0	0	0
50	104.158687986523	4	427.32445733494296	37.31057480114257	71.17100542115999	4	294.52354040391594	25.49409149414686	0	0	0	0	2	0	0	0	0	0	0	0
51	69.789547082808	4	497.11400441775095	24.999240746080474	68.19322678703998	3	362.7167671909559	24.427424520730735	0	0	0	1	1	0	0	0	0	0	0	0
52	67.13978974487	4	564.2537941626209	24.050073938460898	68.00716459277999	3	430.7239317837359	24.360775376518202	0	0	0	1	1	0	0	0	0	0	0	0
53	69.56091945845098	4	633.8147136210719	24.91734428362423	79.082004569848	3	509.8059363535839	28.327882233975398	0	0	0	1	1	0	0	0	0	0	0	0
54	70.3322890727	4	704.1470026937718	25.19365578723582	69.735528145616	2	579.5414644992	24.979890679026624	0	0	1	0	1	0	0	0	0	0	0	0
55	82.145953129038	0	82.145953129038	29.42541604622257	34.979232408663	2	614.520696907863	12.529874295640479	1	0	1	0	0	0	0	0	0	0	0	0
56	69.51596354599401	1	151.66191667503202	24.901240673191882	68.36247267025801	2	682.883169578121	24.488049911734212	0	1	1	0	0	0	0	0	0	0	0	0
57	82.5718913712	2	234.233808046232	29.577990938937305	36.465243677854	0	719.3484132559751	13.062176839828298	1	0	1	0	0	0	0	0	0	0	0	0
58	58.826694176249994	1	293.060502222482	21.072248660149256	37.98991221142	2	757.3383254673951	13.608326762299702	0	1	1	0	0	0	0	0	0	0	0	0
59	47.281577920500006	1	340.342080142982	16.93668462823881	52.36634883737399	0	809.704674304769	18.758095105925012	1	1	0	0	0	0	0	0	0	0	0	0
60	67.3766937459	1	407.718773888882	24.13493507315821	50.284159630092	2	859.988833934861	18.01223628540609	0	1	1	0	0	0	0	0	0	0	0	0
61	67.5315909345	1	475.25036482338203	24.19042063325373	117.630150928416	2	977.618984863277	42.13617346689528	0	1	1	0	0	0	0	0	0	0	0	0
62	36.5541253385	1	511.80449016188203	13.094015046626867	70.11625042422	2	1047.735235287497	25.11626880867582	0	1	1	0	0	0	0	0	0	0	0	0
63	67.069115883	1	578.8736060448821	24.024757928238806	68.46819298109999	2	1116.203428268597	24.525919873826865	0	1	1	0	0	0	0	0	0	0	0	0
