task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
10	15.012993235787462	2	544.854263490962	14.987006764212538	17.74287967948858	21.915866494461707	11.957156879082984	1	699.212975469126	18.042843120917016	22.76948631107059	20.868696099812453	0	1	1	0	0	0	0	0	0	0	0	0
11	16.78787626379463	1	581.738108921202	13.212123736205369	17.36531668421498	20.60077902558143	10.766868790278807	3	752.905466762931	19.233131209721193	22.474790052624808	21.108288437238805	0	1	0	1	0	0	0	0	0	0	0	0
12	0.5217303283085393	4	666.94460608773	30.52173032830854	18.37734850299141	22.7554907033597	8.138689682974565	1	813.934958064627	21.861310317025435	22.427599303732546	23.671299805170303	0	1	0	0	1	0	0	0	0	0	0	0
13	1.173658230937793	4	753.971068649098	31.173658230937793	19.29137062641615	23.622971085406853	10.0012818917237	2	869.7647127835651	19.9987181082763	22.254107789771385	22.921040182630463	0	0	1	0	1	0	0	0	0	0	0	0
14	4.0214258558185065	0	826.494588134938	25.978574144181493	19.737184194267172	22.787962884775418	2.1170591922454918	4	947.6045892052131	27.88294080775451	22.629363324303593	22.28920367675402	1	0	0	0	1	0	0	0	0	0	0	0
15	5.007752584003349	3	924.224564098614	35.00775258400335	20.691594718625684	24.291278258733104	0.480052090681788	4	1032.694734625033	30.480052090681788	23.12003137220223	25.534999155709578	0	0	0	1	1	0	0	0	0	0	0	0
16	8.643679291817548	4	1032.104835454938	38.64367929181755	21.747599693519323	28.07815471127079	1.2529571568111066	4	1112.9468958956022	28.747042843188893	23.451032046966155	29.029545874617565	0	0	0	0	2	0	0	0	0	0	0	0
17	5.200775480905087	4	1130.373667005798	35.20077548090509	22.494998348374086	29.49745038987722	2.5279950326364187	3	1189.6395764294923	27.47200496736358	23.67441943143268	30.058519854911037	0	0	0	1	1	0	0	0	0	0	0	0
18	2.106956138779708	4	1220.005586226558	32.10695613877971	23.000890863658594	30.15184964569523	0.8623266610746363	4	1270.9822478339922	29.137673338925364	23.961959110774398	31.065745168760127	0	0	0	0	2	0	0	0	0	0	0	0
19	1.6239464925492584	4	1299.222068934858	28.37605350745074	23.2696489958482	31.305493105087056	2.928909455512837	4	1346.5557089373522	27.071090544487163	24.117415682460038	31.224308078760323	0	0	0	0	2	0	0	0	0	0	0	0
20	0.5664956167135493	2	1381.390602004866	29.43350438328645	23.563165919059546	30.66688325868863	17.709352435296	0	1380.8671000554841	12.290647564703999	23.55423624828118	28.84794280609085	1	0	1	0	0	0	0	0	0	0	0	0
21	15.317428267242986	2	1422.379448092146	14.682571732757014	23.159502546954887	26.451832050184798	1.6753805214519382	4	1459.9399960997641	28.324619478548062	23.771071849656945	26.409589713720713	0	0	1	0	1	0	0	0	0	0	0	0
22	13.71245854129003	2	1467.848834664378	16.28754145870997	22.86072163007467	24.518266311501204	0.19044350836800916	4	1544.2216508939582	30.19044350836801	24.050174965253078	24.79011016560165	0	0	1	0	1	0	0	0	0	0	0	0
23	11.105625341568004	3	1520.595630585834	18.894374658431996	22.69545717292289	23.468852017566878	1.0776341097743298	4	1624.9632556708382	28.92236589022567	24.253182920460272	23.447321272696907	0	0	0	1	1	0	0	0	0	0	0	0
24	0.8462309652537314	4	1601.983235807834	29.15376903474627	22.953789647395823	23.525092825426462	16.1473051929446	3	1663.6353620072011	13.852694807055398	23.837163395924076	22.203253251683282	0	0	0	1	1	0	0	0	0	0	0	0
25	0.02088063627402903	4	1685.791527584099	30.02088063627403	23.225600839275753	22.26199087698204	17.42834748435188	4	1796.0394987343502	47.42834748435188	24.744516630094378	25.775760868946826	0	0	0	0	2	0	0	0	0	0	0	0
26	0.3125258369803028	4	1770.413995545669	30.312525836980303	23.48807954289444	27.338756279369157	21.97852975656035	4	1941.1462276380812	51.97852975656035	25.75318378292645	29.704147307170388	0	0	0	0	2	0	0	0	0	0	0	0
27	1.6114789945253776	4	1849.6652833526189	28.388521005474622	23.663095309415162	30.914245261846855	1.3211733389455453	4	2021.2079520668583	28.678826661054455	25.85767102857388	30.7630835771155	0	0	0	0	2	0	0	0	0	0	0	0
28	1.3477559072847782	4	1929.6527981114489	28.65224409271522	23.835134922632406	31.73887052054382	1.0414623019235876	4	2102.0505364739884	28.958537698076412	25.964597465453274	31.74248770132889	0	0	0	0	2	0	0	0	0	0	0	0
29	1.12190018217672	4	2010.2708267695389	28.87809981782328	24.003233752472102	31.714920779636593	0.6251135805850794	4	2184.0554277281885	29.37488641941492	26.078273763918663	33.267139940872546	0	0	0	0	2	0	0	0	0	0	0	0
30	3.005378920359412	4	2102.4108429222088	33.00537892035941	24.293625532081368	33.56558976928108	2.2319415121773147	0	77.51916327850499	27.768058487822685	26.132782948560727	31.59956086962817	1	0	0	0	1	0	0	0	0	0	0	0
31	0.8678809882889595	4	2188.5836773478486	30.86788098828896	24.499071015087857	31.655096384759037	2.2786472558758106	0	154.907939689185	27.72135274412419	26.182425754672085	29.22937868351542	1	0	0	0	1	0	0	0	0	0	0	0
32	0.6312481182770107	4	2270.5714430176586	29.36875188172299	24.64663710195559	29.327401771140252	4.642155200883579	1	251.617289624985	34.64215520088358	26.43878119243607	29.92373462512316	0	1	0	0	1	0	0	0	0	0	0	0
33	0.9192899391836384	4	2351.7550919374376	29.08071006081636	24.77705101251032	29.966581221933286	10.937547338536117	1	304.83330330490503	19.062452661463883	26.221830353289832	28.97697271827203	0	1	0	0	1	0	0	0	0	0	0	0
34	4.877630849605261	4	2449.1218113925856	34.87763084960526	25.06563900785589	29.576925821450224	4.837845535192834	2	402.08895542398506	34.837845535192834	26.468002215629916	30.12322173302802	0	0	1	0	1	0	0	0	0	0	0	0
