count	delay	accuracy
600	1000.0	3.00
601	2000.0	3.00
602	2000.0	3.00
603	1000.0	3.00
604	1000.0	3.00
605	1000.0	3.00
606	2000.0	3.00
607	1000.0	3.00
608	2000.0	3.00
609	2000.0	3.00
610	1000.0	3.00
611	2000.0	3.00
612	1000.0	3.00
613	1000.0	3.00
614	2000.0	3.00
615	1000.0	3.00
616	2000.0	3.00
617	1000.0	3.00
618	2000.0	3.00
619	1000.0	3.00
620	1000.0	3.00
621	1000.0	3.00
622	1000.0	3.00
623	2000.0	3.00
624	2000.0	3.00
625	1000.0	3.00
626	1000.0	3.00
627	2000.0	3.00
628	2000.0	3.00
629	1000.0	3.00
630	2000.0	3.00
631	2000.0	3.00
632	2000.0	3.00
633	1000.0	3.00
634	1000.0	3.00
635	2000.0	3.00
636	1000.0	3.00
637	1000.0	3.00
638	2000.0	3.00
639	2000.0	3.00
640	1000.0	3.00
641	1000.0	3.00
642	1000.0	3.00
643	2000.0	3.00
644	2000.0	3.00
645	2000.0	3.00
646	1000.0	3.00
647	1000.0	3.00
648	1000.0	3.00
649	2000.0	3.00
650	1000.0	3.00
651	1000.0	3.00
652	2000.0	3.00
653	1000.0	3.00
654	2000.0	3.00
655	1000.0	3.00
656	2000.0	3.00
657	1000.0	3.00
658	2000.0	3.00
659	1000.0	3.00
660	2000.0	3.00
661	1000.0	3.00
662	1000.0	3.00
663	1000.0	3.00
664	2000.0	3.00
665	2000.0	3.00
666	1000.0	3.00
667	2000.0	3.00
668	1000.0	3.00
669	2000.0	3.00
670	2000.0	3.00
671	2000.0	3.00
672	1000.0	3.00
673	1000.0	3.00
674	2000.0	3.00
675	1000.0	3.00
676	1000.0	3.00
677	2000.0	3.00
678	1000.0	3.00
679	2000.0	3.00
680	1000.0	3.00
681	2000.0	3.00
682	1000.0	3.00
683	1000.0	3.00
684	2000.0	3.00
685	1000.0	3.00
686	1000.0	3.00
687	2000.0	3.00
688	2000.0	3.00
689	1000.0	3.00
690	1000.0	3.00
691	2000.0	3.00
692	1000.0	3.00
693	2000.0	3.00
694	1000.0	3.00
695	1000.0	3.00
696	2000.0	3.00
697	1000.0	3.00
698	1000.0	3.00
699	2000.0	3.00
700	2000.0	3.00
701	1000.0	3.00
702	2000.0	3.00
703	1000.0	3.00
704	1000.0	3.00
705	2000.0	3.00
706	1000.0	3.00
707	1000.0	3.00
708	1000.0	3.00
709	1000.0	3.00
710	2000.0	3.00
711	2000.0	3.00
712	2000.0	3.00
713	2000.0	3.00
714	2000.0	3.00
715	1000.0	3.00
716	1000.0	3.00
717	1000.0	3.00
718	2000.0	3.00
719	1000.0	3.00
720	1000.0	3.00
721	2000.0	3.00
722	2000.0	3.00
723	1000.0	3.00
724	1000.0	3.00
725	1000.0	3.00
726	1000.0	3.00
727	2000.0	3.00
728	2000.0	3.00
729	2000.0	3.00
730	1000.0	3.00
731	1000.0	3.00
732	2000.0	3.00
733	1000.0	3.00
734	1000.0	3.00
735	1000.0	3.00
736	2000.0	3.00
737	2000.0	3.00
738	1000.0	3.00
739	1000.0	3.00
740	2000.0	3.00
741	2000.0	3.00
742	1000.0	3.00
743	1000.0	3.00
744	1000.0	3.00
745	2000.0	3.00
746	2000.0	3.00
747	1000.0	3.00
748	2000.0	3.00
749	1000.0	3.00
750	1000.0	3.00
751	2000.0	3.00
752	1000.0	3.00
753	2000.0	3.00
754	1000.0	3.00
755	1000.0	3.00
756	2000.0	3.00
757	1000.0	3.00
758	2000.0	3.00
759	2000.0	3.00
760	2000.0	3.00
761	2000.0	3.00
762	1000.0	3.00
763	1000.0	3.00
764	1000.0	3.00
765	2000.0	3.00
766	1000.0	3.00
767	2000.0	3.00
768	1000.0	3.00
769	2000.0	3.00
770	1000.0	3.00
771	1000.0	3.00
772	1000.0	3.00
773	1000.0	3.00
774	2000.0	3.00
775	1000.0	3.00
776	1000.0	3.00
777	1000.0	3.00
778	1000.0	3.00
779	1000.0	3.00
780	2000.0	3.00
781	1000.0	3.00
782	1000.0	3.00
783	0.0	3.00
784	1000.0	3.00
785	1000.0	3.00
786	1000.0	3.00
787	1000.0	3.00
788	1000.0	3.00
789	1000.0	3.00
790	1000.0	3.00
791	1000.0	3.00
792	1000.0	3.00
793	1000.0	3.00
794	1000.0	3.00
795	1000.0	3.00
796	1000.0	3.00
797	1000.0	3.00
798	1000.0	3.00
799	1000.0	3.00
800	1000.0	3.00
801	1000.0	3.00
802	1000.0	3.00
803	1000.0	3.00
804	1000.0	3.00
805	1000.0	3.00
806	1000.0	3.00
807	1000.0	3.00
808	1000.0	3.00
809	1000.0	3.00
810	1000.0	3.00
811	1000.0	3.00
812	1000.0	3.00
813	1000.0	3.00
814	1000.0	3.00
815	1000.0	3.00
816	1000.0	3.00
817	1000.0	3.00
818	1000.0	3.00
819	1000.0	3.00
820	1000.0	3.00
821	1000.0	3.00
822	1000.0	3.00
823	1000.0	3.00
824	1000.0	3.00
825	1000.0	3.00
826	1000.0	3.00
827	1000.0	3.00
828	1000.0	3.00
829	1000.0	3.00
830	1000.0	3.00
831	1000.0	3.00
832	1000.0	3.00
833	1000.0	3.00
834	1000.0	3.00
835	1000.0	3.00
836	1000.0	3.00
837	1000.0	3.00
838	1000.0	3.00
839	1000.0	3.00
840	1000.0	3.00
841	1000.0	3.00
842	1000.0	3.00
843	1000.0	3.00
844	1000.0	3.00
845	1000.0	3.00
846	1000.0	3.00
847	1000.0	3.00
848	1000.0	3.00
849	1000.0	3.00
850	1000.0	3.00
851	1000.0	3.00
852	1000.0	3.00
853	1000.0	3.00
854	1000.0	3.00
855	1000.0	3.00
856	1000.0	3.00
857	1000.0	3.00
858	1000.0	3.00
859	1000.0	3.00
860	1000.0	3.00
861	1000.0	3.00
862	1000.0	3.00
863	1000.0	3.00
864	1000.0	3.00
865	1000.0	3.00
866	1000.0	3.00
867	1000.0	3.00
868	1000.0	3.00
869	1000.0	3.00
870	1000.0	3.00
871	1000.0	3.00
872	1000.0	3.00
873	1000.0	3.00
874	1000.0	3.00
875	1000.0	3.00
876	1000.0	3.00
877	1000.0	3.00
878	1000.0	3.00
879	1000.0	3.00
880	1000.0	3.00
881	1000.0	3.00
882	1000.0	3.00
883	1000.0	3.00
884	1000.0	3.00
885	1000.0	3.00
886	1000.0	3.00
887	1000.0	3.00
888	1000.0	3.00
889	1000.0	3.00
890	1000.0	3.00
891	1000.0	3.00
892	1000.0	3.00
893	1000.0	3.00
894	1000.0	3.00
895	1000.0	3.00
896	1000.0	3.00
897	1000.0	3.00
898	1000.0	3.00
899	1000.0	3.00
900	1000.0	3.00
901	1000.0	3.00
902	1000.0	3.00
903	1000.0	3.00
904	1000.0	3.00
905	1000.0	3.00
906	1000.0	3.00
907	1000.0	3.00
908	1000.0	3.00
909	1000.0	3.00
910	1000.0	3.00
911	1000.0	3.00
912	1000.0	3.00
913	1000.0	3.00
914	1000.0	3.00
915	1000.0	3.00
916	1000.0	3.00
917	1000.0	3.00
918	1000.0	3.00
919	1000.0	3.00
920	1000.0	3.00
921	1000.0	3.00
922	1000.0	3.00
923	1000.0	3.00
924	1000.0	3.00
925	1000.0	3.00
926	1000.0	3.00
927	1000.0	3.00
928	1000.0	3.00
929	1000.0	3.00
930	1000.0	3.00
931	1000.0	3.00
932	1000.0	3.00
933	1000.0	3.00
934	1000.0	3.00
935	1000.0	3.00
936	1000.0	3.00
937	1000.0	3.00
938	1000.0	3.00
939	1000.0	3.00
940	1000.0	3.00
941	1000.0	3.00
942	1000.0	3.00
943	1000.0	3.00
944	1000.0	3.00
945	1000.0	3.00
946	1000.0	3.00
947	1000.0	3.00
948	1000.0	3.00
949	1000.0	3.00
950	1000.0	3.00
951	1000.0	3.00
952	1000.0	3.00
953	1000.0	3.00
954	1000.0	3.00
955	1000.0	3.00
956	1000.0	3.00
957	1000.0	3.00
958	1000.0	3.00
959	1000.0	3.00
960	1000.0	3.00
961	1000.0	3.00
962	1000.0	3.00
963	1000.0	3.00
964	1000.0	3.00
965	1000.0	3.00
966	1000.0	3.00
967	1000.0	3.00
968	1000.0	3.00
969	1000.0	3.00
970	1000.0	3.00
971	1000.0	3.00
972	1000.0	3.00
973	1000.0	3.00
974	1000.0	3.00
975	1000.0	3.00
976	1000.0	3.00
977	1000.0	3.00
978	1000.0	3.00
979	1000.0	3.00
980	1000.0	3.00
981	1000.0	3.00
982	1000.0	3.00
983	1000.0	3.00
984	1000.0	3.00
985	1000.0	3.00
986	1000.0	3.00
987	1000.0	3.00
988	1000.0	3.00
989	1000.0	3.00
990	1000.0	3.00
991	1000.0	3.00
992	1000.0	3.00
993	1000.0	3.00
994	1000.0	3.00
995	1000.0	3.00
996	1000.0	3.00
997	1000.0	3.00
998	1000.0	3.00
999	1000.0	3.00
1000	1000.0	3.00
1001	1000.0	3.00
1002	1000.0	3.00
1003	1000.0	3.00
1004	1000.0	3.00
1005	1000.0	3.00
1006	1000.0	3.00
1007	1000.0	3.00
1008	1000.0	3.00
1009	1000.0	3.00
1010	1000.0	3.00
1011	1000.0	3.00
1012	1000.0	3.00
1013	1000.0	3.00
1014	1000.0	3.00
1015	1000.0	3.00
1016	1000.0	3.00
1017	1000.0	3.00
1018	1000.0	3.00
1019	1000.0	3.00
1020	1000.0	3.00
1021	1000.0	3.00
1022	1000.0	3.00
1023	1000.0	3.00
1024	1000.0	3.00
1025	1000.0	3.00
1026	1000.0	3.00
1027	1000.0	3.00
1028	1000.0	3.00
1029	1000.0	3.00
1030	1000.0	3.00
1031	1000.0	3.00
1032	1000.0	3.00
1033	1000.0	3.00
1034	1000.0	3.00
1035	1000.0	3.00
1036	1000.0	3.00
1037	1000.0	3.00
1038	1000.0	3.00
1039	1000.0	3.00
1040	1000.0	3.00
1041	1000.0	3.00
1042	1000.0	3.00
1043	1000.0	3.00
1044	1000.0	3.00
1045	1000.0	3.00
1046	1000.0	3.00
1047	1000.0	3.00
1048	1000.0	3.00
1049	1000.0	3.00
1050	1000.0	3.00
1051	1000.0	3.00
1052	1000.0	3.00
1053	1000.0	3.00
1054	1000.0	3.00
1055	1000.0	3.00
1056	1000.0	3.00
1057	1000.0	3.00
1058	1000.0	3.00
1059	1000.0	3.00
1060	1000.0	3.00
1061	1000.0	3.00
1062	1000.0	3.00
1063	1000.0	3.00
1064	1000.0	3.00
1065	1000.0	3.00
1066	1000.0	3.00
1067	1000.0	3.00
1068	1000.0	3.00
1069	1000.0	3.00
1070	1000.0	3.00
1071	1000.0	3.00
1072	1000.0	3.00
1073	1000.0	3.00
1074	1000.0	3.00
1075	1000.0	3.00
