==RUN 0==
STOKE: Start Bat: 0.980000
ETask 25: Configuration:1 Energy:0.00 Power:0.00 Reward:79.85 Time:30012
ELocation 181: Diff:5000 ms Accuracy:3.00
ELocation 182: Diff:6000 ms Accuracy:3.00
ELocation 183: Diff:5000 ms Accuracy:3.00
ELocation 184: Diff:6000 ms Accuracy:3.00
ELocation 185: Diff:6000 ms Accuracy:3.00
ETask 26: Configuration:0 Energy:0.00 Power:0.00 Reward:79.86 Time:30013
ELocation 186: Diff:3000 ms Accuracy:3.00
ELocation 187: Diff:0 ms Accuracy:3.00
ELocation 188: Diff:13000 ms Accuracy:4.00
ELocation 189: Diff:10000 ms Accuracy:6.00
ETask 27: Configuration:1 Energy:0.00 Power:0.00 Reward:93.03 Time:30013
ELocation 190: Diff:0 ms Accuracy:6.00
ELocation 191: Diff:8457 ms Accuracy:6.00
ELocation 192: Diff:5543 ms Accuracy:3.00
ELocation 193: Diff:5000 ms Accuracy:3.00
ELocation 194: Diff:6000 ms Accuracy:3.00
ELocation 195: Diff:5000 ms Accuracy:3.00
ELocation 196: Diff:6000 ms Accuracy:3.00
ETask 28: Configuration:2 Energy:0.00 Power:0.00 Reward:91.98 Time:30009
ELocation 197: Diff:1000 ms Accuracy:3.00
ELocation 198: Diff:1000 ms Accuracy:3.00
ELocation 199: Diff:2000 ms Accuracy:3.00
ELocation 200: Diff:3000 ms Accuracy:3.00
ELocation 201: Diff:3000 ms Accuracy:3.00
ELocation 202: Diff:3000 ms Accuracy:3.00
ELocation 203: Diff:3000 ms Accuracy:3.00
ELocation 204: Diff:2000 ms Accuracy:3.00
ELocation 205: Diff:2000 ms Accuracy:3.00
ELocation 206: Diff:3000 ms Accuracy:3.00
ELocation 207: Diff:3000 ms Accuracy:3.00
ELocation 208: Diff:2000 ms Accuracy:3.00
ELocation 209: Diff:3000 ms Accuracy:3.00
ETask 29: Configuration:0 Energy:0.00 Power:0.00 Reward:93.51 Time:30014
ELocation 210: Diff:0 ms Accuracy:3.00
ELocation 211: Diff:0 ms Accuracy:3.00
ELocation 212: Diff:14000 ms Accuracy:4.00
ELocation 213: Diff:10000 ms Accuracy:5.00
ETask 30: Configuration:1 Energy:0.00 Power:0.00 Reward:36.86 Time:30015
ELocation 214: Diff:0 ms Accuracy:5.00
ELocation 215: Diff:7657 ms Accuracy:9.00
ELocation 216: Diff:6343 ms Accuracy:3.00
ELocation 217: Diff:5000 ms Accuracy:3.00
ELocation 218: Diff:5000 ms Accuracy:4.00
ELocation 219: Diff:6000 ms Accuracy:3.00
ELocation 220: Diff:5000 ms Accuracy:3.00
ETask 31: Configuration:2 Energy:0.00 Power:0.00 Reward:66.17 Time:30004
ELocation 221: Diff:2000 ms Accuracy:3.00
ELocation 222: Diff:0 ms Accuracy:3.00
ELocation 223: Diff:2000 ms Accuracy:3.00
ELocation 224: Diff:2000 ms Accuracy:3.00
ELocation 225: Diff:2000 ms Accuracy:3.00
ELocation 226: Diff:3000 ms Accuracy:3.00
ELocation 227: Diff:2000 ms Accuracy:3.00
ELocation 228: Diff:3000 ms Accuracy:3.00
ELocation 229: Diff:3000 ms Accuracy:3.00
ELocation 230: Diff:3000 ms Accuracy:3.00
ELocation 231: Diff:3000 ms Accuracy:3.00
ELocation 232: Diff:2000 ms Accuracy:3.00
ELocation 233: Diff:2000 ms Accuracy:3.00
ELocation 234: Diff:3000 ms Accuracy:3.00
ETask 32: Configuration:3 Energy:0.00 Power:0.00 Reward:64.97 Time:30005
ELocation 235: Diff:0 ms Accuracy:3.00
ELocation 236: Diff:0 ms Accuracy:3.00
ELocation 237: Diff:1000 ms Accuracy:3.00
ELocation 238: Diff:1000 ms Accuracy:3.00
ELocation 239: Diff:1000 ms Accuracy:3.00
ELocation 240: Diff:1000 ms Accuracy:3.00
ELocation 241: Diff:1000 ms Accuracy:3.00
ELocation 242: Diff:1000 ms Accuracy:3.00
ELocation 243: Diff:1000 ms Accuracy:3.00
ELocation 244: Diff:1000 ms Accuracy:3.00
ELocation 245: Diff:1000 ms Accuracy:3.00
ELocation 246: Diff:1000 ms Accuracy:3.00
ELocation 247: Diff:1000 ms Accuracy:3.00
ELocation 248: Diff:1000 ms Accuracy:3.00
ELocation 249: Diff:1000 ms Accuracy:3.00
ELocation 250: Diff:1000 ms Accuracy:3.00
ELocation 251: Diff:1000 ms Accuracy:3.00
ELocation 252: Diff:1000 ms Accuracy:3.00
ELocation 253: Diff:1000 ms Accuracy:3.00
ELocation 254: Diff:1000 ms Accuracy:3.00
ELocation 255: Diff:1000 ms Accuracy:3.00
ELocation 256: Diff:1000 ms Accuracy:3.00
ELocation 257: Diff:1000 ms Accuracy:3.00
ELocation 258: Diff:1000 ms Accuracy:3.00
ELocation 259: Diff:1000 ms Accuracy:3.00
ELocation 260: Diff:1000 ms Accuracy:3.00
ELocation 261: Diff:1000 ms Accuracy:3.00
ELocation 262: Diff:1000 ms Accuracy:3.00
ELocation 263: Diff:1000 ms Accuracy:3.00
ELocation 264: Diff:1000 ms Accuracy:3.00
ELocation 265: Diff:1000 ms Accuracy:3.00
ELocation 266: Diff:1000 ms Accuracy:3.00
ETask 33: Configuration:1 Energy:0.00 Power:0.00 Reward:71.77 Time:30009
ELocation 267: Diff:0 ms Accuracy:3.00
ELocation 268: Diff:0 ms Accuracy:3.00
ELocation 269: Diff:5000 ms Accuracy:3.00
ELocation 270: Diff:5000 ms Accuracy:3.00
ELocation 271: Diff:6000 ms Accuracy:3.00
ELocation 272: Diff:5000 ms Accuracy:3.00
ELocation 273: Diff:6000 ms Accuracy:3.00
ETask 34: Configuration:0 Energy:0.00 Power:0.00 Reward:46.74 Time:30008
ELocation 274: Diff:3000 ms Accuracy:3.00
ELocation 275: Diff:0 ms Accuracy:3.00
ELocation 276: Diff:13000 ms Accuracy:4.00
ETask 35: Configuration:1 Energy:0.00 Power:0.00 Reward:33.79 Time:30012
ELocation 277: Diff:10000 ms Accuracy:15.00
ELocation 278: Diff:7877 ms Accuracy:13.00
ELocation 279: Diff:6123 ms Accuracy:3.00
ELocation 280: Diff:5000 ms Accuracy:3.00
ELocation 281: Diff:6000 ms Accuracy:3.00
ELocation 282: Diff:5000 ms Accuracy:3.00
ELocation 283: Diff:6000 ms Accuracy:3.00
ETask 36: Configuration:1 Energy:0.00 Power:0.00 Reward:36.62 Time:30014
ELocation 284: Diff:5000 ms Accuracy:3.00
ELocation 285: Diff:5000 ms Accuracy:3.00
ELocation 286: Diff:6000 ms Accuracy:3.00
ELocation 287: Diff:6000 ms Accuracy:3.00
ELocation 288: Diff:5000 ms Accuracy:3.00
ETask 37: Configuration:1 Energy:0.00 Power:0.00 Reward:39.16 Time:30039
ELocation 289: Diff:5000 ms Accuracy:3.00
ELocation 290: Diff:5000 ms Accuracy:3.00
