task	r0_energy	r0_config	r0_reward	r1_energy	r1_config	r1_reward	r2_energy	r2_config	r2_reward	r3_energy	r3_config	r3_reward	r4_energy	r4_config	r4_reward	r5_energy	r5_config	r5_reward	r6_energy	r6_config	r6_reward	r7_energy	r7_config	r7_reward	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
21	31.667590475400004	1	1033.03053820143	30.898552721974	1	1149.841601443357	67.189952377548	1	1355.356648923975	32.43136055796	3	1045.9472956431239	37.91365369112	0	1381.1516977923661	31.693922403769992	0	1188.5532401794608	41.11016131359601	6	1260.8504242410522	42.72183096867	5	1425.710932444465	2	3	0	1	0	1	1	0	0	0	0	0
22	62.82216096851701	1	1095.852699169947	31.391643611123996	1	1181.233245054481	35.25736598631	1	1390.614014910285	44.77178688102	3	1090.719082524144	37.586245997336	0	1418.737943789702	31.93967348442	0	1220.4929136638807	33.264975522128	1	1294.1153997631802	36.55517709018	5	1462.266109534645	2	4	0	1	0	1	0	0	0	0	0	0
23	79.64763742893999	2	1175.500336598887	32.107714790736	1	1213.340959845217	37.014870547200005	1	1427.628885457485	34.14336602112	3	1124.862448545264	39.708906854448	0	1458.4468506441501	31.431451282330002	0	1251.9243649462107	90.942886458928	2	1385.058286222108	36.318721647768	5	1498.584831182413	2	2	2	1	0	1	0	0	0	0	0	0
24	34.76483932079399	9	1210.265175919681	31.263901162466	1	1244.604861007683	73.889688433275	1	1501.51857389076	34.774539404625	3	1159.636987949889	43.914064557888	0	1502.360915202038	36.31352245194	0	1288.2378873981506	64.60121220096599	6	1449.6594984230742	51.53326929072001	5	1550.118100473133	2	2	0	1	0	1	1	0	0	1	0	0
25	34.525209285125	9	1244.790385204806	31.334591220594003	1	1275.9394522282769	45.235218475082995	6	1546.753792365843	35.106174486646005	3	1194.7431624365352	41.95122660288	4	1544.3121418049182	63.88956351538	0	1352.1274509135305	66.39509767162599	6	1516.0545960947002	39.45906073837	5	1589.577161211503	1	1	0	1	1	1	2	0	0	1	0	0
26	43.77279651156	9	1288.563181716366	39.26482187993499	1	1315.2042741082118	33.389951616059996	6	1580.143743981903	54.393082699995006	3	1249.13624513653	67.280404597611	0	1611.5925464025293	54.463210973948	0	1406.5906618874785	35.141506446336	6	1551.1961025410362	71.945564987688	5	1661.5227261991909	2	1	0	1	0	1	2	0	0	1	0	0
27	75.390509634356	5	1363.953691350722	69.21250885566499	1	1384.4167829638768	33.722280923292	6	1613.866024905195	47.047336753130004	3	1296.18358188966	37.97387556284999	0	1649.5664219653793	56.80324825058399	0	1463.3939101380624	34.983651201672004	6	1586.1797537427083	69.076491124536	5	1730.5992173237269	2	1	0	1	0	2	2	0	0	0	0	0
28	38.514988851911006	9	1402.468680202633	38.84262706128	1	1423.2594100251567	36.505827993492	1	1650.371852898687	34.170409869902	6	1330.353991759562	37.99469598441	0	1687.5611179497894	37.371106155982	0	1500.7650162940445	36.207711561762	6	1622.3874653044702	81.421908130416	5	1812.0211254541427	2	2	0	0	0	1	2	0	0	1	0	0
29	39.142972068486	9	1441.611652271119	69.636683408796	1	1492.8960934339527	42.193070223486	6	1692.564923122173	64.71514529736001	6	1395.069137056922	38.124174523086	2	1725.6852924728753	34.060536460794	0	1534.8255527548386	35.636375359165996	6	1658.0238406636363	70.00001113278601	5	1882.0211365869288	1	1	1	0	0	1	3	0	0	1	0	0
30	43.26672039552	9	1484.878372666639	34.319245689035995	0	1527.2153391229888	44.806286913536	6	1737.371210035709	35.21785359164801	5	1430.28699064857	50.328850162668	0	1776.0141426355433	33.90093441642	0	1568.7264871712587	38.065683564720004	6	1696.0895242283564	67.76694531292	3	1949.7880818998487	3	0	0	1	0	1	2	0	0	1	0	0
31	68.29287795486	9	1553.171250621499	35.44577424002999	0	1562.6611133630188	34.77541015296	6	1772.146620188669	34.478391013793996	3	1464.765381662364	38.082013423254004	0	1814.0961560587973	39.13543169753999	2	1607.8619188687987	34.94236156918401	6	1731.0318857975403	48.34185432747	0	1998.1299362273187	3	0	1	1	0	0	2	0	0	1	0	0
32	32.1356589786	1	1585.306909600099	41.102199079998	0	1603.7633124430167	37.99795710816	6	1810.144577296829	47.9469752768	3	1512.712356939164	37.8972156164	0	1851.9933716751973	48.255920838840005	0	1656.1178397076387	35.040671837344	6	1766.0725576348843	31.383017879828994	0	2029.5129541071476	4	1	0	1	0	0	2	0	0	0	0	0
33	31.064768954100003	1	1616.371678554199	50.20768071648	0	1653.9709931594966	39.561674865696006	6	1849.706252162525	49.64643224616001	3	1562.358789185324	49.648718968450005	0	1901.6420906436474	35.80969048992	0	1691.9275301975588	37.16284353566401	6	1803.2354011705484	32.709838520304	0	2062.222792627452	4	1	0	1	0	0	2	0	0	0	0	0
34	35.94239561088	1	1652.314074165079	35.169075855816	3	1689.1400690153125	69.170979434832	6	1918.877231597357	50.23982016044	3	1612.598609345764	55.141529789850004	0	1956.7836204334974	33.15380651052	0	1725.0813367080789	44.381125278720006	6	1847.6165264492683	50.70451146245401	0	2112.9273040899056	3	1	0	2	0	0	2	0	0	0	0	0
35	43.464110595165	8	1695.7781847602441	35.35879142712	3	1724.4988604424325	62.044761220128	6	1980.921992817485	48.292065262752004	7	1660.890674608516	67.62573028785002	0	2024.4093507213474	34.627972864492	0	1759.7093095725709	54.080480562009996	6	1901.6970070112784	59.414092717512	0	2172.341396807418	3	0	0	1	0	0	2	1	1	0	0	0
36	31.25480649795	1	1727.0329912581942	35.865941145678	3	1760.3648015881106	33.368327123040004	6	2014.290319940525	38.707241633666	6	1699.597916242182	71.19249381055	0	2095.6018445318973	35.03225552487599	0	1794.741565097447	67.84879376751199	6	1969.5458007787904	48.104974650744	0	2220.4463714581616	3	1	0	1	0	0	3	0	0	0	0	0
37	31.131747204885002	1	1758.1647384630792	36.55441480219199	3	1796.9192163903026	62.637817877135994	6	2076.928137817661	42.034689556274	3	1741.632605798456	101.38928135315001	4	2196.9911258850475	33.94167767672	0	1828.683242774167	56.66073510695	6	2026.2065358857403	49.556286758322	0	2270.0026582164837	2	1	0	2	1	0	2	0	0	0	0	0
38	30.96093393981	1	1789.1256724028892	36.852218388594	3	1833.7714347788965	66.979178047728	6	2143.907315865389	34.83158800653901	3	1776.4641938049951	38.43142911228499	0	2235.4225549973326	33.829184499528004	0	1862.512427273695	38.395653747792	3	2064.6021896335324	67.233829143546	0	2337.2364873600295	3	1	0	3	0	0	1	0	0	0	0	0
39	30.610745891505005	1	1819.7364182943943	36.587005522956	3	1870.3584403018524	84.664260506592	1	2228.5715763719813	39.447689313732	3	1815.9118831187272	37.79513601159999	0	2273.2176910089324	41.52932974823201	0	1904.041757021927	37.268273482199994	3	2101.8704631157325	35.640612304584	0	2372.8770996646135	3	2	0	3	0	0	0	0	0	0	0	0
40	42.61921073806501	1	1862.3556290324593	40.44974755613401	3	1910.8081878579865	33.575452371648	0	2262.1470287436296	35.87862059686801	3	1851.7905037155952	38.27440565019499	0	2311.4920966591276	47.965715752319994	0	1952.007472774247	45.539450833951996	3	2147.4099139496843	38.03393980346999	0	2410.9110394680833	4	1	0	3	0	0	0	0	0	0	0	0
41	33.26789951280001	1	1895.6235285452594	41.099828390481	3	1951.9080162484674	36.33263485689601	0	2298.479663600526	45.525977682398	3	1897.3164813979931	37.929710721375	0	2349.4218073805027	34.61281830195	0	1986.620291076197	38.037619420672	3	2185.4475333703563	35.175350800275005	0	2446.086390268358	4	1	0	3	0	0	0	0	0	0	0	0
42	31.04203817682	1	1926.6655667220793	35.914648276755	3	1987.8226645252225	33.411755070785	0	2331.891418671311	34.547271330927	3	1931.8637527289202	37.19675521088999	0	2386.6185625913927	32.991835021440004	0	2019.612126097637	40.197452838452	3	2225.6449862088084	49.33360275660001	0	2495.4199930249583	4	1	0	3	0	0	0	0	0	0	0	0
43	46.55851002	1	1973.2240767420794	42.71647854639	3	2030.5391430716124	33.97071645093	0	2365.862135122241	34.947097536039	3	1966.8108502649593	39.358671247665	0	2425.9772338390576	33.136072733412	0	2052.748198831049	41.436506659487996	3	2267.081492868296	36.67167845385	0	2532.091671478808	4	1	0	3	0	0	0	0	0	0	0	0
44	46.86948784277999	1	2020.0935645848595	93.42934076229001	3	2123.9684838339026	46.01040430283499	0	2411.872539425076	72.06284214633	3	2038.8736924112893	71.67394964179998	0	2497.6511834808575	62.47183940844	0	2115.220038239489	35.047989852911996	3	2302.129482721208	57.61039786866	0	2589.7020693474683	4	1	0	3	0	0	0	0	0	0	0	0
45	34.819289602649995	1	2054.9128541875093	78.33680597370001	1	2202.3052898076025	47.574551501924994	0	2459.4470909270008	99.63907115214299	3	2138.512763563432	36.14360109359999	0	2533.7947845744575	50.85965408202001	0	2166.079692321509	37.960415051568	3	2340.089897772776	40.20757446912	0	2629.9096438165884	4	2	0	2	0	0	0	0	0	0	0	0
46	43.961568477480014	1	2098.874422664989	34.898514194295004	0	2237.2038040018974	49.009143897840005	0	2508.456234824841	31.288444726913994	0	2169.801208290346	36.00399718278	0	2569.7987817572375	52.53233571936	0	2218.612028040869	38.99612429658	9	2379.086022069356	39.97314133266	0	2669.8827851492483	6	1	0	0	0	0	0	0	0	1	0	0
