tick	gps500_level	gps500_watts	gps5000_level	gps5000_watts
280	44	2.3452	62	1.177
281	44	2.3088	62	1.9431
282	44	2.4524	62	1.2385
283	44	2.4359	61	1.2142
284	44	2.6063	61	2.9834
285	44	2.3281	61	1.2248
286	44	2.3019	61	1.4778
287	44	2.3458	61	2.4177
288	42	2.35	61	1.2886
289	42	2.6248	61	1.1817
290	42	2.3096	61	2.945
291	42	2.7448	61	1.2881
292	42	2.4137	61	2.4721
293	42	2.7921	60	2.4222
294	42	2.7921	60	1.2374
295	41	2.5318	60	2.5612
296	41	2.4558	60	1.5504
297	41	2.3362	60	1.1556
298	40	3.1328	60	1.1556
299	40	2.3743	59	1.1753
300	40	2.7877	59	2.6843
301	40	2.5649	59	2.4071
302	39	2.7091	59	2.433
303	39	2.2546	58	1.1999
304	39	2.3953	58	1.8792
305	39	2.3071	58	1.1981
306	39	2.7611	58	1.2334
307	39	2.3608	58	1.197
308	39	2.5514	58	1.7458
309	39	2.3851	58	1.2498
310	38	2.3345	58	1.5243
311	38	2.4635	58	1.2375
312	38	2.2428	58	1.3127
313	38	2.3362	57	2.5664
314	38	2.4968	57	1.7196
315	38	2.7005	57	2.3907
316	38	2.3882	57	1.2017
317	36	2.2985	57	2.0978
318	36	2.3426	57	1.1518
319	36	2.3539	56	1.4871
320	36	2.3257	56	2.3819
321	36	2.4166	56	1.6873
322	36	2.6895	56	1.2181
323	36	2.6274	55	1.6093
324	35	2.2999	55	2.3844
325	35	2.2903	55	2.0904
326	35	2.2903	55	2.4166
327	35	2.3648	55	1.2463
328	35	2.3422	55	1.1855
329	35	2.4387	55	2.5095
330	35	2.6829	55	2.7609
331	33	2.4433	53	2.5095
332	33	2.4433	53	1.1556
333	33	2.4854	53	2.4397
334	33	2.2849	53	1.3637
335	33	2.3731	53	2.4541
336	33	2.3062	53	1.411
337	33	2.3175	53	1.1619
338	31	3.0095	53	2.7349
339	31	2.6229	53	1.5865
340	31	2.2946	53	2.4103
341	31	2.341	53	2.4103
