task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19
32	17.859511672763077	13	1741.5671572220117	12.140488327236923	19.486066094791738	17.800497321742448	1.4981605074372837	19	1868.8982020185333	31.498160507437284	20.910749113494077	26.374551118672724	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
33	15.919939373243077	15	1779.7006547528117	14.080060626756923	19.327065933967187	17.014503682446023	0.7958489202845591	19	1947.9927778594292	29.20415107971544	21.15467270073588	27.87441494998929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
34	14.353375227686403	6	1822.0769301778278	15.646624772313597	19.221910472205654	15.647777669051408	2.1266509189377203	11	2035.002457431552	32.12665091893772	21.468157792684504	29.795069465092467	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
35	18.053400676365783	12	1854.4323033460037	11.946599323634215	19.01981849585645	15.470832610837736	5.981660965475072	19	2132.4527892130473	35.98166096547507	21.871310658595352	31.99300660979535	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
36	11.21116339846892	6	1905.3187358084838	18.78883660153108	19.013575741955762	16.19308727303712	18.82524272160997	0	2162.71775684202	11.174757278390029	21.582214621292508	31.048315469889264	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
37	1.8703094337496644	19	1991.6341571915557	31.870309433749664	19.351910839108232	17.389757776174008	1.8989235121632007	19	2249.110674687462	31.8989235121632	21.853706960525944	30.72006813688671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
38	18.397295213848615	10	2023.0581493207158	11.602704786151387	19.153213248006775	17.40542071065888	18.526952113824002	14	2280.183512712522	11.473047886176	21.587536215029793	28.573272401722885	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
39	2.2421337179963103	19	2110.3805948069557	32.24213371799631	19.480436259756516	19.293476274501604	0.2392611376128002	18	2362.08151162689	30.2392611376128	21.803829338094367	27.544136083959984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
40	14.413399482626957	16	2152.594304541508	15.586600517373043	19.385464656283748	17.827092711131847	2.2064508827040044	4	2437.3557071529	27.793549117295996	21.94992006441636	27.31649911619217	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
41	2.253391818210453	19	2239.947240715828	32.25339181821045	19.691843874424862	19.615774992495357	17.424490547568	6	2471.41437858657	12.575509452432001	21.726719811750066	25.396567185563555	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
42	18.340315235723814	4	2271.5255536190757	11.659684764276186	19.50504947651443	19.567694636199285	13.12697318328	4	2517.11215954852	16.87302681672	21.613843230470298	23.93405381649183	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	13.25997914274462	2	2316.8631101074757	16.74002085725538	19.44220791698581	19.833690659249132	18.280154744832	4	2548.8534071146	11.719845255168	21.388979640122518	22.18562323403708	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	11.698157198832003	10	2366.430601027306	18.301842801167997	19.41686646996764	20.099212462134574	12.557098350719997	6	2596.0945990814002	17.442901649280003	21.301289018103795	20.717248307071312	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
45	10.826003790180927	12	2418.360174095566	19.173996209819073	19.41158668170354	20.82195215075306	12.881194528338465	12	2642.45803056715	17.118805471661535	21.210365462746353	18.830962757689957	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
46	10.540192189482468	19	2528.156527942081	40.54019218948247	19.861131479741392	22.9970877095482	1.6900584296529217	19	2728.28527214746	31.69005842965292	21.433337653531602	20.882492872816243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
47	4.585437766732799	17	2596.987633990513	25.4145622332672	19.976827953773178	22.35151298949995	17.16684168194363	10	2763.041742592196	12.83315831805637	21.254167250709198	18.97591635340556	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
48	12.031585753262767	0	2645.652089242093	17.968414246737233	19.93583991893571	22.988083935558535	2.8459421482338385	19	2851.999502576996	32.84594214823384	21.490734085352557	21.11320577961135	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
49	14.193061327620924	17	2688.462548146453	15.806938672379076	19.853261894004575	21.344564430996808	8.6843638292928	15	2909.7293505393277	21.3156361707072	21.487232127059652	20.220843282920786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
50	16.844435559206396	16	2724.0922018402694	13.155564440793603	19.721934492961225	21.101460823338865	9.944117819261542	12	2964.0473647788276	20.055882180738458	21.45916644183767	19.44707658926503	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
51	12.215139539723811	3	2772.259532253517	17.78486046027619	19.68468306925574	19.65460768754544	5.532043867824001	19	3060.2799835875176	35.532043867824	21.729798700029715	21.742730030804232	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
52	1.820719470917549	19	2858.440647487252	31.82071947091755	19.913664888155022	21.670711158209578	1.3497730488044333	19	3145.1856189280297	31.349773048804433	21.9113076500066	23.190404654012674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
53	15.961760860723194	4	2896.4608784894604	14.038239139276806	19.80486070762024	21.40053298641172	2.717892634658213	19	3233.7965781468956	32.71789263465821	22.111429594166815	25.290209391961696	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
54	14.712765938826832	17	2937.863804071804	15.287234061173168	19.7227220413212	21.099072112412237	0.7760704922953892	19	3312.9447205635956	29.22392950770461	22.240747774412956	26.468312177804155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
55	15.740478829256123	7	2976.4833405759023	14.259521170743877	19.625164882918035	20.607624608504715	0.10730590746092261	19	3394.4853407296355	30.107305907460923	22.38122202678881	27.76716222138409	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
56	1.2824937983527462	14	3054.2599198720304	28.717506201647254	19.784679642895743	19.425356009721195	17.47377747875077	7	3428.4105267246855	12.52622252124923	22.20832729862145	25.850778630543726	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
57	11.750206091921726	14	3103.6864450397425	18.249793908078274	19.758216095743716	18.708879177202306	1.5141331874510726	19	3505.5597493420055	28.485866812548927	22.316560738516753	27.416049479992985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
58	2.5846142749705834	7	3177.9364480450304	27.415385725029417	19.887998631833305	19.65357632503152	0.6093403776324919	19	3585.1594524859174	29.390659622367508	22.43646071959897	27.070521227406353	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
59	11.622270525041724	3	3227.7094653730423	18.377729474958276	19.86282747921872	19.910655405289443	0.11871260748258194	19	3666.7309657978494	30.118712607482582	22.564498251063696	27.95082887108389	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
60	18.233546541650952	13	3259.576943489404	11.766453458349048	19.730100036253646	19.771744307044987	0.7782768595846115	19	3750.0887989592243	30.77827685958461	22.699150359400104	29.0230683389685	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
61	16.688742558245536	7	3295.628265727489	13.311257441754462	19.62657031698753	19.32438400519281	2.6734438472640036	19	3838.5793760455645	32.673443847264004	22.860026060817265	28.737208336912506	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
62	0.954772818027326	19	3374.2924226786654	29.045227181972674	19.776072806907926	19.046834776298326	2.258411785423384	19	3925.9459079644193	32.258411785423384	23.00920678660466	28.8280722105744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
63	9.26974008636406	1	3430.4368766114294	20.73025991363594	19.790981980450553	19.716036853734238	18.352781034461536	13	3957.4904593294195	11.647218965538462	22.831675726900503	26.721004843662428	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
64	16.192978773744	8	3467.8308924325393	13.807021226256001	19.698921045770636	19.568015570242522	5.805900863243075	19	4054.4647741673693	35.805900863243075	23.031279190536544	27.37920197921627	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
65	14.695751895017356	8	3509.2798977168673	15.304248104982644	19.632335092122332	19.6724882636664	15.978082065489227	10	4092.4408019066695	14.021917934510773	22.894773716960398	25.770663181921254	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
66	0.8751710048159929	19	3588.1596429121573	29.124828995184007	19.774014105600866	19.713220543020075	0.6624158257632011	19	4171.896759045228	29.3375841742368	22.990935067069	27.451799347220014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
67	0.848687554759394	19	3667.111114118017	29.151312445240606	19.91191555177204	20.803372396736307	0.14167881065280596	19	4252.76304559971	29.858321189347194	23.091926039455444	27.58904478489984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
68	1.4975145022523044	19	3744.3053456744174	28.502485497747696	20.036416565481833	20.912082374008136	1.1906380255517561	19	4330.788400947174	28.809361974448244	23.174787429817655	27.53091502010791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
