task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
74	9.457366015223382	4	899.3606023058671	29.457366015223382	22.346736664820284	23.253255342936846	0	0	0	0	1	0	0	0	0	0	0	0
75	1.0317184214892308	1	956.3215063640671	21.03171842148923	22.329433793197506	23.814835351223003	0	1	0	0	0	0	0	0	0	0	0	0
76	3.3873636248590806	3	1001.314063213407	16.61263637514092	22.25518967088508	23.855326441292565	0	0	0	1	0	0	0	0	0	0	0	0
77	4.941540953153233	2	1042.097389798617	15.058459046846767	22.162923893653822	23.270295687907755	0	0	1	0	0	0	0	0	0	0	0	0
78	0.23659659087015328	3	1095.623274031677	19.763403409129847	22.132550216634527	22.25896100680992	0	0	0	1	0	0	0	0	0	0	0	0
79	25.81379333189662	0	1219.702297638897	45.81379333189662	22.428565755575306	24.79793941031623	1	0	0	0	0	0	0	0	0	0	0	0
80	4.572941603334151	1	1261.4839141298671	15.42705839666585	22.342127393119632	24.742938249626583	0	1	0	0	0	0	0	0	0	0	0	0
81	4.5339668495419065	3	1303.3710872456911	15.466033150458093	22.2582725852823	24.2476550360815	0	0	0	1	0	0	0	0	0	0	0	0
82	0.9926576663079416	0	1354.8493060661071	19.00734233369206	22.21910475092579	23.971100439324182	1	0	0	0	0	0	0	0	0	0	0	0
83	4.493183172820677	4	1396.8469349730512	15.506816827179323	22.13919656135738	21.31446273077221	0	0	0	0	1	0	0	0	0	0	0	0
84	3.342000750065232	0	1441.9623496082913	16.657999249934768	22.07471188710535	20.03452605424335	1	0	0	0	0	0	0	0	0	0	0	0
85	2.240932102501908	0	1490.0598251640154	17.759067897498092	22.024529980249454	19.707261001844234	1	0	0	0	0	0	0	0	0	0	0	0
86	4.548165962536867	2	1531.9085423488114	15.451834037463133	21.948981751022025	19.591180768076455	0	0	1	0	0	0	0	0	0	0	0	0
87	4.392274761906711	3	1574.1794648686473	15.60772523809329	21.876922017920563	19.646107387201106	0	0	0	1	0	0	0	0	0	0	0	0
88	9.841662053473232	1	1655.0006329301373	29.841662053473232	21.966413478994188	20.653933251635443	0	1	0	0	0	0	0	0	0	0	0	0
89	11.765320648863998	2	1741.0317096874774	31.765320648863998	22.075290225326075	19.249085983332183	0	0	1	0	0	0	0	0	0	0	0	0
90	2.7876176794640024	0	1787.6485784722624	17.212382320535998	22.021851676921788	19.4276183757192	1	0	0	0	0	0	0	0	0	0	0	0
91	5.357977984956802	0	1827.3040547630044	14.642022015043198	21.941636137118763	19.34521726217771	1	0	0	0	0	0	0	0	0	0	0	0
92	4.701975708531199	2	1868.7362038857325	15.298024291468801	21.8701994506064	18.974285457955382	0	0	1	0	0	0	0	0	0	0	0	0
93	5.172637273952001	2	1908.8936446021125	14.827362726048	21.795275655664284	18.906340047842253	0	0	1	0	0	0	0	0	0	0	0	0
94	3.3604985922751993	2	1953.9589609147006	16.6395014077248	21.741004347791236	18.904490263621256	0	0	1	0	0	0	0	0	0	0	0	0
