task	r0_energy	r0_config	r0_reward	r0_rate	r1_energy	r1_config	r1_reward	r1_rate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
39	66.904465859584	0	524.81071357601	23.96577881537337	41.717080850276	0	2211.617460551293	14.943431946367522	2	0	0	0	0	0	0	0	0	0	0	0
40	64.70217125478399	0	589.5128848307941	23.176897165892772	69.94122199878	2	2281.5586825500727	25.053572059264475	1	0	1	0	0	0	0	0	0	0	0	0
41	36.774711620864	0	626.287596451658	13.173031028369193	37.01211477246	0	2318.5707973225326	13.258070963269255	2	0	0	0	0	0	0	0	0	0	0	0
42	36.445230150754	0	662.732826602412	13.055007815195461	73.91007539169	2	2392.4808727142226	26.475250886575523	1	0	1	0	0	0	0	0	0	0	0	0
43	36.60487968993699	0	699.337706292349	13.112195709828177	67.43942244324	0	2459.9202951574625	24.157405054294927	2	0	0	0	0	0	0	0	0	0	0	0
44	36.6261699377	0	735.963876230049	13.11982206723582	36.846078081915	0	2496.7663732393776	13.1985951338203	2	0	0	0	0	0	0	0	0	0	0	0
45	67.535374289625	0	803.499250519674	24.191775864940293	44.468839473975	0	2541.2352127133527	15.929136527991046	2	0	0	0	0	0	0	0	0	0	0	0
46	69.027239426145	0	872.526489945819	24.72617531682806	35.31969013425	0	2576.5549028476025	12.651829301820896	2	0	0	0	0	0	0	0	0	0	0	0
47	36.6095497097	0	909.136039655519	13.113868552728357	36.904480954680004	0	2613.4593838022824	13.219515565855524	2	0	0	0	0	0	0	0	0	0	0	0
48	36.850139197013995	0	945.9861788525329	13.200049861616954	45.338523217559995	0	2658.7979070198426	16.24066503315582	2	0	0	0	0	0	0	0	0	0	0	0
49	39.128465464264	0	985.1146443167969	14.016166733467704	85.18129527599999	2	2743.9792022958427	30.512702785432833	1	0	1	0	0	0	0	0	0	0	0	0
50	36.37818619456	0	36.37818619456	13.030992069693136	83.904564825536	0	2827.8837671213787	30.055366504669614	2	0	0	0	0	0	0	0	0	0	0	0
51	89.227199647672	0	125.605385842232	31.961981963345195	60.882311757701	0	2888.7660788790795	21.808589286340656	2	0	0	0	0	0	0	0	0	0	0	0
52	66.49701791823999	1	192.102403760472	23.819827313996413	69.321773784965	0	2958.0878526640445	24.831680161778507	1	1	0	0	0	0	0	0	0	0	0	0
53	40.207104635832	1	232.30950839630398	14.40254494417863	36.61917373777	0	2994.7070264018143	13.11731596576836	1	1	0	0	0	0	0	0	0	0	0	0
54	37.0973844936	2	269.406892889904	13.288615340991047	35.472076650615	0	35.472076650615	12.70641551663821	1	0	1	0	0	0	0	0	0	0	0	0
55	36.33091461888	2	305.737807508784	13.014058967957016	37.998278756866995	0	73.470355407482	13.611323733803102	1	0	1	0	0	0	0	0	0	0	0	0
