task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	r2_energy	r2_config	r2_reward	r2_rate	r2_avgrate	r2_rollrate	r3_energy	r3_config	r3_reward	r3_rate	r3_avgrate	r3_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
33	12.578265903712001	1	205.489926130595	32.578265903712	21.492551443618957	23.41022106693349	3.203736384316418	1	273.13791723811	16.796263615683582	20.52175532321169	23.103474997245492	4.888897313884774	1	252.974348560593	15.111102686115226	23.00229807177248	23.185282920471046	2.3201454047531946	3	2099.3714702707985	17.679854595246805	22.118048852721316	21.84294652454307	0	3	0	1	0	0	0	0	0	0	0	0
34	6.553606575535998	2	243.02777444055698	13.446393424464002	21.26266121450024	21.89623004007833	21.584213391484894	2	389.227179622672	41.584213391484894	21.123539839448068	22.452790807390638	4.609781769740181	2	295.938707786735	15.39021823025982	22.78481007630069	22.643215673529923	6.860851899658506	2	2136.0515920509183	13.139148100341494	21.861508831224747	20.787459392450472	0	0	4	0	0	0	0	0	0	0	0	0
35	6.325847232032	2	281.20145091780097	13.674152767968	21.051869313207682	19.801228183370974	4.265526663840477	2	433.152584352784	15.734473336159523	20.973843547690052	19.513408605143532	5.430172827187821	2	336.612808644169	14.569827172812179	22.556616106759343	17.71256473205355	12.6732192749526	0	91.212737142576	32.6732192749526	22.161834121328297	19.30026029798045	1	0	3	0	0	0	0	0	0	0	0	0
36	5.322271409024001	3	322.17677656760895	14.677728590975999	20.87959523963385	19.256922888466526	0.1707342013750477	3	489.462550664956	20.170734201375048	20.952137889681538	19.506010849079352	4.68046751356418	3	379.37983683546895	15.31953248643582	22.361019252156005	19.693324755276535	5.534186498997968	0	131.59646649954	14.465813501002032	21.953833564022183	16.981484766228256	1	0	0	3	0	0	0	0	0	0	0	0
37	4.848366842767993	3	364.475085798215	15.151633157232007	20.72885939536012	16.95762625892547	0.9814916477024518	3	548.035881514792	20.981491647702452	20.952910356997876	17.741860613661565	0.9304426948331894	3	432.61568431239294	19.06955730516681	22.274401832498395	18.28140106738145	7.218272845568	1	167.27878813899602	12.781727154432	21.712462342717178	17.986126449208697	0	1	0	3	0	0	0	0	0	0	0	0
38	5.2339556946975545	4	405.696959483851	14.766044305302445	20.57596670074326	18.00574816245772	0.6342403337708689	4	605.639802446569	20.63424033377087	20.944739330761287	16.801850268339546	30.377807797910926	4	573.253731081561	50.377807797910926	22.99500198545769	20.37185818903304	5.962712949535282	1	206.46621448821003	14.037287050464718	21.515662976249164	19.75851347394201	0	1	0	0	3	0	0	0	0	0	0	0
39	0.7970456870567197	4	463.755378693551	20.79704568705672	20.581493675401095	20.306264794004097	0.49769016280322376	4	662.862520817728	20.497690162803224	20.933563101562335	20.909452460184216	5.570235236392005	4	644.6373044498221	25.570235236392005	23.05938281673105	21.951312668100215	15.645951848307107	2	305.977830064734	35.64595184830711	21.868920198050613	23.41775868816068	0	0	1	0	3	0	0	0	0	0	0	0
40	13.296528916817785	3	556.708188586334	33.296528916817785	20.891616486167354	24.840455849325778	2.488889199558205	2	711.7477051356279	17.511110800441795	20.85008865519354	25.31339421392676	0.1451752573946301	2	700.065356856262	19.85482474260537	22.981222863703593	25.82227225765705	11.713911525353076	2	394.512499739678	31.713911525353076	22.10904193774092	26.930239376815273	0	0	3	1	0	0	0	0	0	0	0	0
41	4.780135280608233	3	599.196977594636	15.219864719391767	20.756574777434604	23.414445068963357	0.6921348318208942	3	765.6488287301279	19.307865168179106	20.813369048359863	23.941502880734795	2.1046078434208972	1	750.023326626712	17.895392156579103	22.860131656391104	23.651337527687033	19.621635018543273	3	505.122897499778	39.62163501854327	22.526008439664785	25.56373201326104	0	1	0	3	0	0	0	0	0	0	0	0
42	6.361880214515583	2	637.27006199578	13.638119785484417	20.59102931250553	24.370520468170284	13.801485696733494	3	860.0113096335089	33.801485696733494	21.115418272740648	24.186073853012918	15.821705824183404	2	850.025588719224	35.821705824183404	23.16156361378162	24.438591543749478	7.224219292962388	3	540.7886186402579	12.775780707037612	22.299258957510663	23.96505853440906	0	0	2	2	0	0	0	0	0	0	0	0
43	6.441067616753671	3	675.122081565676	13.55893238324633	20.431208927749637	23.335469298473157	21.154195199954025	4	974.9001045667138	41.154195199954025	21.570845021086406	24.279497665933253	16.407755459169188	3	951.663906042738	36.40775545916919	23.46261342844952	26.398286739910997	16.05065018570746	4	641.4300170753579	36.05065018570746	22.61179057633332	28.072565241663824	0	0	0	2	2	0	0	0	0	0	0	0
44	2.085904143622333	3	725.132265831397	17.914095856377667	20.37527308171915	28.074435611643686	13.868400966329077	4	1069.4493905977158	33.86840096632908	21.8441240420918	27.499112206422268	1.6063261103173758	4	1003.0129123181019	18.393673889682624	23.349970327588032	27.97466761684209	14.731984865561792	4	738.3901414917179	34.73198486556179	22.88112822720506	28.067717533724913	0	0	0	1	3	0	0	0	0	0	0	0
45	1.1008312492357	3	777.8924452606141	18.8991687507643	20.343183857133173	26.375463826383005	9.700359344782083	4	1152.3628937685658	29.700359344782083	22.014911766063328	28.067921690157455	6.128503946433435	2	1041.737505467642	13.871496053566565	23.143916539022346	28.099178057189476	2.746365119804178	1	786.556538865598	17.253634880195822	22.758791415313556	25.709122025213656	0	1	1	1	1	0	0	0	0	0	0	0
46	0.6882524395520022	3	831.804407200198	19.311747560447998	20.321238404012213	23.99952123534154	8.682070867435229	4	1232.4336749401557	28.68207086743523	22.156766215028686	23.26266330351432	4.516847888353912	2	1084.961305112654	15.483152111646088	22.98092155120583	23.01956892904116	0.2736998100943282	0	841.625793562418	19.726300189905672	22.694270325411264	21.60535885139882	1	0	1	1	1	0	0	0	0	0	0	0
47	6.003133205549849	2	870.8789936680381	13.99686679445015	20.189480662146337	21.165678141875567	8.57653001948513	4	1312.2098212445517	28.57653001948513	22.290511294288194	20.550132657267902	7.2192775041282395	0	1120.640822080296	12.78072249587176	22.768417404219704	19.938288031778647	3.6591335213385108	0	887.244045815348	16.34086647866149	22.56190774527064	18.60233874516659	2	0	1	0	1	0	0	0	0	0	0	0
48	5.063801235486569	3	912.5758818856381	14.936198764513431	20.082270827500768	18.708809016261277	5.547147339439999	1	1352.5573682552817	14.452852660560001	22.130559077273332	18.4287307942977	14.706739107985676	1	1217.530468756756	34.706739107985676	23.012056622663906	19.968229949051462	7.547267251892537	0	922.0079247371481	12.452732748107463	22.355598051450986	18.345296137118684	1	2	0	1	0	0	0	0	0	0	0	0
49	4.706129014829852	2	955.271271719238	15.293870985170148	19.986502830654157	18.326368024471087	5.475720203420897	3	1393.1043160207319	14.524279796579103	21.978433491659448	17.80616598513843	6.807337921823045	1	1254.359983725	13.192662078176955	22.815668731774167	17.725745513511114	9.732483710048832	4	1005.0111084277011	29.732483710048832	22.503135764622943	17.841340882567486	0	1	1	1	1	0	0	0	0	0	0	0
50	11.455624081213134	3	1043.084888945958	31.455624081213134	20.211387561057272	19.708831041101625	4.361682018049912	3	1436.761287053676	15.638317981950088	21.85411750127299	19.63857619143048	17.32000476100896	3	1358.5449970161499	37.32000476100896	23.100067477445435	21.876956791080037	6.9933814072969565	0	1041.321251998997	13.006618592703044	22.31692954556569	21.73233338429434	1	0	0	3	0	0	0	0	0	0	0	0
51	0.2182011321695505	0	1099.527367106598	20.21820113216955	20.21151859127097	20.283479586712726	5.724286327838804	3	1476.6143210551259	14.275713672161196	21.708378966097765	20.465777679118098	7.2506979982317645	2	1394.1367984377528	12.749302001768235	22.901014295220875	20.21132078077791	8.410737598963582	3	1120.634561129437	28.410737598963582	22.43411816197719	21.599966561016355	1	0	1	2	0	0	0	0	0	0	0	0
52	4.5983577840792815	3	1142.52361829271	15.401642215920718	20.1207662068304	21.820864574790736	4.067019449528358	0	1521.0938917585258	15.932980550471642	21.599409184670858	20.44091425883302	4.9188031959192795	1	1436.2384728491447	15.08119680408072	22.753470568972947	18.803471531119776	8.773116370555229	0	1200.959510997237	28.77311637055523	22.55372190176168	20.116951369980292	2	1	0	1	0	0	0	0	0	0	0	0
53	6.780191351782689	3	1179.42891743565	13.219808648217311	19.992970696485713	17.706931758701124	18.29091300997205	3	1627.9893572446979	38.29091300997205	21.90851110736162	20.235361200428024	3.1245363146784477	3	1483.3491423040007	16.875463685321552	22.644618589646072	19.901087455743227	6.519270511845255	1	1238.593214151669	13.480729488154745	22.385703523731923	19.82158903734258	0	1	0	3	0	0	0	0	0	0	0	0
54	5.1285382047336086	3	1220.945081614102	14.871461795266391	19.899852352827182	20.033805016692394	4.917175800771343	4	1670.0955748008778	15.082824199228657	21.78440770903193	18.701013676718905	1.2857897749014953	1	1535.5929791824008	18.714210225098505	22.573156619381567	19.03227047763668	9.166519195130029	3	1320.016413571407	29.16651919513003	22.508991081393706	20.35562434210252	0	1	0	2	1	0	0	0	0	0	0	0
55	5.495958039730146	0	1261.435532086522	14.504041960269854	19.803498595817228	20.29790885772143	14.496976692518928	1	1766.3996347341597	34.49697669251893	22.011417869451343	20.870294889917805	0.43634251621946163	1	1590.2081896579548	19.56365748378054	22.519415563388694	21.504679773474127	7.956782470361311	0	1353.637062508315	12.043217529638689	22.32210226796951	18.87991022544079	2	2	0	0	0	0	0	0	0	0	0	0
56	26.192274245081776	3	1390.388964354042	46.19227424508178	20.266459572120116	21.81159128141681	10.425773672539947	4	1851.3382529033338	30.425773672539947	22.15903814669851	23.50609569985533	1.5509389553453126	3	1641.7118184076157	18.449061044654687	22.44800583498985	23.863855624794162	5.874757141627464	0	1393.070032154605	14.125242858372536	22.178297716923947	23.76809749070855	1	0	0	2	1	0	0	0	0	0	0	0
57	1.0673171752883555	3	1443.2427039063618	18.932682824711645	20.243463421302728	23.789944750669864	5.091470142655044	3	1921.3852737182458	25.091470142655044	22.209597319042587	23.382439845422365	3.341722602488357	3	1688.2161761423358	16.658277397511643	22.3481829308954	23.597863389146543	7.838335304044417	0	1427.021346097481	12.161664695955583	22.005597147596905	21.36433218949021	1	0	0	3	0	0	0	0	0	0	0	0
58	5.482398585633437	3	1483.7710078548018	14.517601414366563	20.14641491271059	20.85972658254881	0.6734776686973127	0	1979.098732210026	20.673477668697313	22.18356139276555	21.722752596454676	6.658893744646685	1	1725.4600977718637	13.341106255353315	22.195520614360788	18.437635797481825	8.757009637707462	4	1507.301331336081	28.757009637707462	22.12002786776827	18.270759393998578	1	1	0	1	1	0	0	0	0	0	0	0
59	6.71244906727212	3	1520.865420875334	13.28755093272788	20.032100513044213	17.754608382805895	0.07141073456429936	0	2034.732710576034	19.9285892654357	22.14597852397672	18.334943023512214	13.770289679800364	1	1819.7354897946398	33.770289679800364	22.388433432118113	19.818703709021086	1.0128272075325384	0	1565.962140623776	21.01282720753254	22.101574523431008	19.410839415508832	2	1	0	1	0	0	0	0	0	0	0	0
60	6.798300378316419	3	1557.720165652534	13.20169962168358	19.920126727939937	19.06518163792603	1.4216885943432835	0	51.864452674125	18.578311405656716	22.08749217777475	19.706846308896147	5.0121342091548655	0	1861.5766151274158	14.987865790845134	22.267112651113635	19.753872746543998	1.2348855245134338	0	1618.348085201176	18.765114475486566	22.046878457071266	19.563036427222922	3	0	0	1	0	0	0	0	0	0	0	0
61	5.177696902776836	3	1599.099095132282	14.822303097223164	19.837903766154184	19.711156111409913	5.739822591031643	0	91.674114607495	14.260177408968357	21.961245165374645	18.261472888536	10.298571683841914	1	1946.1601277448078	30.298571683841914	22.39665231293183	19.962574963647405	14.78480106530747	0	1715.455654841826	34.78480106530747	22.252328821720234	21.448196143634583	2	1	0	1	0	0	0	0	0	0	0	0
62	9.781273932787585	0	83.139389729032	29.781273932787585	19.99573503864043	21.049294568933306	5.005947517702685	1	133.532511120575	14.994052482297315	21.8506548053258	20.447417096409783	7.339200065668777	0	35.344733150008	12.660799934331223	22.242114973588965	20.393327127674546	5.002479421969555	0	1757.3237331221608	14.997520578030445	22.13717313531246	20.035248044911917	3	1	0	0	0	0	0	0	0	0	0	0
63	17.679541995434036	0	188.32811113295202	37.679541995434036	20.272044522340327	22.304415665370804	4.473790512466861	1	176.87651260660502	15.526209487533139	21.75183534723529	21.980525166575468	4.933887457274265	0	77.404297331784	15.066112542725735	22.129989935606726	22.004906111125727	7.10668591593612	1	1793.3175682735057	12.89331408406388	21.9927378376367	21.868219778635275	2	2	0	0	0	0	0	0	0	0	0	0
64	0.825658200308542	1	241.85648199042402	19.174341799691458	20.25515678814573	20.75579679022023	5.738789632104121	2	216.689058216981	14.26121036789588	21.63659496293776	18.70343772047907	7.13992915525731	1	113.305328440024	12.86007084474269	21.98737579574728	17.01131741167458	7.865643899662096	0	1871.1091574933957	27.865643899662096	22.083090238590934	18.298476553411056	1	2	1	0	0	0	0	0	0	0	0	0
