task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
16	31.864919955848595	11	1695.3105799951688	31.864919955848595	35.72208421412121	35.41017112418332	0	0	0	0	0	0	0	0	0	0	0	1
17	33.271753863675215	11	1788.1942261979289	33.271753863675215	35.58595475020755	34.75258165810713	0	0	0	0	0	0	0	0	0	0	0	1
18	32.804215763694806	11	1879.772661871577	32.804215763694806	35.43954743512793	34.763924746191364	0	0	0	0	0	0	0	0	0	0	0	1
19	33.12136487285803	11	1972.2364721416388	33.12136487285803	35.323638307014434	34.75871495948278	0	0	0	0	0	0	0	0	0	0	0	1
20	31.82716281762699	11	2061.0873016741807	31.82716281762699	35.157139474186465	34.26863423659425	0	0	0	0	0	0	0	0	0	0	0	1
21	33.993857244620415	11	2155.9868198154127	33.993857244620415	35.10426300920619	33.71803243207898	0	0	0	0	0	0	0	0	0	0	0	1
22	31.88136212300848	11	2244.9889557421448	31.88136212300848	34.964136883719334	33.09766612341464	0	0	0	0	0	0	0	0	0	0	0	1
23	36.63745649335738	11	2347.268521786101	36.63745649335738	35.03385853412092	33.503051734540946	0	0	0	0	0	0	0	0	0	0	0	1
24	34.61419400614209	11	2443.8998133865807	34.61419400614209	35.01707195300176	33.173154072199026	0	0	0	0	0	0	0	0	0	0	0	1
25	32.86996875812777	11	2535.661809503021	32.86996875812777	34.934491060891226	33.28862558989598	0	0	0	0	0	0	0	0	0	0	0	1
26	37.094310411968955	11	2639.2167594031007	37.094310411968955	35.0144843701904	33.81156463550801	0	0	0	0	0	0	0	0	0	0	0	1
27	37.51296015675224	11	2743.9404398407005	37.51296015675224	35.1037156482819	34.235685264815714	0	0	0	0	0	0	0	0	0	0	0	1
28	36.3486574081791	11	2845.4137751052003	36.3486574081791	35.146644674485245	34.590129429264145	0	0	0	0	0	0	0	0	0	0	0	1
29	32.063747040673434	11	2934.9250689270802	32.063747040673434	35.04388142002485	34.48436764604569	0	0	0	0	0	0	0	0	0	0	0	1
30	30.546578276627102	11	3020.200933282664	30.546578276627102	34.89880712507654	34.3563091919457	0	0	0	0	0	0	0	0	0	0	0	1
31	32.24754283621971	11	3110.2253237004443	32.24754283621971	34.815955116049764	34.18167775110563	0	0	0	0	0	0	0	0	0	0	0	1
