task	r0_energy	r0_config	r0_reward	r0_rate	r1_energy	r1_config	r1_reward	r1_rate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
31	51.241283318959994	1	2181.789696448289	18.355086562015522	69.40830707622	3	193.23080396332398	24.862677161631044	0	1	0	1	0	0	0	0	0	0	0	0
32	55.663015549642	1	2237.4527119979307	19.938990644647877	80.53084421423999	4	273.761648177564	28.846869569280003	0	1	0	0	1	0	0	0	0	0	0	0
33	57.65429980892399	1	2295.1070118068546	20.652286498719043	76.68306809170001	3	350.444716269264	27.468561704489556	0	1	0	1	0	0	0	0	0	0	0	0
34	35.618636964504994	1	2330.72564877136	12.758914733554029	46.04364324168	1	396.488359510944	16.493245340303282	0	2	0	0	0	0	0	0	0	0	0	0
35	38.880907708535	1	2369.6065564798946	13.927489328430449	68.27097889864001	3	464.759338409584	24.455276023393438	0	1	0	1	0	0	0	0	0	0	0	0
36	64.98232928387101	1	2434.5888857637656	23.277252280789618	61.50572764	3	526.265066049584	22.031902438208956	0	1	0	1	0	0	0	0	0	0	0	0
37	70.23768417459199	1	2504.8265699383574	25.159767465525487	38.705575190240005	3	564.970641239824	13.864683650235227	0	1	0	1	0	0	0	0	0	0	0	0
38	34.535524532224	1	2539.3620944705813	12.370934160796658	53.16499934214001	3	618.135640581964	19.044178868826272	0	1	0	1	0	0	0	0	0	0	0	0
39	34.610565418264	1	2573.972659888845	12.39781447818412	51.696157239247995	3	669.831797821212	18.518026473760475	0	1	0	1	0	0	0	0	0	0	0	0
40	116.73049629654301	1	2690.7031561853883	41.81390912114974	127.29688341924002	3	797.128681240452	45.598883612862096	0	1	0	1	0	0	0	0	0	0	0	0
41	75.418000662536	4	2766.1211568479243	27.01540322240096	85.901720591952	3	883.030401832404	30.770765585176836	0	0	0	1	1	0	0	0	0	0	0	0
42	64.493470576964	1	2830.6146274248886	23.10213871413636	83.65797420412801	3	966.688376036532	29.967035535807046	0	1	0	1	0	0	0	0	0	0	0	0
43	50.824334971903994	1	2881.4389623967927	18.205731930234265	75.13070126990401	3	1041.819077306436	26.912490007129794	0	1	0	1	0	0	0	0	0	0	0	0
44	63.54947397072	1	2944.988436367513	22.763990676078805	67.73499514616	3	1109.5540724525958	24.2632818434006	0	1	0	1	0	0	0	0	0	0	0	0
45	74.91579881385601	1	3019.9042351813687	26.835510022873798	66.99928209850002	0	66.99928209850002	23.999742841253738	1	1	0	0	0	0	0	0	0	0	0	0
46	34.12854308864	1	3054.0327782700087	12.225149763094926	43.07058174594	1	110.06986384444002	15.428268088097907	0	2	0	0	0	0	0	0	0	0	0	0
47	34.007197079856	1	3088.0399753498646	12.181682536067818	69.666103079496	2	179.73596692393602	24.95502199862543	0	1	1	0	0	0	0	0	0	0	0	0
48	37.91580429436801	1	3125.9557796442327	13.581780642758691	83.636787589696	3	263.372754513632	29.959446300786624	0	1	0	1	0	0	0	0	0	0	0	0
