task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19
11	11.933554481995195	11	667.124253104406	18.066445518004805	20.526900095520183	22.130578744465847	18.472128689900305	11	536.9879914134331	11.527871310099695	16.52270742810563	17.31559799119137	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
12	11.881640135932063	12	716.19481106959	18.118359864067937	20.341627770023855	22.300927181331325	18.424907877526152	12	568.3371992451331	11.575092122473848	16.142121635364724	15.646846654651384	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
13	15.624199295429907	13	755.129271311134	14.375800704570093	19.915497265348588	20.99369897507202	12.654567433060436	13	615.3144124472611	17.345432566939564	16.228072416191498	16.21045747140816	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
14	16.7342336569344	14	791.05738849027	13.265766343065602	19.47218187052972	19.35814162526909	16.882462147140927	14	650.8410774654211	13.117537852859074	16.02070344530267	16.35597163207189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
15	14.354687906265598	15	833.430108744134	15.645312093734402	19.233002509480013	19.558851672997733	14.91799374635077	15	691.6881777357211	15.08200625364923	15.96203487082433	16.331692208390656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
16	0.42553928522732676	16	915.832610974958	30.425539285227327	19.891387025700443	21.20050231810479	9.835353446312858	16	746.3007621519571	20.16464655368714	16.209247322757435	15.25994973475056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
17	0.48462582894277517	17	998.395139261678	30.484625828942775	20.479900292547242	22.85986509008049	13.989809402364553	17	789.6616950205531	16.010190597635447	16.198188615806217	15.257045551520823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
18	14.542020045636924	18	1040.260501638078	15.457979954363076	20.215588695800704	21.274207805616594	0.5485455146732257	18	872.3973391227931	30.548545514673226	16.953470557851848	16.296831835036947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
19	2.1656982043569286	19	1127.375934274878	32.16569820435693	20.813094171228517	20.804879592848344	0.648606480274708	19	955.4039816735371	30.648606480274708	17.63822735397299	17.75429722765174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
20	14.721496436759631	8	1168.7552147586541	15.278503563240369	20.549542237514792	20.328403135957334	7.677371802748802	18	1015.8610997077592	22.3226281972512	17.861294060795764	18.834255744954312	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
21	16.602183362069166	7	1205.04096815305	13.397816637930834	20.224463801170067	19.86154024794994	18.56009198202092	11	1046.844183923119	11.439908017979077	17.56941287703137	18.825459415742248	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
22	17.6064941178624	4	1238.6067132505061	12.3935058821376	19.88398736990779	19.2890548497569	17.625429507603695	11	1080.358645673359	12.374570492396305	17.34355016465593	18.905407252734495	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
23	5.542526316345594	9	1304.84570447707	24.457473683654406	20.07454929964723	20.29722214766533	2.1676073089063337	12	1155.738042545071	27.832392691093666	17.78058526992417	19.954103265149907	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
24	13.800424870704003	10	1348.71955378558	16.199575129295997	19.919550332833182	20.59060302628837	15.061837462065233	15	1196.195566085311	14.938162537934767	17.66688836064459	20.136165733657478	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
25	18.4492060974912	1	1380.002953938208	11.550793902508799	19.597675085513014	20.181151207165808	14.993321406188308	18	1236.838653943551	15.006678593811692	17.564572600381787	20.128632967673724	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
26	0.13289851398720387	19	1460.8930204628261	29.867101486012796	19.978024211457452	20.125307427244355	18.561572664348557	2	1267.8177279776069	11.438427335651443	17.3376783313177	19.256011045870157	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
27	15.390542549424001	15	1500.460301058136	14.609457450575999	19.786289684283112	18.537790589407678	15.223265445982525	8	1307.8380507280708	14.776734554017475	17.24621605355698	19.132665441508358	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
28	1.3204565267999904	19	1585.2865374848861	31.32045652679999	20.184019575404385	20.124038246651374	1.1635748951556906	19	1392.2393994024508	31.16357489515569	17.72612497912935	19.194168379556608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
29	14.892436308288001	18	1626.2028558166062	15.107563691711999	20.014804379281305	18.41822479538688	10.662163598518156	7	1444.6127063231309	19.337836401481844	17.779848693207764	18.063091371677316	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
