STOKE: Start Bat: 1.000000
ELocation 0: Diff:1 ms Accuracy:10.00
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.5608 Watts:2.3742
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.3354 Watts:1.4200
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.3354 Watts:1.4200
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.3354 Watts:1.4200
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.3354 Watts:1.4200
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.3354 Watts:1.4200
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.3354 Watts:1.4200
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.5543 Watts:2.3471
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.5543 Watts:2.3471
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.5543 Watts:2.3471
STOKE: Battery:1.000000 Level:100 Voltage:4.2340 Amps:0.5543 Watts:2.3471
STOKE: Battery:0.990000 Level:99 Voltage:4.2160 Amps:0.5543 Watts:2.3371
STOKE: Battery:0.990000 Level:99 Voltage:4.2160 Amps:0.5543 Watts:2.3371
STOKE: Battery:0.990000 Level:99 Voltage:4.2160 Amps:0.2695 Watts:1.1361
STOKE: Battery:0.990000 Level:99 Voltage:4.2160 Amps:0.2695 Watts:1.1361
STOKE: Battery:0.990000 Level:99 Voltage:4.2160 Amps:0.2695 Watts:1.1361
STOKE: Battery:0.990000 Level:99 Voltage:4.2160 Amps:0.2695 Watts:1.1361
STOKE: Battery:0.990000 Level:99 Voltage:4.2160 Amps:0.2695 Watts:1.1361
STOKE: Battery:0.990000 Level:99 Voltage:4.2160 Amps:0.2695 Watts:1.1361
STOKE: Battery:0.990000 Level:99 Voltage:4.2160 Amps:0.2695 Watts:1.1361
STOKE: Battery:0.990000 Level:99 Voltage:4.2160 Amps:0.6634 Watts:2.7971
STOKE: Battery:0.990000 Level:99 Voltage:4.2160 Amps:0.6634 Watts:2.7971
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.6634 Watts:2.7858
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.6634 Watts:2.7858
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.6634 Watts:2.7858
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.6634 Watts:2.7858
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.2716 Watts:1.1405
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.2716 Watts:1.1405
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.2716 Watts:1.1405
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.2716 Watts:1.1405
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.2716 Watts:1.1405
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.2716 Watts:1.1405
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.5595 Watts:2.3495
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.5595 Watts:2.3495
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.5595 Watts:2.3495
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.5595 Watts:2.3495
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.5595 Watts:2.3495
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.5595 Watts:2.3495
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.3752 Watts:1.5755
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.3752 Watts:1.5755
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.3752 Watts:1.5755
STOKE: Battery:0.980000 Level:98 Voltage:4.1990 Amps:0.3752 Watts:1.5755
