task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
21	35.889612006303516	0	2009.1650835973253	35.889612006303516	33.72025315128378	34.83275216391128	36.56151856522339	0	2004.349121335714	36.56151856522339	33.63942581262737	35.52385543882143	2	0	0	0	0	0	0	0	0	0	0	0
22	39.31247904449428	0	2115.636381009497	39.31247904449428	33.963393407510324	36.17865923364845	35.985897821326155	0	2101.810927935139	35.985897821326155	33.74144633474471	36.72757840716864	2	0	0	0	0	0	0	0	0	0	0	0
23	41.3030982294384	0	2227.4989387142264	41.3030982294384	34.26921444175733	37.15954616938349	35.49755669734079	0	2197.950143990437	35.49755669734079	33.81461759985288	37.085005895790495	2	0	0	0	0	0	0	0	0	0	0	0
24	34.91987659660652	0	2322.0736044967025	34.91987659660652	34.2952409279513	36.63035819905336	32.38514408261169	0	2285.659909214177	32.38514408261169	33.75743865916323	36.58166864469275	2	0	0	0	0	0	0	0	0	0	0	0
25	34.769558762389664	0	2416.2411594781747	34.769558762389664	34.31348392158354	36.48555490054612	35.1311081122213	0	2380.806660351443	35.1311081122213	33.81027209966547	36.17558499179557	2	0	0	0	0	0	0	0	0	0	0	0
26	29.22193379424738	0	2495.383896837595	29.22193379424738	34.124907990941466	35.50881717058995	34.864328551502766	0	2475.230883511763	34.864328551502766	33.84931122751129	35.3390981692179	2	0	0	0	0	0	0	0	0	0	0	0
27	28.588521145580305	0	2572.811141606875	28.588521145580305	33.92717988932142	34.2667023793265	29.060350353719997	0	2553.935999053088	29.060350353719997	33.67827691059018	33.57414763256588	2	0	0	0	0	0	0	0	0	0	0	0
28	36.13271448807139	0	2670.670576678735	36.13271448807139	34.0032328065197	33.05710925842918	33.47201889768369	0	2644.589383567648	33.47201889768369	33.67116456531754	32.85455547846347	2	0	0	0	0	0	0	0	0	0	0	0
29	35.1757139273723	0	2765.938135232035	35.1757139273723	34.042315510548114	32.880139211540055	33.333492745872	0	2734.867593087718	33.333492745872	33.659908838002686	32.97497407786607	2	0	0	0	0	0	0	0	0	0	0	0
30	36.060318541342525	0	2863.601497948171	36.060318541342525	34.107412382509224	33.10405005576136	32.01571107788308	0	2821.576810590318	32.01571107788308	33.60687020057948	32.79251035232754	2	0	0	0	0	0	0	0	0	0	0	0
