task	r0_energy	r0_config	r0_reward	r0_rate	r1_energy	r1_config	r1_reward	r1_rate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
71	72.987674370408	2	818.4499422492579	26.14483858044466	71.078456369452	4	727.204441240616	25.460939595027583	0	0	1	0	1	0	0	0	0	0	0	0
72	71.936678451288	0	71.936678451288	25.76836243031212	97.121878600894	4	824.32631984151	34.7899266630068	1	0	0	0	1	0	0	0	0	0	0	0
73	82.405707108872	1	154.34238556015998	29.518462247954147	72.64353225995599	0	72.64353225995599	26.0215637946111	1	1	0	0	0	0	0	0	0	0	0	0
74	84.733186399134	2	239.075571959294	30.352186172824112	37.04038912167999	1	109.68392138163598	13.268199088362984	0	1	1	0	0	0	0	0	0	0	0	0
75	82.08172153922399	0	321.157293498518	29.402407715542928	84.33893105164799	2	194.02285243328396	30.21096037670973	1	0	1	0	0	0	0	0	0	0	0	0
76	92.273175402408	0	413.43046890092603	33.053077756086445	80.01355281682	0	274.03640525010394	28.66157115826388	2	0	0	0	0	0	0	0	0	0	0	0
77	84.82984968754799	0	498.26031858847404	30.3868118283754	50.789379997607995	0	324.8257852477119	18.19321074541182	2	0	0	0	0	0	0	0	0	0	0	0
78	84.38179001370298	1	582.642108602177	30.22631284072943	52.876293633933	0	377.7020788816449	18.940761898722265	1	1	0	0	0	0	0	0	0	0	0	0
79	74.04109579250999	0	656.683204394687	26.522183567466264	52.230196264752	0	429.93227514639693	18.709324035135044	2	0	0	0	0	0	0	0	0	0	0	0
80	92.47247727352	0	749.155681668207	33.12446947111164	52.49934780606	0	482.4316229524569	18.805736527543882	2	0	0	0	0	0	0	0	0	0	0	0
81	151.298461928726	0	900.4541435969329	54.19646397446901	166.32175620164	0	648.7533791540969	59.57794251999046	2	0	0	0	0	0	0	0	0	0	0	0
82	98.253136956904	1	998.7072805538369	35.195153536801435	72.89298413236	0	721.6463632864569	26.110919689203584	1	1	0	0	0	0	0	0	0	0	0	0
83	69.59733402971001	2	1068.304614583547	24.93038830914986	74.70696618813999	0	796.3533294745969	26.760704306199397	1	0	1	0	0	0	0	0	0	0	0	0
84	71.61832239710401	2	1139.922936980651	25.65432444075368	71.50136125885999	0	71.50136125885999	25.61242791362149	1	0	1	0	0	0	0	0	0	0	0	0
85	80.46903051891202	2	1220.391967499563	28.824727350058037	94.72474177795999	1	166.22610303681998	33.931250786134925	0	1	1	0	0	0	0	0	0	0	0	0
86	90.59205449992001	2	1310.984021999483	32.450885194001195	63.98006099256	2	230.20616402937998	22.918230803305075	0	0	2	0	0	0	0	0	0	0	0	0
87	80.652247680312	2	1391.636269679795	28.890357378022212	34.16684993726399	0	264.37301396664395	12.238871619318445	1	0	1	0	0	0	0	0	0	0	0	0
88	79.33977819004	2	1470.9760478698352	28.420219053148653	268.209883520904	2	532.5828974875479	96.07518215674173	0	0	2	0	0	0	0	0	0	0	0	0
89	67.30149626774799	2	1538.2775441375832	24.10799866307391	38.32465084507199	0	570.90754833262	13.728233138533252	1	0	1	0	0	0	0	0	0	0	0	0
90	67.22350971930399	0	1605.5010538568872	24.080063183034262	69.143480455032	0	640.051028787652	24.767813894339824	2	0	0	0	0	0	0	0	0	0	0	0
91	76.822667919452	2	1682.3237217763392	27.518567612938035	68.312666996736	0	708.3636957843879	24.47020907345767	1	0	1	0	0	0	0	0	0	0	0	0
92	75.32296014852001	2	1757.6466819248592	26.98135885917135	83.33867417904	0	791.7023699634279	29.852659407417313	1	0	1	0	0	0	0	0	0	0	0	0
93	88.200448721784	2	1845.847130646643	31.5941905869077	67.616885972256	0	859.3192559356839	24.220974079614088	1	0	1	0	0	0	0	0	0	0	0	0
94	99.11039248588801	2	1944.9575231325312	35.50223014419869	36.109093082087995	0	895.4283490177719	12.934600507016595	1	0	1	0	0	0	0	0	0	0	0	0
95	84.20630950692	0	84.20630950692	30.16345415173253	35.09729343792	0	35.09729343792	12.572164813583285	2	0	0	0	0	0	0	0	0	0	0	0
96	70.21581650487201	1	154.422126011792	25.151934270401913	67.545689603648	1	102.642983041568	24.195470902799283	0	2	0	0	0	0	0	0	0	0	0	0
97	70.489934633944	2	224.912060645736	25.25012583902472	69.66055575144	2	172.303538793008	24.95303489603821	0	0	2	0	0	0	0	0	0	0	0	0
98	49.808608431749995	1	274.720669077486	17.84188958749254	96.421882337168	2	268.72542113017596	34.5391817327169	0	1	1	0	0	0	0	0	0	0	0	0
