task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
10	12.5385121365504	0	429.7728073792841	12.5385121365504	14.425940387556386	14.728452080048271	13.055855140436677	0	435.589890273561	13.055855140436677	14.621199114077575	14.706601164235016	2	0	0	0	0	0	0	0	0	0	0	0
11	16.699743256147197	0	475.00127869801605	16.699743256147197	14.615423959938953	15.074658346039275	12.990257585424	0	470.77183790075105	12.990257585424	14.48528732002311	14.822041600535888	2	0	0	0	0	0	0	0	0	0	0	0
12	13.092926904307198	0	510.461289063848	13.092926904307198	14.498308801813435	14.593702514215346	18.15732580039976	0	519.9479286101671	18.15732580039976	14.76775181851362	14.925432644056247	2	0	0	0	0	0	0	0	0	0	0	0
13	12.852312096153598	0	545.2696343242641	12.852312096153598	14.38073760855202	14.826337422258243	19.487545040707207	0	572.726696428749	19.487545040707207	15.104879905813162	14.892444668582403	2	0	0	0	0	0	0	0	0	0	0	0
14	12.552419628288	0	579.2657708175441	12.552419628288	14.258849743201084	14.754684354326253	18.80382396732997	0	623.653719673601	18.80382396732997	15.351476176580949	15.0230721555744	2	0	0	0	0	0	0	0	0	0	0	0
15	21.170176565857478	0	636.6016656834081	21.170176565857478	14.690807669617108	15.886238598505107	18.79488569129502	0	674.556535087525	18.79488569129502	15.566689271250578	16.46014165359094	2	0	0	0	0	0	0	0	0	0	0	0
16	15.255550500590765	0	677.918781622508	15.255550500590765	14.72402783614497	16.315722378035296	18.478576848886156	0	724.602680719925	18.478576848886156	15.737976775817378	16.864554304381514	2	0	0	0	0	0	0	0	0	0	0	0
17	13.487365966231383	0	714.447064447718	13.487365966231383	14.65532439892755	16.90399821057393	13.906553301784614	0	762.2662625789251	13.906553301784614	15.636231027260003	16.47892096071242	2	0	0	0	0	0	0	0	0	0	0	0
18	12.494821270094029	0	748.287205387556	12.494821270094029	14.541613707936312	16.44317187810646	14.955853004661417	0	802.7716977998831	14.955853004661417	15.600421657649553	15.99000267450188	2	0	0	0	0	0	0	0	0	0	0	0
19	18.344020845258832	0	797.9689285101321	18.344020845258832	14.731734064802438	16.569162796198963	13.793038417363201	0	840.127843513575	13.793038417363201	15.510052495635236	16.068084241202286	2	0	0	0	0	0	0	0	0	0	0	0
20	18.22943544790264	0	847.3403161815351	18.22943544790264	14.898291273521496	15.774010129406804	14.838943329752121	0	880.316648364987	14.838943329752121	15.478094916307468	15.378415893252518	2	0	0	0	0	0	0	0	0	0	0	0
21	18.778031192669538	0	898.1974839950151	18.778031192669538	15.074643088028223	15.730663962460394	13.422145133582768	0	916.668291435107	13.422145133582768	15.384642653456346	15.225020790930056	2	0	0	0	0	0	0	0	0	0	0	0
22	19.701382298556922	0	951.5553943869401	19.701382298556922	15.275805662399035	15.846422424162608	14.61856872508652	0	956.2602483988829	14.61856872508652	15.35133509135331	15.917623966492801	2	0	0	0	0	0	0	0	0	0	0	0
23	33.69407890798671	0	1042.810191429404	33.69407890798671	16.04323371429852	18.03754973028207	13.278945265956919	0	992.2240584941829	13.278945265956919	15.264985515295125	17.869858956411615	2	0	0	0	0	0	0	0	0	0	0	0
24	13.60295444734228	0	1079.6515263909562	13.60295444734228	15.94562254362027	17.395752316619962	30.423355409752617	0	1074.620646062263	30.423355409752617	15.871320311073426	19.058784015858905	2	0	0	0	0	0	0	0	0	0	0	0
25	16.046057693263013	0	1123.1095993102101	16.046057693263013	15.949485433991146	18.84044624039494	13.129338716573539	0	1110.179271752983	13.129338716573539	15.765859480515738	18.669485779077082	2	0	0	0	0	0	0	0	0	0	0	0
26	12.540111083798399	0	1157.072400162164	12.540111083798399	15.823212309909934	18.04569376818997	16.06174631424	0	1153.679834687383	16.06174631424	15.776818252135156	18.309653886255692	2	0	0	0	0	0	0	0	0	0	0	0
27	12.899877959553226	0	1192.009569635954	12.899877959553226	15.71880751168291	17.629503452355323	13.122880407492925	0	1189.220969124343	13.122880407492925	15.682034757683647	17.479934620595962	2	0	0	0	0	0	0	0	0	0	0	0
