task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	r2_energy	r2_config	r2_reward	r2_rate	r2_avgrate	r2_rollrate	r3_energy	r3_config	r3_reward	r3_rate	r3_avgrate	r3_rollrate	r4_energy	r4_config	r4_reward	r4_rate	r4_avgrate	r4_rollrate	r5_energy	r5_config	r5_reward	r5_rate	r5_avgrate	r5_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
10	102.2969679368	10	837.2008379981789	102.2969679368	76.10916709074354	60.3005487064288	106.351447015296	10	756.1632701092739	106.351447015296	68.74211546447944	65.98375622864741	96.25275245318998	10	537.3304564485479	96.25275245318998	48.848223313504356	66.8097739355064	123.785130618288	10	601.351084370715	123.785130618288	54.668280397337725	75.70054739781419	77.65022685429601	10	655.512556957247	77.65022685429601	59.592050632477005	76.7083733664278	80.14720400231998	10	616.720289418568	80.14720400231998	56.06548085623345	78.14162713809979	0	0	0	0	0	0	0	0	0	0	6	0
11	103.96504526597698	11	941.1658832641559	103.96504526597698	78.43049027201299	83.7326923081325	108.27177980611201	11	864.4350499153859	108.27177980611201	72.0362541596155	90.8235142646309	121.53558977389201	11	658.86604622244	121.53558977389201	54.90550385187	99.6436129287521	116.00827866989998	11	717.3593630406149	116.00827866989998	59.77994692005124	103.6264422396071	87.05577240416999	11	742.568329361417	87.05577240416999	61.88069411345142	102.1023226863441	90.31705894574999	11	707.037348364318	90.31705894574999	58.91977903035983	100.49888387938948	0	0	0	0	0	0	0	0	0	0	0	6
12	37.202221433552005	9	978.368104697708	37.202221433552005	75.25908497674676	94.5938307774257	38.355017801568	0	902.7900677169539	38.355017801568	69.44538982438107	86.0508194957537	75.64940036956799	5	734.515446592008	75.64940036956799	56.501188199385226	85.8507368472809	111.45565488351998	7	828.8150179241348	111.45565488351998	63.7550013787796	88.9815819354009	46.131243938714995	2	788.699573300132	46.131243938714995	60.669197946164	83.1982018026747	50.9478722928	9	757.9852206571179	50.9478722928	58.30655543516291	77.46581105134348	1	0	1	0	0	1	0	1	0	2	0	0
13	102.093633700492	10	1080.4617383982	102.093633700492	77.17583845701428	75.52161544400349	116.615281265664	10	1019.4053489826179	116.615281265664	72.8146677844727	75.5823157035799	57.20761560902999	0	791.7230622010379	57.20761560902999	56.55164730007414	72.5975000240659	114.452537643616	4	943.2675555677508	114.452537643616	67.37625396912506	75.01104789385249	51.237687596157	8	839.937260896289	51.237687596157	59.995518635449216	76.41459451011299	75.35678867051999	7	833.3420093276379	75.35678867051999	59.52442923768842	80.1147715970082	1	0	0	0	1	0	0	1	1	0	2	0
14	37.94061877123	6	1118.40235716943	37.94061877123	74.56015714462866	76.3438934371744	28.280792201183996	0	1047.6861411838017	28.280792201183996	69.84574274558678	68.02640716894079	49.353569643212005	8	841.07663184425	49.353569643212005	56.07177545628333	68.3486397393905	41.987505442144005	5	985.2550610098948	41.987505442144005	65.68367073399298	67.4526030543249	97.62786326743999	9	937.565124163729	97.62786326743999	62.50434161091527	67.0060260110197	30.432162988709997	2	863.774172316348	30.432162988709997	57.58494482108986	58.387714183324306	1	0	1	0	0	1	1	0	1	1	0	0
15	32.146823897734	1	1150.549181067164	32.146823897734	71.90932381669775	55.88163501219469	30.536537780544	0	1078.2226789643457	30.536537780544	67.38891743527161	47.4900350258875	36.505872280191994	3	877.5825041244419	36.505872280191994	54.84890650777762	46.016853494291	31.013135352320003	7	1016.2681963622148	31.013135352320003	63.516762272638424	41.582488162470995	82.895895273664	11	1020.461019437393	82.895895273664	63.778813714837064	46.0780158127144	39.293490051199996	9	903.067662367548	39.293490051199996	56.44172889797175	47.179285597716	1	1	0	1	0	0	0	1	0	1	0	1
16	112.48654373373299	10	1263.035724800897	112.48654373373299	74.29621910593512	53.4925830067681	31.4496284784	0	1109.6723074427457	31.4496284784	65.27484161427915	52.4387953103937	41.967378075616004	3	919.5498822000579	41.967378075616004	54.09116954117988	46.8727467912113	36.969741664128	9	1053.2379380263428	36.969741664128	61.95517282507899	47.5265046587531	95.90673134592001	10	1116.367750783313	95.90673134592001	65.66869122254784	53.9024954035717	34.020139199199996	8	937.087801566748	34.020139199199996	55.12281185686753	54.2508555454373	1	0	0	1	0	0	0	0	1	1	2	0
17	41.74259470919999	5	1304.778319510097	41.74259470919999	72.48768441722761	54.774527788338105	39.181533214464	9	1148.8538406572097	39.181533214464	63.82521336984499	55.59136757455251	36.621954950314006	7	956.171837150372	36.621954950314006	53.120657619465106	50.9639735422175	44.223541516672	7	1097.4614795430148	44.223541516672	60.970082196834156	51.45697868876469	31.418920452863997	1	1147.7866712361772	31.418920452863997	63.76592617978762	43.350216360677805	32.982447648779996	0	970.070249215528	32.982447648779996	53.89279162308489	43.5034982777158	1	1	0	0	0	1	0	2	0	1	0	0
18	50.945125204926	0	1355.7234447150229	50.945125204926	71.353865511317	44.4012729906468	106.24712364288	10	1255.1009643000898	106.24712364288	66.05794548947841	51.329011188521996	33.40233462474001	1	989.574171775112	33.40233462474001	52.08285114605852	45.078571516404	38.06012455448099	5	1135.5216040974958	38.06012455448099	59.76429495249978	45.48257005193209	37.76227213088	4	1185.5489433670573	37.76227213088	62.39731280879249	45.0845377941001	99.54318425372998	1	1069.6134334692579	99.54318425372998	56.29544386680305	51.12070289802669	1	2	0	0	1	1	0	0	0	0	1	0
19	50.08715310374999	0	1405.810597818773	50.08715310374999	70.29052989093864	52.46722271337029	30.440538236106	0	1285.5415025361958	30.440538236106	64.27707512680979	51.088922385313694	93.043843669458	7	1082.61801544457	93.043843669458	54.13090077222849	57.251414706973094	42.577429722019	4	1178.0990338195147	42.577429722019	58.904951690975736	58.210912914297	31.143932058975995	1	1216.6928754260332	31.143932058975995	60.83464377130166	56.230793599702	30.632201480789995	8	1100.2456349500478	30.632201480789995	55.01228174750239	48.669301383493	2	1	0	0	1	0	0	1	1	0	0	0
