task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	r2_energy	r2_config	r2_reward	r2_rate	r2_avgrate	r2_rollrate	r3_energy	r3_config	r3_reward	r3_rate	r3_avgrate	r3_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19
42	0.3367645309002967	19	2116.3508921512075	30.336764530900297	17.63013585964213	17.308116681645995	1.3219591806626916	13	2527.7701965703404	28.67804081933731	21.0574400269657	23.476486850094943	19.39706905589158	1	2436.7597005522557	10.602930944108419	20.29928247596465	18.388436603280066	15.704513994151878	12	2109.1202388359848	14.295486005848122	17.56990133011581	18.986292604589405	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1
43	1.859328481015524	19	2205.2915174940426	31.859328481015524	17.95352660103698	19.1469075291182	12.09953326278806	13	2577.7423328783902	17.90046673721194	20.985690634016752	23.580763781839728	18.74176633540442	13	2468.1889361992517	11.25823366459558	20.093804093888078	17.495333144105047	11.81089244258078	13	2159.8981641004466	18.18910755741922	17.58397419891816	17.76204509448322	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1
44	8.37449003176119	19	2312.420302166043	38.37449003176119	18.407325788386405	19.84469550699378	15.087914067868656	2	2619.3719061055904	14.912085932131344	20.85072164064152	22.829335548032592	14.324899954150206	17	2511.9485904939156	15.675100045849794	19.99561067059834	18.00235106615792	4.9183680348197	19	2257.3786081976514	34.9183680348197	17.96918295082708	19.398777152602207	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2
45	8.6799521129606	19	2420.4018351480577	38.6799521129606	18.848035056311932	22.334533453373016	11.982788038372295	13	2669.6699561651344	18.017211961627705	20.78912360414122	22.510976776839186	14.211266730368958	13	2556.0254708716357	15.788733269631042	19.904156814055572	16.26823333823979	11.40269259648036	3	2309.2960913658103	18.59730740351964	17.98283783023344	19.93403392317134	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1
46	6.4869837955171334	19	2522.2613315772096	36.48698379551713	19.22333183799715	24.634019820021564	13.29289747096836	9	2716.3106173920146	16.70710252903164	20.702272091904845	20.316051590991005	16.738679139406926	13	2593.0466582741246	13.261320860593075	19.76281987887552	15.80513656386896	1.1672020582373719	16	2396.304530445056	31.167202058237372	18.26335621806331	21.821728795201643	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1
47	1.2793847388895472	16	2602.4397158478096	28.720615261110453	19.42119190931201	26.01596528461648	16.617253797719645	5	2753.6707838733805	13.382746202280355	20.549781969204336	19.79400447537546	18.61563007930961	13	2624.828024302719	11.38436992069039	19.588268838079994	15.566031039438126	18.309534296821973	0	2428.940413866428	11.690465703178027	18.1264209990032	21.7460508782813	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0
48	3.5935118568444153	19	2696.2216031148337	33.593511856844415	19.710422928649407	28.185739078736454	16.69928118324358	13	2790.8019572368257	13.300718816756419	20.401841904868665	17.697221110200353	7.700409692179701	17	2687.081047245384	22.2995903078203	19.643601929299184	15.877134680112928	15.789790759949375	15	2468.610581328236	14.210209240050625	18.046498310044985	21.18794514104099	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1
49	17.49347206683224	7	2731.135660261594	12.50652793316776	19.56634502873977	27.78287145891747	16.757336096133493	13	2827.7710606351197	13.242663903866509	20.258658344848623	17.72845285206014	16.781707759581852	13	2723.982113083218	13.218292240418148	19.515095735521562	15.842922015666266	3.7953730269470967	18	2562.95599769513	33.7953730269471	18.36147580438303	20.737155827788477	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0
50	2.387416181172533	19	2821.5505304340336	32.38741618117253	19.81773858074826	29.679452203081645	16.76588117676967	14	2864.7163090166378	13.234118823230329	20.120922275797284	17.63621298666974	17.110066661226988	15	2759.9665103206257	12.889933338773012	19.38519059048728	15.753875536549609	14.440122682106868	5	2606.393988540915	15.559877317893132	18.306542500726362	20.89950564285553	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1
51	18.21648092425075	11	2854.4461878538336	11.78351907574925	19.663234359498276	29.472910926019914	15.36551137688597	3	2905.5709230894977	14.63448862311403	20.015413936322606	16.400964434858757	18.37004688735618	13	2792.4334627600897	11.62995311264382	19.23605140822106	13.800845770512357	0.6149268619594075	18	2688.427317717945	29.385073138040593	18.51959116682856	22.180846948595352	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0
