task	r0_energy	r0_config	r0_reward	r0_rate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
45	74.845500218172	11	3847.39817469159	26.81032843636012	0	0	0	0	0	0	0	0	0	0	0	1
46	75.326287214726	11	3922.7244619063163	26.982550644080952	0	0	0	0	0	0	0	0	0	0	0	1
47	76.82823031404	11	3999.552692220356	27.52056011249194	0	0	0	0	0	0	0	0	0	0	0	1
48	84.36503967343201	11	4083.917731893788	30.22031271884131	0	0	0	0	0	0	0	0	0	0	0	1
49	75.99868052517598	11	4159.916412418964	27.223407949316773	0	0	0	0	0	0	0	0	0	0	0	1
50	75.44805245259602	11	4235.36446487156	27.02616804272096	0	0	0	0	0	0	0	0	0	0	0	1
51	76.40812545052502	11	4311.772590322085	27.37007478824777	0	0	0	0	0	0	0	0	0	0	0	1
52	84.42570938220301	11	4396.198299704289	30.242045151833914	0	0	0	0	0	0	0	0	0	0	0	1
53	96.48652500823201	11	4492.684824712521	34.562337316381615	0	0	0	0	0	0	0	0	0	0	0	1
54	90.83843296281	11	4583.523257675331	32.53914016578268	0	0	0	0	0	0	0	0	0	0	0	1
55	90.93427692668	11	4674.45753460201	32.57347233194507	0	0	0	0	0	0	0	0	0	0	0	1
56	86.73295035391999	11	4761.1904849559305	31.06851952976238	0	0	0	0	0	0	0	0	0	0	0	1
57	75.55490762367998	11	4836.745392579611	27.064444521915217	0	0	0	0	0	0	0	0	0	0	0	1
58	90.99238671576	11	4927.737779295371	32.5942877787797	0	0	0	0	0	0	0	0	0	0	0	1
59	89.325461330496	11	5017.063240625867	31.997180178088115	0	0	0	0	0	0	0	0	0	0	0	1
60	99.16335701226	11	5116.226597638128	35.52120251185433	0	0	0	0	0	0	0	0	0	0	0	1
61	78.5385770577	11	5194.765174695828	28.133221632608954	0	0	0	0	0	0	0	0	0	0	0	1
62	75.05122100995499	11	5269.816395705783	26.884019466252532	0	0	0	0	0	0	0	0	0	0	0	1
