task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r2_energy	r2_config	r2_reward	r2_rate	r2_avgrate	r3_energy	r3_config	r3_reward	r3_rate	r3_avgrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
12	6.304389023800361	1	853.2901267408769	18.69561097619964	23.512012677130937	2.7488892650297387	4	834.9781511957	27.74888926502974	23.00743470573686	0.6523274580298448	0	1129.598376217211	25.652327458029845	31.12555801287379	3.710703261359054	4	1032.936674533719	28.710703261359054	28.462089769011776	1	1	0	0	2	0	0	0	0	0	0	0
13	6.6718422792310434	1	904.4562337113568	18.328157720768957	23.14173732310508	1.9673442081604833	3	910.261987110148	26.967344208160483	23.290285384481404	15.785144133454331	2	1243.456903589771	40.78514413345433	31.81552845005811	4.774371845804172	1	1116.056795936589	29.774371845804172	28.555824203068376	0	2	1	1	0	0	0	0	0	0	0	0
14	9.958038651739225	3	946.4483758085848	15.041961348260775	22.60175225811546	5.175142101821137	1	994.5009254777319	30.175142101821137	23.749275832304058	1.7455841118213762	0	1308.3754812776028	23.254415888178624	31.244787612599477	3.5693386339487816	0	1195.8128662896959	28.56933863394878	28.556725165127073	2	1	0	1	0	0	0	0	0	0	0	0
15	3.080771676337193	4	1024.840530071693	28.080771676337193	22.944190971754317	11.047559646471642	1	1033.4514881313319	13.952440353528358	23.136973614880574	6.900340627720595	3	1397.4305988633228	31.900340627720595	31.28575967604455	3.7086225136991047	3	1275.9577708071058	28.708622513699105	28.566218749412823	0	1	0	2	1	0	0	0	0	0	0	0
16	11.782838568144243	2	1061.738439068957	13.217161431855757	22.37201276352499	8.6935233426006	3	1078.973735466572	16.3064766573994	22.73517967620521	7.457172296908411	2	1488.0402048588587	32.45717229690841	31.35466630080125	6.421721671269246	4	1363.6767438060658	31.421721671269246	28.734189509522025	0	0	2	1	1	0	0	0	0	0	0	0
17	11.304130100140897	1	1099.972742539397	13.695869899859103	21.89000482665466	4.108326495493728	4	1160.234480266492	29.108326495493728	23.089243388387906	13.024746264262689	3	1594.1926215132587	38.02474626426269	31.72522629877133	3.5698661620591103	2	1423.5025341036508	21.43013383794089	28.328408638878628	0	1	1	1	1	0	0	0	0	0	0	0
18	10.312029640168001	0	1140.9766597939279	14.687970359831999	21.510950381032416	11.893224243058626	3	1196.82422925462	13.106775756941374	22.56385035515388	13.979729787443588	4	1703.0110338365387	38.97972978744359	32.10704227185934	4.004453759112117	2	1504.4733008478388	29.004453759112117	28.36398996099618	1	0	1	1	1	0	0	0	0	0	0	0
19	9.780556339905544	0	1183.4642733450248	15.219443660094456	21.196375044985516	6.319574045524064	4	1284.258040131708	31.319574045524064	23.001636539672386	6.942144916328363	0	1792.1828550612886	31.942144916328363	32.098797404082795	4.70931156061588	1	1587.4117956212249	29.70931156061588	28.431256040977168	2	1	0	0	1	0	0	0	0	0	0	0
20	10.415478319602151	1	1224.1793963694688	14.584521680397849	20.881524884767057	12.470806697739462	1	1319.235371433852	12.529193302260538	22.5029487664623	5.650588836417906	0	1846.1999612262887	19.349411163582094	31.491683773582764	9.34639902277302	2	1683.2954928931329	34.34639902277302	28.712929516300775	1	2	1	0	0	0	0	0	0	0	0	0
21	11.627358964572057	0	1261.5113525933718	13.372641035427943	20.54021198252437	12.508911985900895	0	1354.1063254732119	12.491088014099105	22.047864186809424	8.75800661626866	0	1940.4410630300388	33.75800661626866	31.594698448250302	7.870082643410388	0	1731.116512180279	17.129917356589612	28.186428963586636	4	0	0	0	0	0	0	0	0	0	0	0
22	12.324899547776837	0	1296.896008022495	12.675100452223163	20.198250611641708	12.268336148418866	3	1389.648887058876	12.731663851581134	21.64281199832124	9.20633962095522	0	2035.9337611385388	34.20633962095522	31.708248064454864	4.257321695147944	3	1812.793201912567	29.257321695147944	28.23298951713278	2	0	0	2	0	0	0	0	0	0	0	0
23	6.738580785532175	1	1347.875803329551	18.261419214467825	20.117549303426127	1.9546318228794028	0	1464.897234231081	26.954631822879403	21.864137824344496	7.805827745850749	0	2127.516696929039	32.80582774585075	31.75398055117969	5.244959136752719	4	1897.227046169335	30.24495913675272	28.316821584616946	2	1	0	0	1	0	0	0	0	0	0	0
24	10.28500336956872	4	1446.379771069597	35.28500336956872	20.724247466071834	3.502831493911639	3	1544.467638818251	28.50283149391164	22.129685571127183	10.096626174328359	0	2169.121948859039	14.903373825671641	31.07995628215937	9.190987471856715	3	1992.676886194935	34.190987471856715	28.551788220106538	1	0	0	2	1	0	0	0	0	0	0	0
25	6.467522937499581	1	1498.1162695357439	18.53247706250042	20.63994860439601	12.246370998352234	1	1648.447091188651	37.24637099835223	22.711096549097377	9.839825539725371	3	2211.4441025606393	15.160174460274629	30.46765698131765	1.7905828782079958	2	2067.467263396599	26.790582878207996	28.484049553110438	0	2	1	1	0	0	0	0	0	0	0	0
26	9.99226875185218	3	1540.0128526034898	15.00773124814782	20.431347961572005	8.67107460355821	3	1742.445507790251	33.67107460355821	23.117021662225554	7.23336554735188	3	2301.4289147136633	32.23336554735188	30.533053594874474	13.427560505038336	2	2174.744203139831	38.427560505038336	28.85232773651517	0	0	1	3	0	0	0	0	0	0	0	0
27	10.099030747978269	3	1581.6113917653838	14.900969252021731	20.23383443623092	10.655876663600004	3	1841.984830142801	35.655876663600004	23.56483791227464	9.475851411605255	0	2344.7671628562653	15.524148588394745	29.997021273214482	9.376359044050147	3	2270.711538804471	34.37635904405015	29.049614568927133	1	0	0	3	0	0	0	0	0	0	0	0
