count	name	metric	meet
29	pessimist	87.29855124342897	no
30	oracle	70.27454196624399	no
30	l1	35.402297277887996	yes
30	l2	50.631927005184	yes
30	l3	42.403288718119995	yes
30	pessimist	74.54001943179	no
31	oracle	77.546968990108	no
31	l1	35.26219617661	yes
31	l2	67.994664673244	no
31	l3	79.77168424508399	no
31	pessimist	91.027816478436	no
32	oracle	73.333477370505	no
32	l1	34.933384011414	yes
32	l2	65.895820012201	no
32	l3	63.34814235383399	no
32	pessimist	74.589127903796	no
33	oracle	40.198015034865	yes
33	l1	35.40594028312	yes
33	l2	63.937883414883	no
33	l3	67.62196808603001	no
33	pessimist	99.59272293048099	no
34	oracle	44.566251812775	yes
34	l1	38.958671231486996	yes
34	l2	35.320400162519995	yes
34	l3	56.80640272667999	yes
34	pessimist	85.65718943610398	no
35	oracle	45.276426457019994	yes
35	l1	39.684411995375	yes
35	l2	66.249860788822	no
35	l3	51.58473618926	yes
35	pessimist	93.652047148464	no
36	oracle	54.97407894081601	yes
36	l1	40.817576804697005	yes
36	l2	75.85602004822	no
36	l3	51.82949690363399	yes
36	pessimist	79.270861699344	no
37	oracle	50.879595208248006	yes
37	l1	97.49958705392201	no
37	l2	66.62969939742999	no
37	l3	41.600071767935994	yes
37	pessimist	78.33674640715199	no
38	oracle	64.91581993582	no
38	l1	55.69446841658699	yes
38	l2	69.636663451094	no
38	l3	50.816734213615995	yes
38	pessimist	71.842465577232	no
39	oracle	47.965233861216	yes
39	l1	52.26228764181	yes
39	l2	67.96592262693099	no
39	l3	69.779093446612	no
39	pessimist	76.586453251656	no
40	oracle	40.00435026144001	yes
40	l1	49.319779405380004	yes
40	l2	65.431431517032	no
40	l3	91.966970103848	no
40	pessimist	75.28968447344401	no
41	oracle	67.16990668096801	no
41	l1	35.223775951824	yes
41	l2	37.829700466312005	yes
41	l3	77.420779227792	no
41	pessimist	85.843505253894	no
42	oracle	73.42900871440001	no
42	l1	38.657577914784	yes
42	l2	43.42206154608	yes
42	l3	32.819934278736	yes
42	pessimist	71.489561214222	no
43	oracle	74.548303230028	no
43	l1	65.74833879235199	no
43	l2	37.080051997519995	yes
43	l3	33.750811171440006	yes
43	pessimist	74.370273164802	no
44	oracle	65.91379361792	no
44	l1	35.88815911794	yes
44	l2	66.700885779934	no
44	l3	72.67257843436798	no
44	pessimist	81.44978877730802	no
45	oracle	37.838839824136	yes
45	l1	43.11487473102	yes
45	l2	37.563383911834	yes
45	l3	36.414222990287996	yes
45	pessimist	71.456983899588	no
46	oracle	40.671362879048	yes
