task	r0_energy	r0_config	r0_reward	r0_rate	r1_energy	r1_config	r1_reward	r1_rate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
87	5.589681731517132	3	3065.14004928594	35.58968173151713	1.3854360266890744	4	1139.814098132411	31.385436026689074	0	0	0	1	1	0	0	0	0	0	0	0
88	1.0372958702758268	3	3151.7858335904602	31.037295870275827	1.9826357928616183	0	1218.0292398773388	28.01736420713838	1	0	0	1	0	0	0	0	0	0	0	0
89	1.990141510935402	3	3229.980021872432	28.009858489064598	0.08246375006327611	1	1302.0094511795987	30.082463750063276	0	1	0	1	0	0	0	0	0	0	0	0
90	1.8639951761982125	3	3308.5263686722124	28.136004823801787	1.3711166666507424	1	1381.9317504851988	28.628883333349258	0	1	0	1	0	0	0	0	0	0	0	0
91	0.43828474544453044	3	3391.0528237578465	29.56171525455547	17.490738876315227	1	1416.8534377888188	12.509261123684775	0	1	0	1	0	0	0	0	0	0	0	0
92	2.0041887929122453	3	3469.2077967109662	27.995811207087755	5.941653180614686	0	1517.1905529180349	35.941653180614686	1	0	0	1	0	0	0	0	0	0	0	0
93	2.035044626389972	3	3547.276630462294	27.964955373610028	2.7226162114674715	3	1593.339915994355	27.27738378853253	0	0	0	2	0	0	0	0	0	0	0	0
94	0.4428095196343875	3	3629.7904538866483	29.557190480365612	0.4717201641599935	0	1675.7730305360749	29.528279835840006	1	0	0	1	0	0	0	0	0	0	0	0
95	3.7726138538880036	3	3724.0723342287524	33.772613853888004	1.1167885400912283	1	1756.405329194987	28.88321145990877	0	1	0	1	0	0	0	0	0	0	0	0
96	1.3044509661220332	3	3804.1807419483284	28.695549033877967	2.6281351600907428	0	1832.818451873067	27.371864839909257	1	0	0	1	0	0	0	0	0	0	0	0
97	0.04848078393312605	3	3888.0660841368085	30.048480783933126	10.586025600682746	0	1887.015797071161	19.413974399317254	1	0	0	1	0	0	0	0	0	0	0	0
98	0.223864545164421	3	3972.4410393253925	30.22386454516442	3.0482839443420957	2	1979.2755897491159	33.048283944342096	0	0	1	1	0	0	0	0	0	0	0	0
99	0.0015544734949308747	3	4056.1953788972323	30.00155447349493	7.851692668415993	0	2084.944898448444	37.85169266841599	1	0	0	1	0	0	0	0	0	0	0	0
100	1.6634525011859047	3	4135.301573998088	28.336547498814095	2.1532237581958213	0	2174.7059814400736	32.15322375819582	1	0	0	1	0	0	0	0	0	0	0	0
101	0.4471964839508047	3	4217.803150480392	29.552803516049195	1.8379042760597102	0	2253.3251653360735	28.16209572394029	1	0	0	1	0	0	0	0	0	0	0	0
102	1.5158271214366543	3	4297.321466433048	28.484172878563346	0.4069800271508086	0	2338.2113179118696	30.40698002715081	1	0	0	1	0	0	0	0	0	0	0	0
103	5.876501629096115	3	4364.666232718488	24.123498370903885	3.4138507973348062	0	2412.430984435977	26.586149202665194	1	0	0	1	0	0	0	0	0	0	0	0
104	6.0266698206476335	3	4431.5917794691795	23.973330179352367	18.329462743956896	0	2445.011234275764	11.670537256043104	1	0	0	1	0	0	0	0	0	0	0	0
105	5.25073028177194	3	4500.6834907658995	24.74926971822806	3.248265043210747	4	2519.693161030134	26.751734956789253	0	0	0	1	1	0	0	0	0	0	0	0
106	4.850649350915816	3	4570.89209466126	25.149350649084184	16.348221769848358	0	38.11121422584	13.65177823015164	1	0	0	1	0	0	0	0	0	0	0	0
107	3.698160715775998	3	4644.318062663052	26.301839284224002	5.145058743306279	0	136.22450321757003	35.14505874330628	1	0	0	1	0	0	0	0	0	0	0	0
108	3.0879490473800573	3	4719.447538239116	26.912050952619943	1.7088438763701497	1	215.20398072937004	28.29115612362985	0	1	0	1	0	0	0	0	0	0	0	0
109	4.728660509718448	3	4789.996694316152	25.27133949028155	16.599152415066268	1	252.61468023731004	13.400847584933732	0	1	0	1	0	0	0	0	0	0	0	0
110	5.220363221456235	3	4859.1731803229195	24.779636778543765	0.5864006942432276	2	334.72764496588104	29.413599305756772	0	0	1	1	0	0	0	0	0	0	0	0
111	4.956660205973019	3	4929.0858372479115	25.04333979402698	1.5702575043152187	2	422.86128049876106	31.57025750431522	0	0	1	1	0	0	0	0	0	0	0	0
112	0.18291960537313656	3	5013.346487812912	30.182919605373137	4.760321712143984	3	519.9005119451631	34.760321712143984	0	0	0	2	0	0	0	0	0	0	0	0
113	5.068365166710443	3	5082.947301722512	24.931634833289557	0.5964651318440701	3	601.9853801187651	29.40353486815593	0	0	0	2	0	0	0	0	0	0	0	0
114	4.844204046447764	3	5153.173898759512	25.155795953552236	4.325371081173493	4	697.8103743870411	34.32537108117349	0	0	0	1	1	0	0	0	0	0	0	0
115	5.3928563294328455	3	5221.868841506512	24.607143670567154	1.0347227212928978	4	778.6717734567651	28.965277278707102	0	0	0	1	1	0	0	0	0	0	0	0
116	0.42905794835319	0	84.947786772486	30.42905794835319	17.75269661778985	1	812.8621620654351	12.247303382210147	1	1	0	0	0	0	0	0	0	0	0	0
117	NA	NA	NA	NA	5.741768058017556	0	880.5830595701361	24.258231941982444	1	0	0	0	0	0	0	0	0	0	0	0
118	NA	NA	NA	NA	1.0900536821136768	4	961.2899930409021	28.909946317886323	0	0	0	0	1	0	0	0	0	0	0	0
119	NA	NA	NA	NA	5.6403216815627495	3	1029.294095013206	24.35967831843725	0	0	0	1	0	0	0	0	0	0	0	0
