task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
35	22.505597999035224	1	669.460612619786	42.505597999035224	27.39276223526782	7.481292600709731	0	727.8545017578069	12.51870739929027	12.61047452952645	1	1	0	0	0	0	0	0	0	0	0	0
36	1.0975298708651948	4	722.2300083969541	18.902470129134805	30.23398057349158	7.209837321217908	3	763.5603725694069	12.790162678782092	12.624078275161793	0	0	0	1	1	0	0	0	0	0	0	0
37	9.29387359230471	4	804.0087388421381	29.29387359230471	20.99983376202125	7.4366352525869885	0	798.6330991559349	12.563364747413011	12.626129534477371	1	0	0	0	1	0	0	0	0	0	0	0
38	5.196842435375762	4	845.334220376714	14.803157564624238	19.226916919085372	7.475138822762986	3	833.598336609055	12.524861177237014	13.803381560582684	0	0	0	1	1	0	0	0	0	0	0	0
39	6.416280399672834	2	883.255437594294	13.583719600327166	13.96462163034794	3.678081242901971	4	879.1636931392869	16.32191875709803	13.7941665644074	0	0	1	0	1	0	0	0	0	0	0	0
40	6.493012273907585	0	920.962444996302	13.506987726092415	13.523986517704119	7.464280241112839	4	914.1592441328469	12.535719758887161	21.499590391916417	1	0	0	0	1	0	0	0	0	0	0	0
41	6.518747773307224	1	958.5976074624859	13.481252226692776	13.511151870960235	15.641132659764054	2	1013.6574061413548	35.641132659764054	20.324988322472596	0	1	1	0	0	0	0	0	0	0	0	0
42	6.45478433990448	3	996.411334513586	13.54521566009552	15.15143785846197	7.201887451233434	0	1049.3854703399948	12.798112548766566	20.349020513563463	1	0	0	1	0	0	0	0	0	0	0	0
43	1.572154311402386	3	1047.855737060921	18.427845688597614	15.162570151842985	7.3921836678402375	3	1084.5822909339408	12.607816332159762	19.226903545173254	0	0	0	2	0	0	0	0	0	0	0	0
44	6.4853508931641795	2	1085.584132484171	13.51464910683582	15.446809595663643	12.274781754593427	0	1174.6827233321808	32.27478175459343	24.078752025622208	1	0	1	0	0	0	0	0	0	0	0	0
45	5.60206600844251	4	1125.778364877269	14.39793399155749	14.883110278474385	7.35365799011343	0	1251.0450185545808	27.35365799011343	25.727150169389848	1	0	0	0	1	0	0	0	0	0	0	0
46	3.263252262970152	4	1172.501785643144	16.736747737029848	17.028125704699818	2.4469892365373163	0	49.002155048	17.553010763462684	24.82173452399283	1	0	0	0	1	0	0	0	0	0	0	0
47	0.05030461448787804	4	1228.1946852610322	19.949695385512122	23.30521418123689	9.558534818402386	0	131.51973141604	29.558534818402386	21.770777969836416	1	0	0	0	1	0	0	0	0	0	0	0
48	13.229199421168708	4	1320.9595336451282	33.22919942116871	22.74527951997516	1.799211672355824	1	182.33026549738	18.200788327644176	22.2170845824597	0	1	0	0	1	0	0	0	0	0	0	0
49	4.943056246755347	0	1362.9935016229363	15.056943753244653	20.54040876360119	1.108069398667464	1	235.0702384261	18.891930601332536	16.734401688150445	1	1	0	0	0	0	0	0	0	0	0	0
50	6.664916883609795	4	1400.2206086561923	13.335083116390205	13.77424093518137	6.889513864525377	2	271.67034555429996	13.110486135474623	15.167898193662088	0	0	1	0	1	0	0	0	0	0	0	0
51	7.069304064090748	0	1436.3188014772722	12.930695935909252	16.83151163860728	6.4987221558208965	2	309.36141286929995	13.501277844179103	19.338348602096712	1	0	1	0	0	0	0	0	0	0	0	0
52	4.228755863522387	3	1503.9574115962723	24.228755863522387	22.043750000009556	11.403281826636412	3	397.02890796865995	31.403281826636412	19.604219635768356	0	0	0	2	0	0	0	0	0	0	0	0
53	8.971798200597021	2	1584.8370149062723	28.97179820059702	23.84865927895523	6.09190076351045	3	435.85568500385995	13.90809923648955	19.83543352730746	0	0	1	1	0	0	0	0	0	0	0	0
54	1.6545762272537274	4	1636.0513229385224	18.345423772746273	22.02300158480597	5.805080481203586	4	475.4831686604999	14.194919518796414	14.024283861253727	0	0	0	0	2	0	0	0	0	0	0	0
55	1.2482172189253724	4	1688.4000498690225	18.751782781074628	18.92649134167164	6.030167171524781	4	514.48228530666	13.96983282847522	20.26733848671761	0	0	0	0	2	0	0	0	0	0	0	0
56	0.3177325288059727	4	1743.3463798927726	19.682267471194027	19.04188855208955	12.637263112881193	3	605.5946448301199	32.63726311288119	25.246795865312958	0	0	0	1	1	0	0	0	0	0	0	0
57	1.3083845959999998	3	1795.5271395622726	18.691615404	17.88878013573134	9.13329165458245	4	686.925084032496	29.13329165458245	24.662403958385195	0	0	0	1	1	0	0	0	0	0	0	0
58	4.7075424680000015	4	1838.2185835057726	15.292457531999998	21.685176220432833	7.78334289230806	1	721.029918458136	12.21665710769194	18.306105905809076	0	1	0	0	1	0	0	0	0	0	0	0
59	11.071455725298492	4	1924.9597307388976	31.07145572529849	23.398963640865663	6.431631044847164	0	758.908281791271	13.568368955152836	18.349734073283823	1	0	0	0	1	0	0	0	0	0	0	0
60	3.8329776652985075	4	1991.4934600545225	23.832977665298507	23.6257244441194	9.264176157006688	2	840.6041068962479	29.264176157006688	19.40505937586973	0	0	1	0	1	0	0	0	0	0	0	0
61	4.027260058238804	4	2036.0840257252726	15.972739941761196	17.993493680373135	4.617366984550328	0	883.5472907310449	15.382633015449672	21.01297038636609	1	0	0	0	1	0	0	0	0	0	0	0
62	5.825236565940303	4	2075.6552403120227	14.174763434059697	14.995720722761193	1.607898013358092	0	934.8919087770869	18.392101986641908	15.569952549365373	1	0	0	0	1	0	0	0	0	0	0	0
