task	r0_energy	r0_config	r0_reward	r0_rate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
37	48.301291471472	0	1099.952560855995	17.301955153960122	1	0	0	0	0	0	0	0	0	0	0	0
38	35.64570509784	0	1135.598265953835	12.768610781315822	1	0	0	0	0	0	0	0	0	0	0	0
39	77.03493041157598	3	1212.6331963654109	27.59460193847498	0	0	0	1	0	0	0	0	0	0	0	0
40	90.578811509704	0	1303.212007875115	32.446141436311876	1	0	0	0	0	0	0	0	0	0	0	0
41	59.65542441379199	0	1362.867432288907	21.369107252701607	1	0	0	0	0	0	0	0	0	0	0	0
42	51.840037037472	0	1414.707469326379	18.56956550596012	1	0	0	0	0	0	0	0	0	0	0	0
43	51.464892050695994	0	1466.172361377075	18.43518521218961	1	0	0	0	0	0	0	0	0	0	0	0
44	39.91536301648	0	1506.0877243935552	14.298040483515225	1	0	0	0	0	0	0	0	0	0	0	0
45	45.799773138000006	0	1551.8874975315553	16.405888885253734	1	0	0	0	0	0	0	0	0	0	0	0
46	79.81680484602	0	79.81680484602	28.591094273201193	1	0	0	0	0	0	0	0	0	0	0	0
47	80.22952221984	0	160.04632706586	28.738933332480002	1	0	0	0	0	0	0	0	0	0	0	0
48	83.51875400687999	1	243.56508107273999	29.917165614404777	0	1	0	0	0	0	0	0	0	0	0	0
49	39.24448957422	1	282.80957064695997	14.05772760867582	0	1	0	0	0	0	0	0	0	0	0	0
50	38.917418224185	2	321.72698887114495	13.940567722096118	0	0	1	0	0	0	0	0	0	0	0	0
51	68.29645673844	2	390.02344560958494	24.46440241376955	0	0	1	0	0	0	0	0	0	0	0	0
52	83.69260283915999	3	473.7160484487449	29.979439822982684	0	0	0	1	0	0	0	0	0	0	0	0
53	78.615411791202	3	552.3314602399469	28.160744522221616	0	0	0	1	0	0	0	0	0	0	0	0
54	77.160693561549	4	629.4921538014959	27.63965142503248	0	0	0	0	1	0	0	0	0	0	0	0
55	78.20336225391	4	707.6955160554058	28.013144687967763	0	0	0	0	1	0	0	0	0	0	0	0
56	48.302465173151	0	755.9979812285568	17.302375584412296	1	0	0	0	0	0	0	0	0	0	0	0
57	44.305763320533	0	800.3037445490897	15.870721189444657	1	0	0	0	0	0	0	0	0	0	0	0
58	66.39901955068999	0	866.7027640997798	23.784723421142687	1	0	0	0	0	0	0	0	0	0	0	0
59	92.09706471378	0	958.7998288135598	32.989993330309254	1	0	0	0	0	0	0	0	0	0	0	0
60	100.75884769503	0	1059.5586765085898	36.09272156239881	1	0	0	0	0	0	0	0	0	0	0	0
61	87.136222087872	0	1146.6948985964618	31.21297507625266	1	0	0	0	0	0	0	0	0	0	0	0
62	85.83875573245199	4	1232.5336543289138	30.74821100863951	0	0	0	0	1	0	0	0	0	0	0	0
63	37.019401960799996	0	1269.5530562897138	13.260681299391045	1	0	0	0	0	0	0	0	0	0	0	0
64	36.27915432069601	0	1305.83221061041	12.995517965622449	1	0	0	0	0	0	0	0	0	0	0	0
