task	oracle_reward	oracle_total_reward	vbde50_reward	vbde50_total_reward	static2_reward	static2_total_reward	pessimist_reward	pessimist_total_reward
21	16.100088163126152	907.432887715061	59.26751574520367	1335.083765597218	92.10109477280484	1308.908224519101	36.22556528576345	2006.7571024665197
22	17.15997551182172	953.9078213929115	47.674349234163664	1382.7581148313814	98.72525993506918	1407.63348445417	37.64918843291022	2108.7236544723182
23	23.486512086971814	1017.5171249617936	42.02442236159367	1424.7825371929755	97.10530132013584	1504.7387857743058	38.400327463389594	2212.7245413523315
24	22.013154928547447	1077.1360862266097	46.51066953431633	1471.2932067272916	48.776093749353	1553.514879523659	33.65251033960911	2303.8667568554397
25	14.587698204918276	1116.6444355315966	95.18951611755551	1566.4827228448469	44.78202823685867	1598.2969077605176	34.95033343730548	2398.523909914809
26	14.300928699019199	1155.3761174247734	62.25655205960183	1628.739274904449	45.035831732283334	1643.3327394928008	32.04313117287507	2485.307390174679
27	13.011379183523076	1190.6152693801484	82.436289954845	1711.1755648592941	33.72495102472967	1677.0576905175303	28.82443574965015	2563.3735703299817
28	13.662959420596618	1227.6191178109311	53.99534094315583	1765.1709058024499	40.28006100499917	1717.33775152253	34.80236669287754	2657.6299801231917
29	12.944559724523074	1262.677300398181	46.892591844041995	1812.063497646492	49.175550890384336	1766.5133024129143	34.254603336622154	2750.4028641598766
30	13.58292698524357	1299.4643943165488	59.73090177893917	1871.794399425431	39.1035690869105	1805.6168714998246	34.038014809612804	2842.5891542692443
31	13.833207252930464	1336.929330626569	44.70978335521951	1916.5041827806501	69.4088703602955	1875.0257418601202	36.39071701548184	2941.147346186174
32	19.42262942664443	1389.5322853237308	54.051486425431506	1970.5556692060818	57.778696175971994	1932.8044380360916	35.00399711687261	3035.9498383777045
33	15.456230007912184	1431.3929082618265	45.48379191081049	2016.0394611168924	65.13086547603866	1997.9353035121305	33.29975298217107	3126.1366693710843
34	26.164037761962643	1502.2538438671418	31.278614915053996	2047.3180760319467	53.51903364394217	2051.454337156073	33.9429870879408	3218.0655927342573
35	16.353359207507445	1546.544191720808	45.08535414327116	2092.4034301752176	55.9725614823505	2107.426898638423	31.982652019817166	3304.6852752879286
36	13.645173542429536	1583.499870064888	43.847981447705166	2136.2514116229227	69.15404284727917	2176.5809414857026	34.53031241179125	3398.2048714031966
37	13.574128113734217	1620.2631337062512	49.859607909741335	2186.111019532664	47.49866371568833	2224.0796052013907	33.33082107506159	3488.4758451481553
38	13.789070373517664	1657.6085326345283	58.31529090544634	2244.4263104381102	70.79934207099116	2294.878947272382	34.98550565862462	3583.2282563069302
39	12.884205863831262	1692.5032568490715	43.9711362363585	2288.397446674469	51.213756413286	2346.092703685668	34.56972955024135	3676.8546071721676
40	12.8161423932552	1727.2136424974708	64.81527634282615	2353.212723017295	43.872891149742664	2389.9655948354102	36.86764947212603	3776.7044911591756
41	12.789129326484552	1761.8508677566997	46.757678058397495	2399.9704010756927	53.97970186078383	2443.945296696195	34.84484330698707	3871.0759417822655
42	13.942224594261049	1799.611059366157	52.87239280269217	2452.842793878385	48.87101498651566	2492.8163116827104	29.525646202287508	3951.0412335801275
43	13.443864143939447	1836.0215247559927	44.184182079398504	2497.0269759577836	55.30037438515884	2548.1166860678695	30.463478272857593	4033.5464872357834
44	12.835787636444305	1870.7851162713628	54.71713965216201	2551.7441156099453	48.52026100035916	2596.6369470682284	32.94072644161662	4122.7609546818285
45	21.869161212933417	1930.0140945563908	47.87887962049367	2599.622995230439	50.41632996555334	2647.0532770337823	32.010689696289226	4209.456572609279
46	12.957646111544491	1965.107719441824	53.73877619496267	2653.3617714254015	60.71832641162433	2707.7716034454065	30.093042855218215	4290.958563675495
47	13.016646073567014	2000.361135891068	57.594176450981	2710.9559478763827	55.094696348156994	2762.866299793563	32.156585183178834	4378.049315213269
