==RUN 0==
Accepted:144 Acc-Reject:0 Worse-Reject:0
Accepted:145 Acc-Reject:0 Worse-Reject:0
Accepted:146 Acc-Reject:0 Worse-Reject:0
Accepted:147 Acc-Reject:0 Worse-Reject:0
Accepted:148 Acc-Reject:0 Worse-Reject:0
Accepted:149 Acc-Reject:0 Worse-Reject:0
Accepted:150 Acc-Reject:0 Worse-Reject:0
Accepted:151 Acc-Reject:0 Worse-Reject:0
Accepted:152 Acc-Reject:0 Worse-Reject:0
Accepted:153 Acc-Reject:0 Worse-Reject:0
Accepted:154 Acc-Reject:0 Worse-Reject:0
Accepted:155 Acc-Reject:0 Worse-Reject:0
Accepted:156 Acc-Reject:0 Worse-Reject:0
Accepted:157 Acc-Reject:0 Worse-Reject:0
Accepted:158 Acc-Reject:0 Worse-Reject:0
Accepted:159 Acc-Reject:0 Worse-Reject:0
ETask 7-7: Configuration:0 Energy:86.05328527272 Reward:-30.825057411123584 Raw:30.825057411123584 Time:32503 TotalReward:689.277601966398
Accepted:160 Acc-Reject:0 Worse-Reject:0
Accepted:161 Acc-Reject:0 Worse-Reject:0
Accepted:162 Acc-Reject:0 Worse-Reject:0
Accepted:163 Acc-Reject:0 Worse-Reject:0
Accepted:164 Acc-Reject:0 Worse-Reject:0
Accepted:165 Acc-Reject:0 Worse-Reject:0
Accepted:166 Acc-Reject:0 Worse-Reject:0
Accepted:167 Acc-Reject:0 Worse-Reject:0
Accepted:168 Acc-Reject:0 Worse-Reject:0
Accepted:169 Acc-Reject:0 Worse-Reject:0
Accepted:170 Acc-Reject:0 Worse-Reject:0
Accepted:171 Acc-Reject:0 Worse-Reject:0
Accepted:172 Acc-Reject:0 Worse-Reject:0
Accepted:173 Acc-Reject:0 Worse-Reject:0
Accepted:174 Acc-Reject:0 Worse-Reject:0
Accepted:175 Acc-Reject:0 Worse-Reject:0
Accepted:176 Acc-Reject:0 Worse-Reject:0
Accepted:177 Acc-Reject:0 Worse-Reject:0
Accepted:178 Acc-Reject:0 Worse-Reject:0
Accepted:179 Acc-Reject:0 Worse-Reject:0
Accepted:180 Acc-Reject:0 Worse-Reject:0
Accepted:181 Acc-Reject:0 Worse-Reject:0
ETask 8-8: Configuration:0 Energy:86.42346575968502 Reward:-30.957659376603587 Raw:30.957659376603587 Time:32503 TotalReward:775.701067726083
Accepted:182 Acc-Reject:0 Worse-Reject:0
Accepted:183 Acc-Reject:0 Worse-Reject:0
Accepted:184 Acc-Reject:0 Worse-Reject:0
Accepted:185 Acc-Reject:0 Worse-Reject:0
Accepted:186 Acc-Reject:0 Worse-Reject:0
Accepted:187 Acc-Reject:0 Worse-Reject:0
Accepted:188 Acc-Reject:0 Worse-Reject:0
Accepted:189 Acc-Reject:0 Worse-Reject:0
Accepted:190 Acc-Reject:0 Worse-Reject:0
Accepted:191 Acc-Reject:0 Worse-Reject:0
Accepted:192 Acc-Reject:0 Worse-Reject:0
Accepted:193 Acc-Reject:0 Worse-Reject:0
Accepted:194 Acc-Reject:0 Worse-Reject:0
Accepted:195 Acc-Reject:0 Worse-Reject:0
Accepted:196 Acc-Reject:0 Worse-Reject:0
Accepted:197 Acc-Reject:0 Worse-Reject:0
Accepted:198 Acc-Reject:0 Worse-Reject:0
Accepted:199 Acc-Reject:0 Worse-Reject:0
Accepted:200 Acc-Reject:0 Worse-Reject:0
Accepted:201 Acc-Reject:0 Worse-Reject:0
Accepted:202 Acc-Reject:0 Worse-Reject:0
Accepted:203 Acc-Reject:0 Worse-Reject:0
Accepted:204 Acc-Reject:0 Worse-Reject:0
ETask 9-9: Configuration:0 Energy:123.955052499705 Reward:-44.4018098506406 Raw:44.4018098506406 Time:32502 TotalReward:899.6561202257881
Accepted:205 Acc-Reject:0 Worse-Reject:0
Accepted:206 Acc-Reject:0 Worse-Reject:0
Accepted:207 Acc-Reject:0 Worse-Reject:0
Accepted:208 Acc-Reject:0 Worse-Reject:0
Accepted:209 Acc-Reject:0 Worse-Reject:0
Accepted:210 Acc-Reject:0 Worse-Reject:0
Accepted:211 Acc-Reject:0 Worse-Reject:0
Accepted:212 Acc-Reject:0 Worse-Reject:0
Accepted:213 Acc-Reject:0 Worse-Reject:0
Accepted:214 Acc-Reject:0 Worse-Reject:0
Accepted:215 Acc-Reject:0 Worse-Reject:0
Accepted:216 Acc-Reject:0 Worse-Reject:0
Accepted:217 Acc-Reject:0 Worse-Reject:0
Accepted:218 Acc-Reject:0 Worse-Reject:0
Accepted:219 Acc-Reject:0 Worse-Reject:0
Accepted:220 Acc-Reject:0 Worse-Reject:0
