task	p1-non1s_reward	p1-non1s_total_reward	p1-1s_reward	p1-1s_total_reward	p2-non1s_reward	p2-non1s_total_reward	p2-1s_reward	p2-1s_total_reward	p3-non1s_reward	p3-non1s_total_reward	p3-1s_reward	p3-1s_total_reward	p4-non1s_reward	p4-non1s_total_reward	p4-1s_reward	p4-1s_total_reward
29	0.0	2652.5082324	43.86479849199762	2699.853525360486	0.0	2762.7506912199997	32.90089984460597	2685.1396964102305	0.0	2792.860976165	35.61045003672072	2714.5466720180434	0.0	2596.8297452499996	32.063747040673434	2934.9250689270802
30	0.0	2731.11836725	35.26972000201074	2798.314827032766	0.0	2843.9175159849997	28.29931100433242	2764.1419396306583	0.0	2875.348527545	39.68050949999283	2825.3214277055235	0.0	2676.7311166699997	30.546578276627102	3020.200933282664
31	0.0	2811.37734553	29.883190859677615	2881.738734849366	0.0	2926.0921459899996	28.83411757482555	2844.6371845270464	0.0	2956.9308709849997	31.26898466852238	2912.6140099051486	0.0	2773.0036075949997	32.24754283621971	3110.2253237004443
32	0.0	2906.35050537	31.31766218757492	2969.167208456346	0.0	3027.0551658424997	30.435993635115224	2929.604333425076	0.0	3042.375144965	32.28179330932835	3002.7340162270234	0.0	2884.5305360625	31.767345512678688	3198.9091632566724
33	0.0	2983.76360529	29.314491786148306	3051.00349802601	0.0	3112.2738355475	29.3184445789526	3011.451657874652	0.0	3125.7275673649997	31.286781569104487	3090.0762814407735	0.0	2990.7531925374997	29.686418876557603	3281.783749287062
34	0.0	3062.9602230500004	33.92967349190686	3145.72383652425	0.0	3194.3779712325	28.920488635674264	3092.188021982576	0.0	3207.9300237724997	29.41782702662686	3172.2010485567735	0.0	3077.0753872299997	30.365614154450142	3366.5544221349023
35	0.0	3163.2249824500004	28.412786612615648	3225.042865817802	0.0	3276.78777504	29.74589880127307	3175.22865613613	0.0	3293.058305615	29.874377521343284	3255.6003524705234	0.0	3163.0482326949996	29.17994948531893	3448.015114448084
36	0.0	3242.2647749700004	28.191337646271045	3303.743683413642	0.0	3359.5224060124997	31.13198126594866	3262.1387705035704	0.0	3380.7916989275	28.470465279863635	3335.0804013768093	0.0	3255.2316493449994	31.280850435062682	3535.340821912634
37	0.0	3322.1669136500004	30.844805650095765	3389.852099186826	0.0	3449.8346147525	28.083543664173853	3340.5386632327222	0.0	3464.6574814475	29.31357764089791	3416.9141389576494	0.0	3334.8346380699995	29.576984505985077	3617.909903658509
38	0.0	3401.5007053300005	33.57651052301374	3483.586524396906	0.0	3531.6236675524997	33.796502205635804	3434.887231890122	0.0	3548.2427377474996	34.68314027691403	3513.7379055640345	0.0	3415.8310166499996	33.5405431150997	3711.543919854829
39	0.0	3480.8514992225005	27.903458326923936	3561.483678892902	0.0	3617.5258787524995	29.456268028454684	3517.119313469558	0.0	3630.9462276424997	35.405155489536	3612.5772979723224	0.0	3495.8719428099994	32.357184287605975	3801.874392657729
40	0.0	3563.0404328025006	33.05151894012178	3653.752502600742	0.0	3701.0097155524995	28.25664086127761	3596.0024358739583	0.0	3739.0779749374997	29.770550111618157	3695.6867503672565	0.0	3585.885631899999	36.29054541402269	3903.185498605209
