task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19
30	3.348964377476925	10	1866.9537032381506	16.651035622523075	22.236669418221155	17.370004005583493	1.100844495628305	10	1751.7740389471242	18.899155504371695	20.86480244899801	23.230262010772684	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
31	7.576029567753848	10	1900.6019564921507	12.423970432246152	21.930022574909437	17.13594404422165	4.2033541073476925	10	1817.3247896545242	24.203354107347693	20.969132188321435	24.079848754616638	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
32	7.453101129846154	10	1934.5831409321509	12.546898870153846	21.64568549294715	17.031174852378204	6.030309382807632	10	1855.1593684094203	13.969690617192368	20.75702789828722	23.380457096863385	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
33	8.779163784319998	11	1964.9729056829508	11.220836215680002	21.339072278909878	16.63846510000405	5.788638794945969	11	1893.6484716731084	14.21136120505403	20.56450828966271	22.50106879375495	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
34	6.019639155199998	11	2002.8363829709508	13.980360844800002	21.128823380792454	16.573887217340715	6.441685597550277	11	1930.3689065130764	13.558314402449723	20.36433132145663	21.801990846004728	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
35	6.844240722855385	11	2038.4665643465507	13.155759277144615	20.90734937791335	16.560112593173393	0.7715907299249238	11	1982.4458482861965	19.228409270075076	20.332777931140473	21.743802685343187	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
36	15.657794561846153	12	2135.0397579515507	35.65779456184615	21.30601005856018	18.83672755807015	6.3766235439310766	12	2019.3424928547165	13.623376456068923	20.15144275613854	21.71214817805782	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
37	1.7729185547437574	12	2184.40477019912	18.227081445256243	21.224985621367967	17.661779330701624	6.419998696589785	12	2056.1216630514523	13.580001303410215	19.9785100863299	20.12346067582265	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
38	1.750539999987197	12	2233.830391032488	18.249460000012803	21.148690092615272	16.551585767030286	6.324545860083198	12	2093.1593513470602	13.675454139916802	19.8168932671911	17.9719342170051	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
39	0.3317011711915079	13	2287.098700360511	19.668298828808492	21.111680311020102	17.178149609847136	6.057788132732064	13	2163.732527539876	26.057788132732064	19.972915638829626	17.10069051386186	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
40	10.767405884805907	13	2370.427091298527	30.767405884805907	21.34718581281976	18.589786636075424	4.297684110339938	13	2206.2596330743722	15.702315889660062	19.868754669337687	16.7810065523907	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
41	2.206053162145597	13	2430.568485279338	22.206053162145597	21.367635035422754	19.567994909065366	16.751617689312504	13	2305.7952643162603	36.7516176893125	20.270727598384706	18.035832910587178	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
42	12.443618081823992	14	2518.436617584278	32.44361808182399	21.625216036501854	21.55766683023238	12.023250188061539	14	2392.52490024226	32.02325018806154	20.5440420772144	19.841188867674095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
43	12.490803617903389	14	2606.432544049433	32.49080361790339	21.872161208806432	23.684663570454717	10.703881825278028	14	2475.681246852388	30.703881825278028	20.77494752603403	21.490440929696497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
44	9.896718623089235	14	2687.4028236536333	29.896718623089235	22.050484706901607	25.276299348283644	11.176674042293662	14	2560.1180723836	31.176674042293662	21.00609700417313	23.252276893680886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
45	7.155633238188798	15	2722.1896503002054	12.844366761811202	21.850351708095292	25.2451600967503	2.3550023682338477	15	2607.9066076363	17.644997631766152	20.933029626512113	23.093935729849996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
