count	5000ms	500ms
736	0.82	0.76
737	0.82	0.76
738	0.82	0.76
739	0.82	0.75
740	0.82	0.75
741	0.82	0.75
742	0.82	0.75
743	0.82	0.75
744	0.82	0.75
745	0.82	0.75
746	0.82	0.75
747	0.82	0.75
748	0.82	0.75
749	0.82	0.75
750	0.82	0.75
751	0.82	0.75
752	0.82	0.75
753	0.82	0.75
754	0.82	0.75
755	0.82	0.75
756	0.82	0.75
757	0.82	0.75
758	0.82	0.75
759	0.82	0.75
760	0.82	0.75
761	0.82	0.75
762	0.82	0.75
763	0.82	0.75
764	0.82	0.75
765	0.82	0.75
766	0.82	0.75
767	0.82	0.75
768	0.82	0.75
769	0.82	0.75
770	0.82	0.75
771	0.82	0.74
772	0.82	0.74
773	0.82	0.74
774	0.82	0.74
775	0.82	0.74
776	0.82	0.74
777	0.82	0.74
778	0.82	0.74
779	0.82	0.74
780	0.82	0.74
781	0.82	0.74
782	0.82	0.74
783	0.82	0.74
784	0.82	0.74
785	0.82	0.74
786	0.82	0.74
787	0.82	0.74
788	0.82	0.74
789	0.82	0.74
790	0.81	0.74
791	0.81	0.74
792	0.81	0.74
793	0.81	0.74
794	0.81	0.74
795	0.81	0.73
796	0.81	0.73
797	0.81	0.73
798	0.81	0.73
799	0.81	0.73
800	0.81	0.73
801	0.81	0.73
802	0.81	0.73
803	0.81	0.73
804	0.81	0.73
805	0.81	0.73
806	0.81	0.73
807	0.81	0.73
808	0.81	0.73
809	0.81	0.73
810	0.81	0.73
811	0.81	0.73
812	0.81	0.73
813	0.81	0.73
814	0.81	0.73
815	0.81	0.73
816	0.81	0.73
817	0.81	0.73
818	0.81	0.73
819	0.81	0.73
820	0.81	0.73
821	0.81	0.73
822	0.8	0.73
823	0.8	0.73
824	0.8	0.73
825	0.8	0.73
826	0.8	0.72
827	0.8	0.72
828	0.8	0.72
829	0.8	0.72
830	0.8	0.72
831	0.8	0.72
832	0.8	0.72
833	0.8	0.72
834	0.8	0.72
835	0.8	0.72
836	0.8	0.72
837	0.8	0.72
838	0.8	0.72
839	0.8	0.72
840	0.8	0.72
841	0.8	0.72
842	0.8	0.72
843	0.8	0.72
844	0.8	0.72
845	0.8	0.72
846	0.8	0.72
847	0.8	0.72
848	0.8	0.72
849	0.8	0.71
850	0.8	0.71
851	0.8	0.71
852	0.8	0.71
853	0.8	0.71
854	0.8	0.71
855	0.8	0.71
856	0.8	0.71
857	0.8	0.71
858	0.8	0.71
859	0.8	0.71
860	0.8	0.71
861	0.8	0.71
862	0.79	0.71
863	0.79	0.71
864	0.79	0.71
865	0.79	0.71
866	0.79	0.71
867	0.79	0.71
868	0.79	0.71
869	0.79	0.71
870	0.79	0.71
871	0.79	0.71
872	0.79	0.71
873	0.79	0.71
874	0.79	0.71
875	0.79	0.71
876	0.79	0.71
877	0.79	0.71
878	0.79	0.71
879	0.79	0.71
880	0.79	0.71
881	0.79	0.71
882	0.79	0.71
883	0.79	0.71
884	0.79	0.7
885	0.79	0.7
886	0.79	0.7
887	0.79	0.7
888	0.79	0.7
889	0.79	0.7
890	0.79	0.7
891	0.79	0.7
892	0.79	0.7
893	0.79	0.7
894	0.79	0.7
895	0.79	0.7
896	0.79	0.7
897	0.79	0.7
898	0.79	0.7
899	0.79	0.7
900	0.79	0.7
901	0.79	0.7
902	0.79	0.7
903	0.79	0.7
904	0.79	0.7
905	0.79	0.7
906	0.79	0.7
907	0.79	0.7
908	0.79	0.7
909	0.79	0.7
910	0.79	0.7
911	0.79	0.7
912	0.79	0.7
913	0.79	0.7
914	0.79	0.7
915	0.79	0.7
