task	o1_reward	o1_total_reward	o2_reward	o2_total_reward	o3_reward	o3_total_reward	o4_reward	o4_total_reward	s1_reward	s1_total_reward	s10_reward	s10_total_reward	s30_reward	s30_total_reward	s60_reward	s60_total_reward
17	1.023303102	19.014032147	0.9603914769999999	18.528391463	0.0	18.832173701000002	1.1829668760000003	15.692192488	0.0	0.0	1.519310031	2.025500431	1.1157925450000001	8.114834114	1.4000266440000002	5.848747056
18	1.0317570639999998	20.045789211000002	0.24476459199999967	18.773156054999998	1.535137646	20.367311347	1.0573177859999998	16.749510274	0.0	0.0	0.0	2.025500431	1.5010235619999999	9.615857676000001	1.673213684	7.52196074
19	0.9026344079999997	0.9026344079999997	1.4921291689999998	20.265285223999996	1.2014610499999998	1.2014610499999998	1.254635855	1.254635855	0.0	0.0	0.0	2.025500431	1.560741696	11.176599372000002	1.237082605	8.759043345
20	1.3213505239999999	2.2239849319999996	1.0096133299999996	21.274898553999996	1.0358826479999999	2.2373436979999997	0.7688078309999999	2.0234436860000002	0.0	0.0	1.649284569	3.674785	1.320933888	12.49753326	1.6302613559999997	10.389304701
21	1.1510312469999997	3.3750161789999993	1.0742941440000002	22.349192697999996	1.054959184	3.2923028819999995	1.3034656579999997	3.3269093439999997	0.23488275599999975	0.23488275599999975	0.03681615599999999	3.711601156	1.487553648	13.985086908000001	1.554774596	11.944079297
22	0.9982253709999995	4.373241549999999	1.1932497610000001	23.542442458999997	0.642506	3.9348088819999996	1.0924811919999995	4.419390535999999	0.0	0.0	0.0	0.0	0.057650519999999705	0.057650519999999705	0.1463503799999999	0.1463503799999999
23	0.39215952800000053	4.765401077999999	0.622760075	0.622760075	0.01058857599999996	3.9453974579999995	1.1795058220000003	5.598896357999999	0.0	0.0	1.7886471699999997	1.7886471699999997	1.2798575459999997	1.3375080659999994	1.0903060260000002	1.236656406
24	0.0	4.765401077999999	0.1044084999999999	0.7271685749999999	1.0731942079999999	5.018591665999999	0.0	5.598896357999999	0.0	0.0	0.0	1.7886471699999997	1.4136174249999998	2.751125490999999	1.4117282029999998	2.648384609
25	0.6873736069999996	5.452774684999999	1.0115267750000005	1.7386953500000004	1.007730805	6.0263224709999985	1.34861543	6.947511787999999	0.0	0.0	0.0	1.7886471699999997	1.4320876249999999	4.183213115999999	1.586890034	4.235274643
26	1.3995657129999999	6.852340397999999	0.8911510999999999	2.6298464500000005	1.134086595	7.160409065999999	0.8501591159999997	7.7976709039999985	0.0	0.0	1.42306159	3.2117087599999996	1.3747565250000002	5.557969641	1.9075070520000001	6.142781695
27	0.0	6.852340397999999	1.1312866250000002	3.761133075000001	0.590803475	7.751212540999999	1.8143500059999997	9.612020909999998	0.0	0.0	0.0	3.2117087599999996	1.465357025	7.023326666	1.0181862360000002	7.160967931
28	0.07751267200000012	6.929853069999999	1.113005847	4.874138922000001	1.776090316	9.527302856999999	0.0	9.612020909999998	0.0	0.0	0.0	3.2117087599999996	1.45963125	8.482957916	0.900392211	8.061360142
29	0.3869496960000003	7.3168027659999995	0.719332064	5.593470986000002	0.99407066	10.521373516999999	0.8326812999999995	10.444702209999997	0.0	0.0	1.8194526869999998	5.031161447	1.3701111349999997	9.853069051	1.470930831	9.532290973
30	0.9425716479999997	8.259374414	0.0	5.593470986000002	1.2740845170000001	11.795458034	1.0105973119999998	11.455299521999997	0.0	0.0	0.0	5.031161447	0.234691749	10.0877608	1.432624033	10.964915006
31	0.9277404609999997	9.187114874999999	0.5463235200000001	6.139794506000001	1.4242409049999998	13.219698938999999	1.0392487019999999	12.494548223999997	0.0	0.0	0.0	5.031161447	0.2511867250000006	10.338947525	1.414599041	12.379514047
32	1.0908490809999998	10.277963955999999	0.04899151999999951	6.188786026000001	1.0910353899999998	14.310734328999999	0.013756986000000193	12.508305209999998	0.0	0.0	1.2794349859999996	6.310596432999999	0.957145307	11.296092832	0.3857245100000002	12.765238557
33	1.562317512	11.840281467999999	0.624863291	6.813649317000001	1.1057764999999997	15.416510828999998	0.0	12.508305209999998	0.0	0.0	0.0	0.0	1.3903164	1.3903164	1.040217471	1.040217471
34	0.9700547080000004	12.810336176	0.477172677	7.290821994000002	0.009236983999999948	15.425747812999997	0.745983528	13.254288737999998	0.041474619999999796	0.041474619999999796	0.0	0.0	1.6459087919999997	3.036225192	1.2831098529999998	2.323327324
35	1.022440538	13.832776714	0.6913511189999999	7.982173113000002	0.47250836999999946	15.898256182999997	1.6520472300000002	14.906335967999999	0.0	0.041474619999999796	0.0	0.0	0.5591541119999999	3.5953793039999997	0.93953672	3.262864044
36	0.260079288	14.092856002	0.9567887429999999	8.938961856000002	0.3740225419999996	16.272278724999996	0.5196264000000004	15.425962367999999	0.0	0.041474619999999796	0.0	0.0	0.11738381600000025	3.71276312	0.5007619700000001	3.763626014
37	1.3458032489999998	15.438659250999999	1.261434512	10.200396368000002	1.4702911379999997	17.742569862999996	1.077492624	16.503454991999998	0.0	0.041474619999999796	0.49110360200000036	0.49110360200000036	0.44912203600000034	4.161885156	1.3492690449999998	5.1128950589999995
38	1.4702226740000004	16.908881925	1.495923755	11.696320123000001	1.3925168419999998	19.135086704999996	0.0	16.503454991999998	0.0	0.041474619999999796	0.0	0.49110360200000036	1.6140402960000004	5.775925452000001	1.084731678	6.197626736999999
39	0.7248873349999998	17.633769259999998	1.6099130900000003	13.306233213000002	1.028577872	20.163664576999995	1.179856704	17.683311695999997	0.0007199050000004092	0.042194525000000205	0.0	0.49110360200000036	1.3824074400000004	7.158332892000002	1.3941372980000002	7.591764035
40	0.3034131469999999	0.3034131469999999	1.3112189250000001	14.617452138000003	0.7924660680000002	0.7924660680000002	2.73465192	2.73465192	0.0	0.042194525000000205	0.05606172300000001	0.5471653250000004	1.5100466760000002	8.668379568000002	0.2651389660000003	7.856903001
41	1.244241258	1.5476544049999998	1.392900695	16.010352833000002	2.58450455	3.3769706180000005	1.12904792	3.86369984	0.0	0.042194525000000205	0.0	0.5471653250000004	1.241437704	9.909817272000002	1.669402144	9.526305145
42	1.1103497549999999	2.65800416	1.3164860010000003	1.3164860010000003	1.9572993499999998	5.334269968	1.2944757409999998	5.158175581	0.0	0.042194525000000205	0.0	0.5471653250000004	1.6640892000000003	11.573906472000001	1.536302304	11.062607449
43	0.07828712000000015	2.73629128	1.885922064	3.202408065	0.7981747149999996	6.132444682999999	1.182150294	6.3403258749999996	0.0	0.042194525000000205	0.016297222000000167	0.5634625470000005	0.95749032	12.531396792	1.01223499	12.074842439
44	1.1361207200000003	3.8724120000000006	2.188202328	5.390610393	1.3049316149999999	7.437376297999999	0.8928199800000001	7.233145855	0.0	0.0	0.0	0.0	0.3000717599999998	0.3000717599999998	1.6347637230000003	1.6347637230000003
45	1.7303804799999998	5.602792480000001	1.2983515739999998	6.688961967	1.693245897	9.130622194999999	1.60558671	8.838732565	0.0	0.0	0.0	0.0	0.021791280000000413	0.3218630400000002	1.333148569	2.9679122920000003
46	2.11874568	7.721538160000001	7.139693050999998	13.828655018	1.411612288	10.542234483	1.48091585	10.319648415000001	0.0	0.0	1.4013742059999998	1.4013742059999998	1.717547044	2.039410084	1.4577245639999998	4.425636856000001
47	1.4252850239999997	9.146823184	0.45945013599999984	14.288105153999998	1.1226357840000003	11.664870267	1.1416328279999999	11.461281243000002	0.0	0.0	0.0	1.4013742059999998	1.646772512	3.686182596	1.253121408	5.678758264000001
48	1.2519685229999997	10.398791707	1.3518288479999994	15.639934001999997	2.8706302799999994	14.535500546999998	1.7204863410000002	13.181767584000003	0.0	0.0	0.0	1.4013742059999998	1.859584272	5.545766868	1.4364755040000003	7.115233768000001
49	1.4705262719999999	11.869317979000002	1.051489182	16.691423183999998	2.0305141200000003	16.566014666999997	2.243129874	15.424897458000004	0.0	0.0	1.850072236	3.2514464419999998	1.653929186	7.199696054	1.404675204	8.519908972000001
50	1.130097456	12.999415435000001	1.3120540639999998	18.003477247999996	0.5901405119999996	17.156155178999995	1.0250546739999997	16.449952132000004	0.11434823999999999	0.11434823999999999	0.0	3.2514464419999998	1.179359981	8.379056035	1.497969234	10.017878206
51	1.735024552	14.734439987000002	1.2300638959999997	19.233541143999997	2.310280128	19.466435306999994	1.91109705	18.361049182000002	0.0	0.11434823999999999	0.000547785999999828	3.2519942279999996	0.9913719010000004	9.370427936	1.782497297	11.800375503000001
52	1.129015713	15.863455700000001	0.7561568700000001	19.989698014	2.0200677120000003	21.486503018999993	1.3114153499999996	19.672464532000003	0.0	0.11434823999999999	2.0945643919999997	5.34655862	1.3386898589999998	10.709117795000001	1.31519586	13.115571363
53	1.1767616069999998	17.040217307000002	1.1957271900000004	21.185425203999998	0.0	21.486503018999993	0.05048591999999985	19.722950452000003	0.0	0.11434823999999999	0.0	5.34655862	0.2609513920000004	10.970069187000002	0.4603900519999993	13.575961415
54	1.141100724	18.181318031000004	1.3972461300000003	22.582671333999997	1.1957543659999996	22.682257384999993	1.109458659	20.832409111000004	0.0	0.11434823999999999	0.0	5.34655862	0.487355349	11.457424536000001	1.548301664	15.124263079
55	0.01692139199999998	18.198239423000004	1.8674168160000002	24.450088149999996	2.0333357999999997	24.715593184999992	0.0	20.832409111000004	0.0	0.11434823999999999	1.411110912	6.7576695319999995	1.4855582989999996	12.942982835	1.752591899	16.876854978
56	1.673805796	19.872045219000004	7.1017246179999995	31.551812767999994	2.1946226749999997	26.910215859999994	2.261751672	23.094160783000003	0.0	0.11434823999999999	0.02813091599999984	6.785800448	1.394703056	14.337685891	1.473762948	18.350617926
