task	r0_energy	r0_config	r0_reward	r0_rate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
96	86.80670465441999	2	1046.9436186376038	31.094938980687758	0	0	1	0	0	0	0	0	0	0	0	0
97	71.903943233214	2	1118.8475618708178	25.756636382046803	0	0	1	0	0	0	0	0	0	0	0	0
98	38.312288509365004	2	1157.159850380183	13.723804839175525	0	0	1	0	0	0	0	0	0	0	0	0
99	83.906085774438	2	1241.0659361546209	30.05591132218674	0	0	1	0	0	0	0	0	0	0	0	0
100	68.814761219568	2	1309.880697374189	24.65006372044227	0	0	1	0	0	0	0	0	0	0	0	0
101	42.715521374309986	2	1352.5962187484988	15.301082283334923	0	0	1	0	0	0	0	0	0	0	0	0
102	77.14451022022799	2	1429.740728968727	27.63385440724585	0	0	1	0	0	0	0	0	0	0	0	0
103	71.36851905461998	2	1501.109248023347	25.564842646431035	0	0	1	0	0	0	0	0	0	0	0	0
104	79.88972873386801	2	1580.998976757215	28.617216262878095	0	0	1	0	0	0	0	0	0	0	0	0
105	47.500672680788	2	1628.499649438003	17.015166333416595	0	0	1	0	0	0	0	0	0	0	0	0
106	37.968512475476004	2	1666.468161913479	13.600661185245137	0	0	1	0	0	0	0	0	0	0	0	0
107	72.27838385013402	1	1738.746545763613	25.89076436422711	0	1	0	0	0	0	0	0	0	0	0	0
108	74.375603444744	4	1813.122149208357	26.6420072040874	0	0	0	0	1	0	0	0	0	0	0	0
109	39.59877809214	2	1852.7209273004971	14.184636928527759	0	0	1	0	0	0	0	0	0	0	0	0
110	54.32777929832401	2	1907.0487065988211	19.460697062086215	0	0	1	0	0	0	0	0	0	0	0	0
111	79.636244517684	2	1986.684951116505	28.526415946633072	0	0	1	0	0	0	0	0	0	0	0	0
112	97.45846894967397	2	2084.1434200661793	34.91049634018172	0	0	1	0	0	0	0	0	0	0	0	0
113	94.83305726828402	2	2178.976477334463	33.97005036475845	0	0	1	0	0	0	0	0	0	0	0	0
114	85.393010943	0	85.393010943	30.588541233313435	1	0	0	0	0	0	0	0	0	0	0	0
115	53.383367337918	0	138.77637828091798	19.12240024044824	1	0	0	0	0	0	0	0	0	0	0	0
116	76.76492240543	1	215.541300686348	27.497882652691345	0	1	0	0	0	0	0	0	0	0	0	0
