task	r0_energy	r0_config	r0_reward	r1_energy	r1_config	r1_reward	r2_energy	r2_config	r2_reward	r3_energy	r3_config	r3_reward	r4_energy	r4_config	r4_reward	r5_energy	r5_config	r5_reward	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11
20	70.846981002126	10	1129.584513271868	74.21916230554801	10	1010.134426696489	88.22689961006999	10	1043.5256737308928	68.75213212358399	10	1277.597204699279	75.44289183947997	10	1206.9344134886508	69.3694267138	10	947.420118587864	0	0	0	0	0	0	0	0	0	0	6	0
21	93.54736125614697	10	1223.131874528015	71.50378716811198	10	1081.6382138646009	70.74864658290001	10	1114.2743203137927	69.27870472051198	10	1346.875909419791	69.975331538112	10	1276.9097450267627	68.95917450941499	10	1016.379293097279	0	0	0	0	0	0	0	0	0	0	6	0
22	78.39421730295298	11	1301.526091830968	76.03088463570602	11	1157.669098500307	68.7810031384	11	1183.0553234521926	77.633910127872	11	1424.509819547663	69.55310514239999	11	1346.4628501691627	73.00581286789999	11	1089.385105965179	0	0	0	0	0	0	0	0	0	0	0	6
23	113.97218313987001	11	1415.4982749708379	122.88218928057599	11	1280.551287780883	87.000141957	11	1270.0554654091927	78.580522871088	11	1503.090342418751	102.28393539209999	11	1448.7467855612626	81.82951332795798	11	1171.214619293137	0	0	0	0	0	0	0	0	0	0	0	6
24	37.606898475216006	9	1453.1051734460539	31.218532086527993	1	1311.7698198674111	28.82686418998	0	1298.8823295991726	86.896219999008	7	1589.9865624177592	39.681658883855995	3	1488.4284444451187	65.53832360952799	7	1236.752942902665	1	1	0	1	0	0	0	2	0	1	0	0
25	82.95034980528001	9	1536.0555232513339	36.592130698119995	1	1348.361950565531	41.44467074687999	0	1340.3270003460527	69.21686539761598	7	1659.203427815375	39.166731768780004	3	1527.5951762138986	36.631717119536	7	1273.384660022201	1	1	0	1	0	0	0	2	0	1	0	0
26	39.940096814592	9	1575.9956200659258	43.38043394563201	1	1391.742384511163	59.91156513064	0	1400.2385654766927	71.80989146119799	7	1731.0133192765732	35.807535047592	3	1563.4027112614906	31.261853807712004	7	1304.646513829913	1	1	0	1	0	0	0	2	0	1	0	0
27	35.43785444241	9	1611.4334745083358	34.397195467079996	1	1426.139579978243	46.85566679993999	0	1447.0942322766327	81.489367821606	7	1812.5026870981792	54.963151762068	3	1618.3658630235586	36.08600594044599	7	1340.732519770359	1	1	0	1	0	0	0	2	0	1	0	0
28	42.76282744953599	9	1654.1963019578718	74.538847892576	1	1500.6784278708192	31.661638433279997	0	1478.7558707099126	78.773353272813	7	1891.2760403709922	87.88383916157998	3	1706.2497021851386	31.095510333029996	7	1371.828030103389	1	1	0	1	0	0	0	2	0	1	0	0
29	52.40246159305801	9	1706.5987635509298	76.93990530351999	1	1577.618333174339	46.014413527319995	0	1524.7702842372325	91.45300158965999	7	1982.7290419606522	35.962796916288006	3	1742.2124991014266	49.04038540885001	7	1420.868415512239	1	1	0	1	0	0	0	2	0	1	0	0
