task	r0_energy	r0_config	r0_reward	r0_rate	r0_avgrate	r0_rollrate	r1_energy	r1_config	r1_reward	r1_rate	r1_avgrate	r1_rollrate	r2_energy	r2_config	r2_reward	r2_rate	r2_avgrate	r2_rollrate	r3_energy	r3_config	r3_reward	r3_rate	r3_avgrate	r3_rollrate	c0	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19
27	3.515245528740298	1	1395.6921440664707	16.484754471259702	17.8553365978653	16.96522793334967	5.2583564421146285	11	1521.3897202276378	14.741643557885372	19.463407934681932	17.31507783735743	2.4185812381430445	12	1684.284646148399	17.581418761856956	21.547351549872907	16.254464300585514	8.14712038558185	3	1262.060021107968	11.85287961441815	16.1457571996755	16.134807100096587	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
28	3.5118765810388126	3	1441.7214886110708	16.488123418961187	17.808191315834126	16.396370491695727	4.961477300293733	15	1563.3722627643178	15.038522699706267	19.310825685200015	15.071355104031582	2.4836982012291315	4	1733.1843220033008	17.51630179877087	21.408349834317665	15.172138114904488	4.118095210394273	7	1306.397005312284	15.881904789605727	16.13665884070758	15.456088131960104	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
29	0.36618250240000094	14	1498.5770814302707	20.3661825024	17.893457688719653	16.04923404840906	6.972194280585073	1	1599.7415537310178	13.027805719414927	19.10139168634051	15.897953733427915	8.914819906654326	1	1764.1304497638907	11.085180093345674	21.064244176285268	15.357996295636514	0.12381917682148824	2	1362.5760005142438	20.12381917682149	16.269564185244707	15.896213857530123	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
30	6.360746603134325	14	1536.6533304965208	13.639253396865675	17.756225292208235	15.501997321030995	2.2763431175223907	7	1649.2200958612677	17.72365688247761	19.056948628151385	16.089075047836943	5.122055325213614	8	1805.6647119810027	14.877944674786386	20.86468612784982	15.928057173419461	1.5792504165253725	7	1414.0005931014439	18.420749583474628	16.338957262606964	16.266279861796296	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0
31	3.5871944042985078	16	1582.4724127845207	16.412805595701492	17.7142434266924	16.15593024148936	7.993071249785071	18	1727.3674197669177	27.99307124978507	19.336202460077438	17.367046887507293	5.021300832102927	5	1847.4802471580488	14.978699167897073	20.680749035351294	16.828298554057003	1.8905281798579168	1	1464.556201932674	18.109471820142083	16.394285842529936	17.33646516412972	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0
32	5.015975844137314	18	1624.3028135529707	14.984024155862686	17.63150950939453	17.726349570381423	6.919031984745075	11	1763.8851221428376	13.080968015254925	19.146649901143423	17.02206445422476	6.301848834299223	9	1885.7209191622967	13.698151165700777	20.4691551605134	17.027954231108275	0.28317199894626555	5	1521.180057096399	20.283171998946266	16.512130877572854	17.28390574275514	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0
33	7.627238324231403	4	1658.8434398978247	12.372761675768597	17.476840455464355	17.03338744285336	7.170875900179105	1	1799.6997602548377	12.829124099820895	18.960840318751583	16.474224894487985	13.24181733776441	12	1978.5209925635556	33.24181733776441	20.844821695138428	18.15712606869428	5.072070829412542	16	1562.853859364289	14.927929170587458	16.465536709720343	16.850611860774514	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
34	6.88452711245027	5	1695.4574683755677	13.11547288754973	17.352229953523935	16.664289232739783	6.0791955830447755	18	1838.5620059188377	13.920804416955225	18.81683929298597	16.2454224924211	1.6671106584878785	12	2029.7003086419436	18.33288934151212	20.77305219932053	16.580309010986042	11.460491732831514	12	1650.6810654517772	31.460491732831514	16.89396399609495	18.4182613827437	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0
35	8.33772030903594	14	1728.0146658461756	11.66227969096406	17.19417577956394	18.214674235270028	5.816620489552243	18	1878.1572737188378	14.183379510447757	18.688132076804354	17.604694986420178	1.5879571095056733	7	2081.1005950445738	18.412042890494327	20.707468607408696	18.20862310789275	8.649832773407045	10	1682.3669489593492	11.350167226592955	16.739969641386562	18.060727420569954	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0
36	5.118053950386388	18	1769.5600985680137	14.881946049613612	17.131683084159874	16.224740291754877	7.4403099150597	18	1954.7614722317128	27.4403099150597	18.924677423784228	17.4759783662021	17.970518740394034	7	2187.1016265281737	37.970518740394034	21.17403752992181	19.961482951486527	8.745214143185674	12	1713.7865594762893	11.254785856814326	16.591721430992717	19.69488109547244	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0
37	8.319621285176115	14	1848.6190413224638	28.319621285176115	17.42610251050241	20.69355428983884	0.7957775099701436	12	2012.8163511137127	20.795777509970144	18.97391689973649	19.627082867552705	14.141061499652302	17	2282.41208988137	34.1410614996523	21.515275002809457	21.874961048421525	7.546106148728363	12	1748.5536798110893	12.453893851271637	16.482831231526376	21.702012482503914	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0
38	7.615932714860181	14	1883.1912291601457	12.38406728513982	17.296819556005932	21.099214921968464	0.48899711779104393	18	2067.2845674932128	19.511002882208956	18.9876883351845	21.91529848753006	6.82211144757218	15	2319.200362090231	13.17788855242782	21.301495863056083	21.744892737811483	7.177379263406804	7	1784.3501627007454	12.822620736593196	16.38897968037424	20.283123819964835	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0
39	5.106139318829852	7	1924.7699235617456	14.893860681170148	17.23674558413504	17.975458014042445	1.911794604059697	18	2128.454994096213	21.911794604059697	19.06079099190638	19.041158888766983	7.424662833334082	12	2395.760879166622	27.424662833334082	21.45457503731303	18.95166304358278	12.894503620346747	19	1876.1806519742133	32.89450362034675	16.801617778873556	20.16153565462044	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1
40	1.9196523159970198	14	1975.2442275129206	18.08034768400298	17.257321245107427	18.55546427305551	0.6480508325223902	18	2182.479185522088	19.35194916747761	19.06789241082275	19.245269804676106	12.478765081695997	19	2486.43076501969	32.478765081696	21.723457721322372	21.254739584331723	7.619094417246567	11	1910.7440133927332	12.380905582753433	16.6937955301877	20.54172985438617	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1
41	1.9603876207656121	14	2025.6048120716166	18.039612379234388	17.275947224491404	21.02790223706683	0.4825517334244793	18	2236.965395266278	19.51744826657552	19.078596121674007	21.69738499006506	4.20812508359403	17	2530.5164158279904	15.79187491640597	21.582229559300554	21.787186413588643	8.58162934768382	12	1942.6202981304493	11.41837065231618	16.56819017595266	20.73784401841429	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0
42	1.328370421528355	14	2085.146512831717	21.328370421528355	17.370189624422494	20.128214777233715	4.967386001385076	9	2278.931442679078	15.032613998614924	18.984503514161005	18.34202581506053	6.026842043188058	13	2569.5248151240903	13.973157956811942	21.40527440575431	17.93130684234143	8.652966831977313	10	1974.2974323911794	11.347033168022687	16.44676791995429	17.13081524239594	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0
43	7.136285040170987	11	2121.0577170945726	12.863714959829013	17.267769745681736	15.169310230209243	6.834919577754031	3	2315.6839588578478	13.16508042224597	18.852243898435663	15.247727714158497	6.4116289230932555	8	2607.4590177137884	13.588371076906745	21.22761751191686	14.80260358392573	7.172147465466031	5	2010.1085207167534	12.82785253453397	16.364519843012918	14.133644010721577	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0
44	7.425759808382088	10	2156.1608042961725	12.574240191617912	17.163469088924764	13.81188053824277	9.397238665399396	18	2397.7512501320875	29.397238665399396	19.086577115479304	15.609767339551093	13.926567737462932	17	2702.1706859808723	33.92656773746293	21.509816405817887	16.869587071144547	1.1894172635930715	14	2069.2623105776174	21.18941726359307	16.471739785692478	17.485267397642364	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0
45	7.667239404897913	14	2233.3985143015125	27.667239404897913	17.391811921880702	18.854675542450963	5.638528485425676	18	2437.8436914436074	14.361471514574324	18.983857428503107	19.156119377106126	4.927471787380778	7	2744.248160574434	15.072528212619222	21.369875358139655	19.37700070238515	6.948174555522385	13	2105.6986566101173	13.051825444477615	16.397393821753024	19.365675204608312	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0
46	8.577955988331347	11	2265.2850538340876	11.422044011668653	17.26479558336555	19.1490424980845	5.786275227529556	18	2477.5236731000873	14.213724772470444	18.8823652443322	19.287629721878147	7.4929341129131934	2	2779.163719509218	12.507065887086807	21.181304943861935	19.28091229142504	0.3068576514925354	17	2160.6753456663673	19.693142348507465	16.467516130832905	18.310502659735846	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0
